date,open,high,low,close,volume,adj_close
2012-05-24,566.3,568.31,557.38,566.3,239,566.3
2012-06-07,566.3,576.5,573.56,573.56,170,573.56
2012-06-08,573.56,573.5,573.5,573.5,4,573.5
2012-06-29,573.5,580.69,574.8,580.69,634,580.69
2012-07-03,580.69,597.8,597.6,597.6,25,597.6
2012-07-05,597.6,612.6,612.6,612.6,154,612.6
2012-07-09,612.6,611.3,611.15,611.3,38,611.3
2012-07-12,611.3,593.1,592.8,592.8,305,592.8
2012-07-18,592.8,605.9,605.9,605.9,30,605.9
2012-07-19,605.9,611.99,610.55,611.99,365,611.99
2012-07-23,611.99,602.5,598.8,598.8,85,598.8
2012-07-25,598.8,575,570,575,33,575
2012-07-26,570,570,570,570,17,570
2012-07-27,570,581.95,581.95,581.95,8,581.95
2012-07-31,581.95,609.74,605.9,609.74,67,609.74
2012-08-01,609.74,611,607.9,607.9,58,607.9
2012-08-03,607.9,616.85,615.38,616.85,134,616.85
2012-08-07,616.85,620.8,620.8,620.8,58,620.8
2012-08-08,620.8,621.35,619,620,197,620
2012-08-10,620,620,620,620,10,620
2012-08-14,620,637.14,637.14,637.14,7,637.14
2012-08-16,637.14,635.36,635.36,635.36,8,635.36
2012-08-17,635.36,645.25,640.95,645.25,173,645.25
2012-08-20,645.25,660.9,653.28,660.8,128,660.8
2012-08-21,660.8,674.38,657.55,657.75,233,657.75
2012-08-22,657.75,659,659,659,10,659
2012-08-23,659,665.6,665.6,665.6,1494,665.6
2012-08-27,665.6,678,674,675,54,675
2012-08-28,675,674,672,674,159,674
2012-08-30,674,666.55,666.05,666.05,66,666.05
2012-08-31,666.05,664.11,664.11,664.11,20,664.11
2012-09-04,664.11,667.8,667.8,667.8,37,667.8
2012-09-07,667.8,680,679.55,680,86,680
2012-09-10,680,677.2,677.2,677.2,30,677.2
2012-09-11,677.2,668,668,668,1494,668
2012-09-12,668,660.5,659.7,659.7,20,659.7
2012-09-13,659.7,685,685,685,10,685
2012-09-14,685,695,689,695,37,695
2012-09-20,695,699,699,699,10,699
2012-09-21,699,705,703,705,47,705
2012-09-24,705,688.42,688.42,688.42,1445,688.42
2012-09-26,688.42,670,663,663,46,663
2012-09-27,663,668.75,665,668.75,38,668.75
2012-09-28,668.75,672.09,671.8,672.09,37,672.09
2012-10-02,672.09,660,652,652,57,652
2012-10-03,652,668.7,668.7,668.7,9,668.7
2012-10-04,668.7,670,670,670,8,670
2012-10-05,670,660,660,660,9,660
2012-10-08,660,640.65,639,639,34,639
2012-10-10,639,640.29,640.29,640.29,12,640.29
2012-10-16,640.29,644.86,644.86,644.86,15,644.86
2012-10-18,644.86,638.7,638.7,638.7,24,638.7
2012-10-19,638.7,617,616.1,616.1,155,616.1
2012-10-22,616.5,623.3,616.5,616.5,49,616.5
2012-10-23,616.5,628.5,625.37,625.37,23,625.37
2012-10-24,625.37,616.17,615.8,615.8,39,615.8
2012-10-25,615.8,611.72,611.72,611.72,37,611.72
2012-10-26,611.72,611.92,601.07,601.07,1769,601.07
2012-11-05,601.07,582.5,582.5,582.5,10,582.5
2012-11-07,582.5,569.63,565.65,565.65,37,565.65
2012-11-08,565.65,558.6,545.4,545.4,179,545.4
2012-11-12,545.4,553,553,553,109,553
2012-11-16,553,530,524,530,143,530
2012-11-19,530,558.66,553.33,558.66,16,558.66
2012-11-20,558.66,563.58,563.12,563.4,97,563.4
2012-11-21,563.4,565.05,563.5,563.5,168,563.5
2012-11-23,563.5,566.1,566.1,566.1,61,566.1
2012-11-26,566.1,588.85,576.67,588.85,225,588.85
2012-11-27,588.85,589.4,583.72,589.4,60,589.4
2012-11-29,589.4,589,588.48,588.48,15,588.48
2012-12-03,588.48,593.02,593.02,593.02,15,593.02
2012-12-05,593.02,552.72,551.02,551.57,352,551.57
2012-12-06,551.57,546.72,519.3,546.72,462,546.72
2012-12-14,546.72,513.7,513.7,513.7,48,513.7
2012-12-17,513.7,515.25,515.25,515.25,9,515.25
2013-01-02,515.25,552,547.75,547.75,28,547.75
2013-01-03,547.75,548,548,548,64,548
2013-01-07,548,521.33,521.33,521.33,24,521.33
2013-01-11,521.33,521.92,519.9,521.01,152,521.01
2013-01-14,521.01,503.11,503.11,503.11,12,503.11
2013-01-16,503.11,503.27,502.5,503.27,49,503.27
2013-01-23,503.27,510.72,510.72,510.72,4,510.72
2013-01-24,510.72,463,452.8,452.8,39,452.8
2013-01-25,452.8,453.83,446.32,446.32,688,446.32
2013-01-28,446.32,449.98,446.57,446.57,144,446.57
2013-01-29,446.57,457.93,456.87,456.87,57,456.87
2013-01-30,456.87,461.07,458,458,95,458
2013-01-31,458,459.2,455.61,455.61,47,455.61
2013-02-06,455.61,458.39,458.39,458.39,6,458.39
2013-02-07,458.39,459.25,459.25,459.25,12,459.25
2013-02-08,459.25,472.75,472.75,472.75,22,472.75
2013-02-12,472.75,479,479,479,21,479
2013-02-13,479,465.72,465.72,465.72,2,465.72
2013-02-19,465.72,461.2,458.47,458.47,24,458.47
2013-02-22,458.47,449.7,449.7,449.7,10,449.7
2013-02-25,449.7,453.4,453.4,453.4,15,453.4
2013-02-26,453.4,440,440,440,15,440
2013-03-04,440,424.45,424.45,424.45,33,424.45
2013-03-06,424.45,430.5,428.4,428.4,44,428.4
2013-03-13,428.4,431.72,431.72,431.72,53,431.72
2013-03-14,431.72,432.84,431.78,432.45,81,432.45
2013-03-15,432.45,442,441.6,441.6,71,441.6
2013-03-20,441.6,451.81,451.81,451.81,11,451.81
2013-03-22,451.81,456.16,456.16,456.16,10,456.16
2013-04-01,456.16,434.8,433.7,433.7,28,433.7
2013-04-02,433.7,436.2,436.2,436.2,8,436.2
2013-04-05,436.2,422.97,422.97,422.97,33,422.97
2013-04-09,422.97,424.88,424.88,424.88,18,424.88
2013-04-12,424.88,430,430,430,11,430
2013-04-15,430,422,422,422,50,422
2013-04-18,422,403,394,394.53,54,394.53
2013-04-19,394.53,389.04,389.04,389.04,10,389.04
2013-04-22,389.04,399.17,393.26,399.17,131,399.17
2013-04-23,399.17,401.05,400.97,401.05,39,401.05
2013-04-24,401.05,402.07,402.07,402.07,49,402.07
2013-04-29,402.07,440.5,428,440.5,35,440.5
2013-05-06,440.5,460,460,460,16,460
2013-05-07,460,458,458,458,36,458
2013-05-09,458,460.66,460.39,460.39,110,460.39
2013-05-14,460.39,453.32,453.32,453.32,6,453.32
2013-05-15,453.32,430,430,430,5,430
2013-05-16,430,436.31,420.32,436.31,1056,436.31
2013-05-22,436.31,443,443,443,17,443
