date,open,high,low,close,volume,adj_close
2020-12-09,92633,93113,92560,92633,69,92633
2020-12-10,92633,91180,89505,89505,54,89505
2020-12-11,89816,89230,89230,89816,6,89816
2020-12-14,89816,90853,90835,90835,18,90835
2020-12-15,89816,91359,91359,89816,5,89816
2020-12-16,89816,94511,94500,94500,35,94500
2020-12-17,89816,93880,93500,93790,83,93790
2020-12-18,93638,94028,93162,93162,21,93162
2020-12-21,93638,92522,91500,92352,23,92352
2020-12-22,93638,97439,96710,97373,100,97373
2020-12-23,97373,95083,95083,97373,4,97373
2020-12-24,97373,93708,93708,97373,5,97373
2020-12-28,97373,97002,95481,96276,133,96276
2020-12-29,96276,98725,98431,98725,11,98725
2020-12-30,96276,97504,97469,97469,58,97469
2021-01-04,96463,94500,90650,91120,110,91120
2021-01-05,92591,92590,92590,92590,10,92590
