date,open,high,low,close,volume,adj_close
2013-05-13,36.4,36.45,36.4,36.4,5180,36.4
2013-05-14,36.4,37,37,37,3587,37
2013-05-15,37,37.57,37.5,37.57,1044,37.57
2013-06-05,37.57,36.43,36.43,36.43,109,36.43
2013-06-07,36.43,37.3,37.3,37.3,275,37.3
2013-06-17,37.3,37.3,37.3,37.3,274,37.3
2013-07-08,37.3,35.36,35.35,35.36,819,35.36
2013-07-09,35.36,35.11,35.01,35.01,2247,35.01
2013-07-10,35.01,35,35,35,285,35
2013-07-11,35,35.36,35.16,35.35,4359,35.35
2013-07-12,35.35,35.22,35.22,35.22,290,35.22
2013-07-23,35.22,36.63,36.4,36.61,7160,36.61
2013-07-26,36.61,36.8,36.8,36.8,700,36.8
2013-08-22,36.8,34.58,34.51,34.58,1097,34.58
2013-08-23,34.58,34.62,34.5,34.62,720,34.62
2013-09-13,34.62,34.83,34.83,34.83,289,34.83
2013-09-17,34.83,34.85,34.85,34.85,230,34.85
2013-09-23,34.85,35.11,35.11,35.11,290,35.11
2013-10-16,35.11,35.72,35.72,35.72,578,35.72
2013-10-17,35.72,35.8,35.8,35.8,290,35.8
2014-04-08,35.8,37.8,37.8,37.8,661,37.8
2014-04-30,37.8,38.85,38.85,38.85,661,38.85
2015-02-02,38.85,44.84,44.84,44.84,28,44.84
2015-07-09,44.84,49.77,49.75,49.77,600,49.77
2015-07-10,49.77,49.91,49.65,49.91,131,49.91
2015-10-30,49.91,45.04,45.04,45.04,30,45.04
2016-03-31,45.04,41.83,41.83,41.83,200,41.83
2016-07-29,41.83,44.74,44.74,44.74,25,44.74
2016-08-01,44.74,45.25,45.12,45.25,130,45.25
2016-08-05,45.25,45.26,45.26,45.26,25,45.26
2016-08-30,45.26,42.84,42.84,42.84,180,42.84
2016-10-06,42.84,42.9,42.9,42.9,101,42.9
2016-11-10,42.9,40.43,40.43,40.43,615,40.43
2016-11-14,40.43,40.1,40.1,40.1,300,40.1
2017-02-23,40.1,45.37,45.37,45.37,200,45.37
2017-03-17,45.37,44.84,44.84,44.84,112,44.84
2017-06-20,44.84,48.5,48.5,48.5,154,48.5
2017-07-06,48.5,48.5,48.5,48.5,154,48.5
2018-12-12,48.5,73.23,73.23,73.23,41,73.23
2019-05-22,73.23,76.17,76.17,76.17,130,76.17
2019-08-26,76.17,82.95,82.95,82.95,130,82.95
2019-09-11,82.95,83.47,83.47,83.47,41,83.47
2020-01-30,83.47,88.5,88.5,83.47,60,83.47
2020-02-10,83.47,87.89,87.89,83.47,38,83.47
2020-03-02,83.47,77.95,77.95,77.95,725,77.95
2020-03-13,77.95,75.91,75.91,77.95,45,77.95
2020-03-19,77.95,78.9,78.9,78.9,725,78.9
2020-04-08,78.9,83.1,83.1,78.9,5,78.9
2020-04-14,78.9,89.4,89.4,78.9,4,78.9
2020-04-20,78.9,99.5,99.46,99.48,600,99.48
2020-04-22,99.48,95,95,95,300,95
2020-04-30,95,93.2,93.2,95,4,95
2020-05-08,95,94.35,94.35,95,1,95
2020-05-11,95,95.73,95.73,95,18,95
2020-05-18,95,91.55,91.55,95,5,95
2020-05-26,95,90.3,90.3,90.3,520,90.3
2020-05-28,90.3,93,93,90.3,18,90.3
2020-06-04,90.3,90.34,90.34,90.34,300,90.34
2020-06-10,90.34,91.4,91.4,90.34,40,90.34
2020-06-22,90.34,90.18,90,90.34,50,90.34
2020-07-15,90.34,96.48,96.48,90.34,15,90.34
2020-07-22,90.34,100.2,100.2,90.34,11,90.34
2020-08-13,90.34,101.07,101.07,101.07,120,101.07
2020-08-25,101.07,102.69,102.69,101.07,11,101.07
2020-09-29,101.07,106.8,106.8,106.8,8,106.8
2020-10-14,101.07,108.37,108.37,108.37,60,108.37
2020-10-26,101.07,107.8,107.8,107.8,45,107.8
2020-10-30,101.07,105.1,105.1,105.1,8,105.1
2020-12-17,101.07,108.1,108.1,101.07,45,101.07
2021-01-08,101.07,111.8,111.8,111.8,264,111.8
2021-01-28,111.8,121.81,121.81,121.81,264,121.81
2021-01-29,121.81,123.34,123.34,123.34,401,123.34
2021-02-08,123.34,124.5,124.5,124.5,32,124.5
2021-03-16,123.34,118.17,118.17,123.34,17,123.34
2021-04-15,123.34,124.15,124.15,123.34,41,123.34
2021-05-04,123.34,119.07,119.07,119.07,79,119.07
2021-06-02,119.07,106.95,106.95,106.95,140,106.95
2021-06-08,106.95,107.86,107.86,107.86,79,107.86
