date,open,high,low,close,volume,adj_close
2021-05-13,83685,83685,83685,83685,116,83685
2021-05-28,83685,85500,85500,83685,1,83685
2021-06-02,83685,77790,77790,83685,1,83685
2021-06-04,83685,78150,78150,83685,40,83685
2021-06-15,83685,79800,79800,83685,2,83685
2021-06-17,83685,81571,81571,83685,5,83685
2021-06-25,83685,83300,83300,83685,5,83685
2021-06-29,83685,87600,87600,83685,4,83685
2021-07-07,83685,90160,90160,83685,22,83685
2021-07-08,83685,89370,89370,83685,11,83685
2021-07-13,83685,88030,88030,83685,2,83685
2021-07-14,83685,88820,88820,83685,5,83685
2021-07-15,83685,87640,87640,83685,1,83685
2021-07-28,83685,92790,92790,83685,4,83685
2021-08-11,83685,94220,94220,83685,8,83685
2021-08-17,83685,99350,99350,83685,10,83685
2021-08-18,83685,98870,98870,83685,20,83685
