date,open,high,low,close,volume,adj_close
2011-08-16,271.6646,268.4728,260.5379,263.0735,3034328,263.0735
2011-08-17,261.5124,268.4728,261.5124,261.8902,3245989,261.8902
2011-08-18,261.8903,262.0095,252.5633,261.5124,4684590,261.5124
2011-08-19,261.5123,262.5067,257.535,261.5521,3430686,261.5521
2011-08-22,261.5521,268.4728,262.5067,263.5209,1844820,263.5209
2011-08-23,263.5209,268.3733,263.5011,265.5096,3327954,265.5096
2011-08-24,265.5096,270.4615,266.4841,267.4784,1373679,267.4784
2011-08-25,267.4784,268.4728,261.5124,267.9557,2218792,267.9557
2011-08-26,267.9557,268.4728,263.5011,267.6972,1134583,267.6972
2011-08-29,267.6972,273.0468,265.7881,271.6646,1572684,271.6646
2011-08-30,276.9247,278.4162,273.4445,275.9304,5706455,275.9304
2011-08-31,275.9304,280.4049,275.9304,279.2614,3983136,279.2614
2011-09-01,279.2614,279.2912,273.4445,275.6221,1308145,275.6221
2011-09-02,275.6221,276.4275,271.953,274.409,1313102,274.409
2011-09-05,274.409,268.4728,258.6288,262.3874,1005638,262.3874
2011-09-06,262.3874,264.4954,259.5237,259.991,1225030,259.991
2011-09-07,259.9911,265.4897,259.0166,265.3605,2993051,265.3605
2011-09-08,265.3605,267.4784,259.5237,266.9017,1180015,266.9017
2011-09-09,266.9017,263.6005,259.5237,260.4882,9261808,260.4882
2011-09-12,260.4882,260.518,252.6627,258.0222,945904,258.0222
2011-09-13,258.0223,263.5011,257.535,262.5167,2197820,262.5167
2011-09-14,262.5166,268.4728,258.5293,260.2694,3480959,260.2694
2011-09-15,260.2695,263.5011,260.518,261.6019,6246872,261.6019
2011-09-16,261.6019,261.582,258.4796,261.4627,8622055,261.4627
2011-09-20,261.4627,261.7112,253.5775,256.7296,4413315,256.7296
2011-09-21,256.7296,259.5237,248.5859,250.5746,5617429,250.5746
2011-09-22,250.5746,248.5859,231.6821,240.6709,1979724,240.6709
2011-09-23,240.6709,240.6312,233.6708,237.6282,3934975,237.6282
2011-09-26,237.6283,250.5746,236.6538,248.397,3640452,248.397
2011-09-27,248.3969,256.3418,248.5859,255.417,2711564,255.417
2011-09-28,255.4171,255.5463,254.552,255.1685,1859945,255.1685
2011-09-29,255.1684,258.5293,253.5576,253.9454,2659848,253.9454
2011-09-30,253.9454,260.518,250.5746,256.7594,1648225,256.7594
2011-10-03,256.7594,257.535,251.5689,251.5888,3965041,251.5888
2011-10-04,251.5889,248.5859,238.6425,239.786,1360270,239.786
2011-10-05,241.6255,252.5633,241.6255,250.5845,1861872,250.5845
2011-10-06,250.5845,263.5011,253.5576,259.3248,5025117,259.3248
2011-10-07,259.3248,263.5011,249.5802,257.6046,2078708,257.6046
2011-10-11,257.6046,260.0209,256.5407,259.5336,1448791,259.5336
2011-10-12,259.5337,272.4502,258.5293,268.9501,6115117,268.9501
2011-10-13,268.95,266.4841,262.0095,266.0764,6393958,266.0764
2011-10-14,266.0764,270.4615,265.4897,267.7767,1709367,267.7767
2011-10-17,267.7767,271.953,266.4841,268.2142,994831,268.2142
2011-10-18,268.2142,273.4445,263.5011,272.649,4838186,272.649
2011-10-19,272.649,275.9403,270.4615,275.1349,4008015,275.1349
2011-10-20,275.1349,275.115,269.4671,271.943,1689633,271.943
2011-10-21,271.943,276.4275,272.4502,274.936,1459193,274.936
2011-10-24,274.936,279.4106,275.4332,278.3864,2140493,278.3864
2011-10-25,278.3864,276.4275,273.4445,274.4388,569974,274.4388
2011-10-26,274.4389,275.3337,270.9586,273.5539,726396,273.5539
2011-10-27,273.5539,282.3936,274.4388,278.7543,8191341,278.7543
2011-10-28,278.7543,279.4106,273.5439,278.3367,2138054,278.3367
2011-11-02,278.3366,280.9021,268.6716,274.5979,2875720,274.5979
2011-11-03,274.5979,277.4219,270.4615,271.416,2304050,271.416
