date,open,high,low,close,volume,adj_close
2009-06-04,120,112.5,112.5,112.5,7062,112.5
2009-06-08,112.5,112.5,112.5,112.5,1900,112.5
2009-06-10,112.5,112.5,112.5,112.5,888,112.5
2009-06-12,112.5,112.5,112.5,112.5,27761,112.5
2009-06-17,111.9,112.5,112.5,112.5,1777,112.5
2009-06-26,112.5,111,107,107.9,60049,107.9
2009-07-03,107.9,107,107,107,18535,107
2009-07-28,107,103,103,103,12000,103
2009-08-12,103,98,98,98,45000,98
2009-08-13,98,103,98,103,168953,103
2009-08-17,103,102,102,102,10000,102
2009-08-21,102,102,102,102,35201,102
2009-08-24,102,102,102,102,15304,102
2009-08-27,102,100,100,100,33808,100
2009-10-08,100,100,100,100,50000,100
2009-11-04,100,100,100,100,30000,100
2009-11-05,100,100,100,100,1000,100
2009-11-10,100,100,100,100,10000,100
2009-11-11,100,100,100,100,10000,100
2009-11-16,100,100,100,100,833,100
2009-12-29,100,98,98,98,17100,98
2010-01-05,98,95,95,95,10000,95
2010-01-06,95,95,95,95,20908,95
2010-01-08,95,95,95,95,159,95
2010-01-12,95,95,95,95,24841,95
2010-01-18,95,95,95,95,22470,95
2010-01-25,95,95,95,95,888,95
2010-01-28,95,95,95,95,2212,95
2010-02-17,95,95,95,95,4100,95
2010-03-02,95,95,95,95,1052,95
2010-03-18,95,95,95,95,1052,95
2010-03-25,95,95,95,95,1100,95
2010-03-29,95,98,98,98,5263,98
2010-05-04,98,105,105,105,23000,105
2010-05-05,105,105,105,105,5000,105
2010-05-06,105,105,105,105,145,105
2010-05-11,105,95,95,95,20202,95
2010-06-21,95,100,100,100,6300,100
2010-06-23,100,100,100,100,2000,100
2010-07-01,100,100,100,100,2500,100
2010-07-02,100,100,100,100,10000,100
2010-07-15,100,100,100,100,10000,100
2010-07-20,100,100,100,100,500,100
2010-07-26,100,100,100,100,451,100
2010-08-09,100,100,100,100,6000,100
2010-08-13,100,100,100,100,397,100
2010-08-16,100,100,100,100,3000,100
2010-08-17,100,100,100,100,5300,100
2010-08-18,100,90,90,90,19338,90
2010-08-19,90,94,94,94,10000,94
2010-08-20,94,94,94,94,559,94
2010-08-23,94,100,100,100,50000,100
2010-08-24,100,91.1,91,91.05,19943,91.05
2010-08-25,91.05,93,91,93,34796,93
2010-08-26,93,100,97,100,79096,100
2010-08-27,100,105,100,100,54770,100
2010-08-31,100,100,100,100,1000,100
2010-09-07,100,95,94,95,10194,95
2010-09-08,95,95,94,94,39026,94
2010-09-10,94,91,91,91,15974,91
2010-09-13,91,91,91,91,3061,91
2010-09-14,91,92,92,92,7600,92
2010-09-21,92,92,92,92,697,92
2010-09-22,92,96,96,96,7259,96
2010-09-23,96,100.01,100,100.01,35564,100.01
2010-09-28,100.01,105,100.01,105,62386,105
2010-10-01,105,110,110,110,5000,110
2010-10-05,110,110,110,110,19000,110
2010-10-07,110,120,120,120,31000,120
