date,open,high,low,close,volume,adj_close
2009-06-03,215.01,215.2,215,215.2,2588817,215.2
2009-06-04,215.2,216.01,215,216,2932646,216
2009-06-05,216,225.52,215,225,5622685,225
2009-06-08,225,230,225,229,241209,229
2009-06-09,229,229.5,220.01,226,3700276,226
2009-06-10,226,226.01,226,226,5721861,226
2009-06-11,226,232,228,231.98,2184442,231.98
2009-06-12,235,235,230,231.5,2439216,231.5
2009-06-15,231.5,231.5,230,231,3244810,231
2009-06-16,231,231,229,230,942249,230
2009-06-17,230,225,218,220,619490,220
2009-06-18,220,220,218.1,220,256599,220
2009-06-19,220,220,218,218,1007600,218
2009-06-22,218,220,215.1,215.1,124811,215.1
2009-06-23,215.1,218.9,214,214,362743,214
2009-06-24,214,216,216,216,40000,216
2009-06-25,216,218.9,214,214,321494,214
2009-06-26,214,216.5,215,215,1395202,215
2009-06-30,215,215,215,215,497960,215
2009-07-01,215,215,215,215,86626,215
2009-07-02,215,213,213,213,642716,213
2009-07-03,213,215,213,213,1628894,213
2009-07-06,213,213,213,213,114663,213
2009-07-07,213,213.01,213,213.01,67000,213.01
2009-07-08,213.01,213.5,213,213,321140,213
2009-07-09,213,213.5,213,213,336953,213
2009-07-10,213,214,213,213.02,516714,213.02
2009-07-13,213.02,213.5,213.5,213.5,34919,213.5
2009-07-14,213.5,213.5,213,213,489129,213
2009-07-15,213,216,214,216,1965464,216
2009-07-17,216,219,218,219,29243,219
2009-07-20,219,221,220,221,95180,221
2009-07-21,221,221,220,221,598486,221
2009-07-22,221,221,221,221,39537,221
2009-07-23,221,222,221,221,117108,221
2009-07-24,221,224,221,222,10674,222
2009-07-28,222,221.89,221.89,221.89,10001,221.89
2009-07-29,221.89,221,221,221,59217,221
2009-07-30,221,222,221.1,221.1,565470,221.1
2009-07-31,221.1,221,219,219,94704,219
2009-08-03,219,220,218,218,394969,218
2009-08-04,218,220,218,220,544991,220
2009-08-05,220,220,219,219,45373,219
2009-08-06,219,220,215,215,121593,215
2009-08-07,215,215.01,215.01,215.01,45503,215.01
2009-08-10,215.01,216.51,216,216,175006,216
2009-08-11,216,215.5,213.9,213.9,219085,213.9
2009-08-12,213.9,215,213.99,214,1269061,214
2009-08-13,214,214.75,214.5,214.5,251887,214.5
2009-08-14,214.5,214.5,213.5,213.52,389903,213.52
2009-08-17,213.52,213.52,213,213.1,25568,213.1
2009-08-18,213.1,215,213,215,17255,215
2009-08-19,215,218,216,216,258905,216
2009-08-20,216,220,216,216,16842,216
2009-08-21,216,217.1,217,217.1,43600,217.1
2009-08-24,217.1,218,218,218,40000,218
2009-08-25,218,217.99,217.99,217.99,4248,217.99
2009-08-26,217.99,215.5,215,215.5,8344,215.5
2009-08-27,215.5,215.5,215,215,3258949,215
2009-08-28,215,215,215,215,179265,215
2009-08-31,215,215,214.99,215,701740,215
2009-09-01,215,221,214,214,220624,214
2009-09-02,214,215,215,215,53150,215
2009-09-03,215,216.01,216,216,259200,216
2009-09-04,216,216,215,216,3898996,216
2009-09-07,216,217,217,217,44526,217
2009-09-08,217,219.8,217,217,423992,217
2009-09-09,217,218,217,218,2366439,218
2009-09-10,218,220,219.9,220,161291,220
2009-09-11,220,221,220,221,145200,221
2009-09-14,221,224,221,224,52367,224
2009-09-15,224,224,223.7,223.7,266241,223.7
2009-09-16,223.7,223,221,221,366685,221
2009-09-17,221,221,221,221,50,221
2009-09-21,221,223,223,223,2160723,223
2009-09-22,223,223,221,223,92805,223
2009-09-23,223,223,220,222.89,254092,222.89
2009-09-24,222.89,222.89,222.89,222.89,2243,222.89
