date,open,high,low,close,volume,adj_close
2009-07-09,169.9,154.9,150,154.9,30052,154.9
2009-07-10,154.9,105,100,102.5,228331100,102.5
2009-07-13,102.5,115,107,107,700872,107
2009-07-14,107,107.01,107,107,154500,107
2009-07-20,107,102,102,102,4600,102
2009-07-21,102,105,103,105,354938,105
2009-07-27,105,108,106,106,528041,106
2009-07-28,106,106,106,106,766801,106
2009-07-29,106,105,105,105,10000,105
2009-07-30,105,106,105,106,467100,106
2009-07-31,106,105,105,105,96828,105
2009-08-03,105,105,105,105,5000,105
2009-08-04,105,106,106,106,50000,106
2009-08-05,106,106,106,106,6000,106
2009-08-06,106,107,107,107,178003,107
2009-08-11,107,108,108,108,111974,108
2009-08-14,108,108,108,108,102000,108
2009-08-17,108,108,108,108,50925,108
2009-08-20,108,107,104,107,1001561,107
2009-08-21,107,108,108,108,50000,108
2009-08-24,108,108,108,108,2213,108
2009-08-25,108,110,108,110,45059,110
2009-08-27,110,114,114,114,36887,114
2009-08-28,114,118,116,118,216666,118
2009-09-01,118,118,118,118,74149,118
2009-09-04,118,122,122,122,61359,122
2009-09-07,122,122,122,122,2119,122
2009-09-22,122,116,116,116,447881,116
2009-09-24,116,116,116,116,14219,116
2009-10-01,116,116,116,116,12775,116
2009-10-14,110,116,116,116,3573,116
2009-10-20,116,110,110,110,28600,110
2009-10-27,110,110,110,110,1300,110
2009-11-18,110,115,115,115,4757,115
2009-11-19,115,115,115,115,1603,115
2009-11-23,115,120,120,120,16833,120
2009-11-27,120,120,119,120,35000,120
2009-12-03,120,120,112,119.9,144128,119.9
2009-12-15,119.9,120,115,120,1563327,120
2009-12-22,120,120,115,120,963529,120
2009-12-28,120,125,112,125,330976,125
2009-12-29,125,130,120,125,695000,125
2009-12-30,125,126,126,126,100000,126
2010-01-04,126,126,126,126,3000,126
2010-01-05,126,128,128,128,200000,128
2010-01-08,128,128,128,128,12891,128
2010-01-25,128,128,128,128,4747,128
2010-01-28,128,127,120,127,3019649,127
2010-02-09,127,127,127,127,16312,127
2010-02-17,127,127,127,127,4575,127
2010-02-19,127,132,132,132,100000,132
2010-02-26,132,132,132,132,1000,132
2010-03-01,132,128,120,128,58501,128
2010-03-02,128,120,120,128,33501,128
2010-03-10,128,128,128,128,50000,128
2010-03-18,128,128,128,128,819,128
2010-03-19,128,128,128,128,50000,128
2010-03-26,128,128,128,128,50000,128
2010-03-31,128,128,128,128,57950,128
2010-04-06,128,129,129,129,50000,129
2010-04-22,129,135,135,135,52430,135
2010-04-23,135,135,134,134,45000,134
2010-05-12,134,134,124,131.17,92223,131.17
2010-05-14,131.17,131.17,131.17,131.17,800,131.17
2010-05-24,131.17,135,120,135,20922,135
2010-05-26,135,135,135,135,7940,135
2010-06-15,135,140,110,140,27800,140
2010-08-03,140,145,140,145,200000,145
2010-08-04,145,145,145,145,3411,145
2010-08-05,145,141,140,141,35900,141
2010-08-06,141,141,141,141,3411,141
2010-08-09,141,141,141,141,22299,141
2010-09-07,141,145,145,145,3573,145
2010-09-08,145,145,145,145,3573,145
2010-09-29,145,145,145,145,1818,145
2010-10-06,145,145,145,145,180000,145
2010-10-07,145,145,145,145,140000,145
2010-11-22,145,145,145,145,739,145
2010-11-23,145,140,140,140,14000,140
2010-11-24,140,140,140,140,1147,140
2010-11-25,140,140,140,140,31098,140
2010-12-10,140,140,140,140,6163,140
2010-12-17,140,140,140,140,7813,140
2010-12-20,140,140,140,140,31098,140
2010-12-28,140,140,140,140,5078,140
2011-01-05,140,140,140,140,100000,140
2011-01-06,140,140,140,140,50000,140
2011-01-07,140,140,140,140,35000,140
2011-01-19,140,140,140,140,50000,140
2011-02-04,140,140,140,140,30000,140
2011-02-09,140,140,140,140,2500,140
2011-02-11,140,140,140,140,30000,140
2011-02-15,140,140,140,140,31000,140
2011-02-16,140,140,140,140,30500,140
2011-02-17,140,140,140,140,30500,140
2011-02-18,140,140,140,140,31000,140
2011-02-22,140,140,140,140,31000,140
2011-02-23,140,140,140,140,30500,140
2011-02-24,140,140,140,140,30000,140
2011-02-28,140,140,140,140,30500,140
2011-03-01,140,140,140,140,30000,140
2011-03-02,140,140,140,140,32500,140
2011-03-03,140,140,140,140,30000,140
2011-03-04,140,140,140,140,145225,140
2011-03-07,140,140,140,140,32000,140
2011-03-08,140,140,140,140,32500,140
2011-03-11,140,140,140,140,31524,140
2011-03-14,140,140,140,140,71000,140
2011-03-16,140,140,140,140,71000,140
2011-03-17,140,139.9,139.9,139.9,31254,139.9
2011-03-18,139.9,139.9,139.9,139.9,31500,139.9
2011-03-21,139.9,140,140,140,31500,140
2011-03-22,140,139.99,139.99,139.99,31500,139.99
2011-03-23,139.99,139.89,139.89,139.89,31500,139.89
2011-03-24,139.89,139.89,139.89,139.89,243500,139.89
2011-03-25,139.89,139.89,139.89,139.89,32500,139.89
2011-03-30,139.89,139.89,139.89,139.89,32500,139.89
2011-03-31,139.89,139.89,139.89,139.89,32500,139.89
2011-04-01,139.89,139.89,139.89,139.89,31500,139.89
2011-04-05,139.89,140,140,140,31500,140
2011-04-06,140,140,140,140,31500,140
2011-04-07,140,140,140,140,31500,140
2011-04-11,140,140,140,140,31500,140
2011-04-12,140,140,140,140,31083,140
2011-04-13,140,140,140,140,31500,140
2011-04-14,140,140,140,140,140000,140
2011-04-15,140,140,140,140,31500,140
2011-04-18,140,140,140,140,31500,140
2011-04-19,140,140,140,140,31500,140
2011-04-20,140,140,140,140,31500,140
2011-04-21,140,140,140,140,32000,140
2011-04-25,140,140,140,140,31500,140
2011-04-26,140,140,140,140,31500,140
2011-04-27,140,140,140,140,31000,140
2011-04-28,140,140,140,140,31000,140
2011-05-02,140,140,140,140,31500,140
2011-05-03,140,140,140,140,31100,140
2011-05-09,140,140,140,140,72000,140
2011-06-13,140,140,140,140,132,140
2011-06-21,140,140,140,140,247330,140
2011-06-24,140,139.4,139.4,139.4,654000,139.4
2011-07-21,139.4,139.4,130,139.4,1820019,139.4
2011-07-22,131.03,139,131.03,138.5,3706010,138.5
2011-08-04,138.5,130,130,130,50000,130
2011-08-11,130,130,130,130,425000,130
2011-08-23,130,120,120,120,79557,120
2011-09-16,120,122.5,122.5,122.5,2030000,122.5
2011-10-11,122.5,125,125,125,1600000,125
2011-10-12,125,122,122,122,4368,122
2011-10-18,122,130,130,130,1540000,130
2011-11-08,130,138.5,135,135,54000,135
