date,open,high,low,close,volume,adj_close
2013-09-27,49.28,49.28,49.28,49.28,201,49.28
2013-10-16,49.28,51.03,51.03,51.03,201,51.03
2014-02-06,51.03,48.15,47.67,47.67,1397,47.67
2014-02-07,47.67,48.1,48.1,48.1,2965,48.1
2014-02-12,48.1,49.61,49.5,49.5,3248,49.5
2014-02-18,49.5,49.24,49.24,49.24,415,49.24
2014-04-03,49.24,50.75,50.75,50.75,699,50.75
2015-06-17,50.75,62.1,62.1,62.1,126,62.1
2015-07-09,62.1,62.1,62.02,62.02,550,62.02
2015-07-15,62.02,64.02,64.02,64.02,320,64.02
2015-07-22,64.02,64.28,64.28,64.28,230,64.28
2015-11-12,64.28,60.1,60.1,60.1,420,60.1
2015-12-04,60.1,64.16,64.16,64.16,420,64.16
2015-12-11,64.16,60.05,60,60,566,60
2016-04-13,60,54.62,54.62,54.62,182,54.62
2016-06-09,54.62,56.3,56.3,56.3,130,56.3
2016-11-18,56.3,64.25,64.25,64.25,500,64.25
2017-08-02,64.25,65.49,65.49,65.49,182,65.49
2018-03-01,65.49,58.03,58.03,58.03,200,58.03
2018-05-10,58.03,52.7,52.7,52.7,215,52.7
2018-05-29,52.7,52.1,52.1,52.1,110,52.1
2018-08-17,52.1,52.44,52.44,52.44,75,52.44
2018-10-23,52.44,44.15,44.15,44.15,50,44.15
2018-10-30,44.15,39.62,39.62,39.62,150,39.62
2018-12-14,39.62,37,37,37,215,37
2019-02-27,37,43.52,43.52,43.52,1059,43.52
2019-04-02,43.52,43.49,43.49,43.49,110,43.49
2019-05-15,43.49,51.95,51.95,51.95,90,51.95
2019-08-02,51.95,54.37,54.37,54.37,66,54.37
2019-08-12,54.37,54.79,54.79,54.79,215,54.79
2019-08-27,54.79,52.5,52.5,52.5,200,52.5
2019-09-16,52.5,56.27,56.27,56.27,150,56.27
2019-11-22,56.27,52.24,52.24,56.27,62,56.27
2019-12-17,56.27,52.01,52.01,56.27,63,56.27
2020-03-26,56.27,25.85,25.85,56.27,37,56.27
2020-04-02,56.27,21.65,21.39,56.27,190,56.27
2020-04-06,56.27,21.5,21.5,56.27,93,56.27
2020-04-07,56.27,23.5,23.5,23.5,421,23.5
2020-04-09,23.5,27.2,26.2,27.2,5152,27.2
2020-04-14,27.2,26,26,27.2,80,27.2
2020-04-17,27.2,24.3,24.3,27.2,35,27.2
2020-05-07,27.2,25,25,27.2,4,27.2
2020-05-26,27.2,30.7,30.7,27.2,80,27.2
2020-06-05,27.2,37.16,37.16,27.2,37,27.2
2020-06-11,27.2,32.5,32.5,32.5,249,32.5
2020-07-08,32.5,29.1,29.1,32.5,102,32.5
2020-07-14,32.5,30.35,30.35,32.5,150,32.5
2020-08-04,32.5,29.97,29.97,32.5,100,32.5
2020-08-17,32.5,30.35,30.35,32.5,100,32.5
2020-08-19,32.5,29.76,29.76,32.5,34,32.5
2020-09-30,32.5,27.54,27.54,27.54,1059,27.54
2020-10-01,27.54,27.66,27.66,27.66,150,27.66
2020-11-04,27.54,32.01,32.01,32.01,600,32.01
2020-11-10,32.01,37.5,37.5,32.01,100,32.01
2020-11-16,32.01,38.16,38.16,38.16,249,38.16
