date,open,high,low,close,volume,adj_close
2009-06-03,52.56441,52.6617,52.0777,52.4184,5147397,52.4184
2009-06-04,52.41838,53.0511,52.5644,53.0511,2499388,53.0511
2009-06-05,53.05107,54.5112,53.0511,54.1997,4770655,54.1997
2009-06-08,54.19976,53.4405,53.0511,53.4405,9643179,53.4405
2009-06-09,53.44045,54.5112,52.5644,54.4528,4201346,54.4528
2009-06-10,54.45278,55.4846,54.0245,55.4846,19958390,55.4846
2009-06-11,55.48468,55.9713,55.4652,55.7475,3787196,55.7475
2009-06-12,55.74742,55.4846,55.1926,55.4846,4308823,55.4846
2009-06-15,55.48459,55.9713,54.5112,55.9713,2498270,55.9713
2009-06-16,55.97131,55.9713,54.9979,55.4846,2299299,55.4846
2009-06-17,55.48463,54.9979,53.0511,53.1095,2442682,53.1095
2009-06-18,53.1095,53.5378,53.0511,53.5378,1374390,53.5378
2009-06-19,53.5378,53.5378,53.5281,53.5378,493128,53.5378
2009-06-22,53.53783,53.5378,51.591,51.591,724694,51.591
2009-06-23,51.59098,52.0777,50.1309,51.883,1682946,51.883
2009-06-24,51.88304,52.5644,50.6176,50.6176,598949,50.6176
2009-06-25,50.61761,50.6176,49.6636,50.1601,3069321,50.1601
2009-06-26,50.16006,50.5981,49.1574,50.5981,7815453,50.5981
2009-06-30,50.59811,50.5981,49.6539,49.6539,6565378,49.6539
2009-07-01,49.65388,51.1043,50.5981,50.6857,2337012,50.6857
2009-07-02,50.68568,50.6176,49.6441,50.5202,1094688,50.5202
2009-07-03,50.52024,51.5618,50.1309,51.5618,1079592,51.5618
2009-07-06,51.56179,52.0777,51.3963,52.0777,1894156,52.0777
2009-07-07,52.07771,51.737,50.8609,51.591,20229700,51.591
2009-07-08,51.59101,51.591,50.2282,50.6176,1794732,50.6176
2009-07-09,50.61758,50.6176,50.4229,50.4229,2950438,50.4229
2009-07-10,50.42286,50.6176,50.4229,50.5202,870566,50.5202
2009-07-13,50.52025,51.1043,50.1309,51.1043,2404010,51.1043
2009-07-14,51.10429,51.591,51.1043,51.2503,887952,51.2503
2009-07-15,51.25029,52.9538,51.2503,52.5644,3948260,52.5644
2009-07-17,52.56443,52.798,52.5644,52.6423,505948,52.6423
2009-07-20,52.64222,52.8077,52.5644,52.7493,1036920,52.7493
2009-07-21,52.74935,52.5644,52.5644,52.5644,172038,52.5644
2009-07-22,52.56442,52.5157,51.1043,51.1043,1643382,51.1043
2009-07-23,51.10425,51.591,51.1043,51.3476,27348340,51.3476
2009-07-24,51.34764,51.591,51.591,51.591,12335950,51.591
2009-07-27,51.59093,51.591,50.6176,50.8414,817880,50.8414
2009-07-28,50.84142,51.5812,50.6176,51.3476,221789700,51.3476
2009-07-29,51.34758,51.3476,50.8122,50.8122,684249,50.8122
2009-07-30,50.8122,51.5812,50.8122,51.5812,856373,51.5812
2009-07-31,51.58126,51.591,50.7149,51.591,2752763,51.591
2009-08-03,51.59096,51.6883,51.591,51.6883,278446,51.6883
2009-08-04,51.68834,52.0777,51.591,52.0777,714251,52.0777
2009-08-05,52.07767,52.0777,51.9803,52.0582,833766,52.0582
2009-08-06,52.0582,52.0777,51.0069,51.6007,2304253,51.6007
2009-08-07,51.60073,51.591,51.591,51.591,259456,51.591
2009-08-10,51.59101,51.591,50.6176,50.6176,3311391,50.6176
2009-08-11,50.61756,50.6176,49.6441,49.9167,4449470,49.9167
2009-08-12,49.91669,50.3742,50.1309,50.3742,683994,50.3742
2009-08-13,50.37417,50.3255,50.0335,50.3255,891078,50.3255
2009-08-14,50.32553,50.3255,50.3255,50.3742,122887,50.3742
2009-08-17,50.37423,50.4229,49.9848,50.4229,1246631,50.4229
2009-08-18,50.42284,50.4229,49.9848,49.9848,3861854,49.9848
2009-08-19,49.98481,50.1309,49.8875,49.8972,3772617,49.8972
2009-08-20,49.89722,50.1309,50.0335,50.0335,495575,50.0335
2009-08-21,50.03354,50.0335,49.6441,49.9362,2141779,49.9362
2009-08-24,49.93612,49.9362,49.6441,49.6441,884675,49.6441
2009-08-25,49.64412,50.6176,50.1309,50.6078,675650,50.6078
2009-08-26,50.60781,50.6078,49.6441,50.5202,1328671,50.5202
2009-08-27,50.52021,50.5105,49.1574,50.0043,9265141,50.0043
2009-08-28,50.00426,49.6539,48.9141,49.6441,9182358,49.6441
2009-08-31,49.6442,49.6441,47.7071,47.7071,3190264,47.7071
2009-09-01,47.70708,48.6805,48.2814,48.2814,2712646,48.2814
2009-09-02,48.28139,48.4274,48.184,48.4274,1885501,48.4274
2009-09-03,48.4274,48.4274,48.184,48.4274,1442089,48.4274
2009-09-04,48.42735,48.6707,48.4274,48.6707,2301167,48.6707
2009-09-07,48.67068,49.6441,48.7875,49.6441,193920,49.6441
