date,open,high,low,close,volume,adj_close
2015-06-30,152.89,152.89,152.89,152.89,28,152.89
2015-07-28,152.89,172.42,172.42,172.42,28,172.42
2020-02-20,172.42,222.62,222.62,222.62,222,222.62
2020-04-09,222.62,218.4,218.4,222.62,1,222.62
2020-04-30,222.62,235.1,235.1,222.62,1,222.62
2020-05-08,222.62,233,233,222.62,1,222.62
2020-06-17,222.62,227,227,222.62,14,222.62
2020-06-22,222.62,235.39,235.39,235.39,51,235.39
2020-07-01,235.39,249.07,249.07,235.39,14,235.39
2020-07-24,235.39,248.66,248.66,248.66,51,248.66
2020-08-26,248.66,249.15,249.15,248.66,20,248.66
2020-09-10,248.66,244.16,244.16,248.66,20,248.66
2020-10-06,248.66,255.16,255.16,255.16,222,255.16
2021-04-20,255.16,259.13,259.13,255.16,2,255.16
2021-05-04,255.16,247.25,247.25,255.16,14,255.16
