date,open,high,low,close,volume,adj_close
2013-03-21,254,255.85,254,254,165,254
2013-03-22,254,253,253,253,40,253
2013-03-27,253,265.5,263.7,265.03,127,265.03
2013-04-02,265.03,264.03,263.95,263.97,207,263.97
2013-05-03,263.97,258.95,257.24,258.95,69,258.95
2013-05-15,258.95,268.59,268.59,268.59,12,268.59
2013-05-20,268.59,275.8,275.8,275.8,2,275.8
2013-06-07,275.8,277,277,277,207,277
2013-06-18,277,280,280,280,5,280
2013-06-21,280,274.47,274.47,274.47,36,274.47
2013-06-25,274.47,271.49,271.49,271.49,10,271.49
2013-07-01,271.49,282.37,282.37,282.37,15,282.37
2013-07-26,282.37,300,300,300,10,300
2013-08-09,300,296.76,296.76,296.76,42,296.76
2013-10-03,296.76,315.7,315.7,315.7,36,315.7
2013-10-08,315.7,307.99,307.99,307.99,128,307.99
2013-10-10,307.99,305.5,303.12,303.59,216,303.59
2013-10-15,303.59,307,307,307,65,307
2013-10-18,307,329.78,317.09,329.78,281,329.78
2013-11-07,329.78,356.93,356.93,356.93,32,356.93
2013-11-27,356.93,386,386,386,32,386
2014-01-15,386,394.98,394.76,394.79,266,394.79
2014-02-13,394.79,348,348,348,25,348
2014-04-04,348,334.75,334.75,334.75,278,334.75
2014-04-08,334.75,319,319,319,286,319
2014-04-17,319,326.8,326.8,326.8,5,326.8
2014-04-25,326.8,305.34,305.34,305.34,51,305.34
2014-05-07,305.34,291.82,290.66,291.82,126,291.82
2014-05-08,291.82,293.67,293.67,293.67,25,293.67
2014-06-12,293.67,327.63,327.63,327.63,19,327.63
2014-09-04,327.63,348,348,348,690,348
2014-09-29,348,320.93,320.93,320.93,5,320.93
2014-10-17,320.93,308.2,308.2,308.2,68,308.2
2014-10-20,308.2,304.57,303.56,303.56,1120,303.56
2014-10-21,303.56,311.54,311.54,311.54,51,311.54
2014-10-23,311.54,313.73,313.73,313.73,150,313.73
2014-10-24,313.73,290.5,285.86,285.86,610,285.86
2014-11-03,285.86,307.26,303.8,307.26,41,307.26
2014-11-05,307.26,296.69,296.69,296.69,67,296.69
2014-11-11,296.69,310.11,310.11,310.11,330,310.11
2014-11-14,310.11,330.13,322.32,330.13,115,330.13
2014-11-19,330.13,326.55,326.55,326.55,29,326.55
2014-11-21,326.55,333.04,333.04,333.04,76,333.04
2014-12-01,333.04,328.57,328.57,328.57,67,328.57
2014-12-02,328.57,323.93,323.93,323.93,31,323.93
2014-12-30,323.93,311.39,311.39,311.39,100,311.39
2015-01-07,311.39,300.3,300.3,300.3,40,300.3
2015-01-21,300.3,296,296,296,144,296
2015-01-23,296,315.36,315.36,315.36,20,315.36
2015-01-30,315.36,358.46,345.1,358.46,1464,358.46
2015-02-02,358.46,353.59,353.59,353.59,60,353.59
2015-04-22,353.59,391,391,391,68,391
2015-05-19,391,422.43,422.43,422.43,25,422.43
2015-06-01,422.43,431.74,431.74,431.74,5,431.74
2015-06-05,431.74,427.41,427.41,427.41,4,427.41
2015-07-21,427.41,485.88,485.88,485.88,25,485.88
2015-07-28,485.88,526.13,526.13,526.13,2,526.13
2015-07-31,526.13,537.45,537.45,537.45,14,537.45
2015-09-08,537.45,509.49,509.49,509.49,5,509.49
2015-09-15,509.49,522.47,522.47,522.47,9,522.47
2015-09-17,522.47,529.74,529.43,529.74,29,529.74
2015-09-21,529.74,549.41,549.41,549.41,14,549.41
2015-09-28,549.41,511.5,511.5,511.5,2,511.5
2015-10-07,511.5,531.62,530.85,531.62,35,531.62
2015-10-21,531.62,553.38,553.38,553.38,18,553.38
2015-10-22,553.38,562.99,562.99,562.99,12,562.99
2015-10-23,562.99,604.8,601.77,603.7,36,603.7
2015-10-30,603.7,628.43,628.43,628.43,14,628.43
2015-11-19,628.43,665.9,665.9,665.9,9,665.9
2015-11-27,665.9,675.04,675.04,675.04,3,675.04
2015-12-03,675.04,667.7,667.7,667.7,10,667.7
2015-12-14,667.7,645.61,645.61,645.61,15,645.61
2015-12-23,645.61,666.41,666.41,666.41,35,666.41
2016-01-05,666.41,635.93,629.57,629.57,62,629.57
2016-01-07,629.57,625.92,625.51,625.51,6,625.51
2016-01-08,625.51,615.37,615.37,615.37,10,615.37
2016-01-11,615.37,609.94,609.94,609.94,8,609.94
2016-01-13,609.94,606,606,606,69,606
2016-01-14,606,585.99,585.99,585.99,9,585.99
2016-01-19,585.99,579.3,579.3,579.3,1,579.3
2016-01-27,579.3,588.51,588.51,588.51,25,588.51
2016-02-01,588.51,576.01,576.01,576.01,9,576.01
2016-02-09,576.01,484.71,484.71,484.71,3,484.71
2016-03-03,484.71,577.62,574.31,574.31,656,574.31
2016-03-07,574.31,562.13,562.13,562.13,21,562.13
2016-03-14,562.13,565.15,565.15,565.15,9,565.15
2016-03-28,565.15,582.95,582.95,582.95,1,582.95
2016-04-04,582.95,596.38,596.38,596.38,9,596.38
2016-04-05,596.38,588.69,588.69,588.69,7,588.69
2016-04-07,588.69,591.83,591.83,591.83,5,591.83
2016-04-08,591.83,594.89,594.89,594.89,4,594.89
2016-04-11,594.89,599.99,599.99,599.99,5,599.99
2016-04-13,599.99,614.37,614.37,614.37,5,614.37
2016-04-15,614.37,623.02,623.02,623.02,47,623.02
2016-04-18,623.02,636.6,632,632,52,632
2016-04-19,632,635.84,622.73,622.73,72,622.73
2016-04-26,622.73,617.32,617.32,617.32,12,617.32
2016-04-27,617.32,610,610,610,7,610
2016-04-29,610,662.04,656.07,656.44,152,656.44
2016-05-03,656.44,676.75,676.75,676.75,25,676.75
2016-05-04,676.75,666.8,666.8,666.8,8,666.8
2016-05-09,666.8,686.14,683.36,683.36,87,683.36
2016-05-10,683.36,697.88,692.8,697.88,60,697.88
2016-05-11,697.88,716.58,704,714.74,99,714.74
2016-05-12,714.74,719.59,715.99,717,40,717
2016-05-16,717,712.28,712.28,712.28,1,712.28
2016-05-19,712.28,691,691,691,7,691
2016-05-26,691,714.34,713.74,714.34,656,714.34
2016-06-07,714.34,725.12,725.12,725.12,8,725.12
2016-06-24,725.12,701.31,701.31,701.31,35,701.31
2016-06-28,701.31,705.48,705.48,705.48,6,705.48
2016-07-01,705.48,726.46,726.46,726.46,21,726.46
2016-07-12,726.46,748,748,748,52,748
2016-07-22,748,749.64,746,746.5,40,746.5
2016-07-25,746.5,748,748,748,20,748
2016-07-27,748,738.8,736,738.8,113,738.8
2016-07-29,738.8,762.04,762.04,762.04,5,762.04
2016-08-01,762.04,767.01,767.01,767.01,10,767.01
2016-08-05,767.01,767.66,765.95,765.95,4,765.95
2016-08-09,765.95,776.43,771.8,776.43,9,776.43
2016-08-11,776.43,772.6,770.48,771.63,4,771.63
2016-08-12,771.63,771.38,771.38,771.38,2,771.38
2016-08-16,771.38,766.9,764.06,764.06,104,764.06
2016-08-18,764.06,762.22,762.22,762.22,40,762.22
2016-09-16,762.22,778.37,778.37,778.37,2,778.37
2016-09-20,778.37,779.08,779.08,779.08,5,779.08
2016-10-04,779.08,835.37,835.37,835.37,40,835.37
2016-10-06,835.37,841.35,841.35,841.35,2,841.35
2016-10-18,841.35,821.19,816.6,821.19,26,821.19
2016-10-19,821.19,820.84,816.59,817.86,78,817.86
2016-10-20,817.86,811.79,808.8,808.8,59,808.8
2016-10-21,808.8,814.57,812.77,814.57,517,814.57
2016-10-24,814.57,832.17,830.35,830.35,15,830.35
2016-10-25,830.35,841.41,837.03,841.41,13,841.41
2016-10-26,841.41,829.11,821.19,821.19,114,821.19
2016-10-27,821.19,822.71,819.98,819.98,23,819.98
2016-10-28,819.98,781.9,780.43,781.9,24,781.9
2016-11-03,781.9,768.88,767.7,767.7,52,767.7
2016-11-04,767.7,759.81,759.81,759.81,19,759.81
2016-11-07,759.81,782.72,782.72,782.72,39,782.72
2016-11-08,782.72,787.38,787.38,787.38,52,787.38
2016-11-09,787.38,763.57,762.71,762.71,50,762.71
2016-11-10,762.71,732.84,732.84,732.84,4,732.84
2016-11-14,732.84,733.5,733.5,733.5,40,733.5
2016-11-22,733.5,790,786.26,790,40,790
2016-11-28,790,767.9,765.74,767.9,41,767.9
2016-11-29,767.9,768.01,764.85,767.34,29,767.34
2016-11-30,767.34,753.6,753.6,753.6,19,753.6
2016-12-02,753.6,744.67,744.67,744.67,13,744.67
2016-12-05,744.67,759.69,758.75,759.69,10,759.69
2016-12-06,759.69,766.73,766,766,30,766
2016-12-07,766,763.49,758.81,762.76,99,762.76
2016-12-09,762.76,767.26,767.26,767.26,233,767.26
2016-12-12,767.26,761.11,759.16,760.8,44,760.8
2016-12-13,760.8,779.55,779.55,779.55,175,779.55
2016-12-15,779.55,765.42,765,765,39,765
2016-12-16,765,755,755,755,13,755
2016-12-19,755,769.86,769.86,769.86,13,769.86
2016-12-27,769.86,771.75,771.75,771.75,2,771.75
2016-12-29,771.75,769.18,769.18,769.18,5,769.18
