date,open,high,low,close,volume,adj_close
2009-06-11,900,1100,1100,1100,678,1100
2009-08-21,1100,1101,1101,1101,683,1101
2010-03-25,1101,1300,1300,1300,683,1300
2011-07-01,1300,1551,1551,1551,23238,1551
2011-07-25,1551,1551,1551,1551,273,1551
2011-12-01,1551,1551,1551,1551,97,1551
2012-03-09,1551,1550,1550,1550,1639,1550
2012-03-21,1550,1550,1550,1550,134,1550
2013-05-27,1550,1550,1550,1550,91,1550
2013-06-17,1550,1550,1550,1550,854,1550
2013-07-31,1550,1550,1550,1550,680,1550
2013-09-24,1550,1550,1550,1550,89,1550
2014-06-04,1550,1550,1550,1550,144,1550
2014-10-29,1550,1550,1550,1550,5,1550
2015-04-16,1550,1750,1750,1750,4926,1750
2015-06-26,1750,1750,1750,1750,134,1750
2015-07-06,1750,1750,1750,1750,18,1750
2015-12-23,1750,1800,1800,1800,2832,1800
2016-03-10,1800,1800,1800,1800,3800,1800
2016-08-19,1800,1800,1800,1800,255,1800
2017-04-17,1800,1800,1800,1800,4150,1800
2019-10-22,1800,1800,1800,1800,0,1800
2019-11-19,1800,1800,1800,1800,0,1800
2019-11-20,1800,1800,1800,1800,0,1800
2019-11-21,1800,1800,1800,1800,0,1800
2019-11-23,1800,1800,1800,1800,0,1800
2019-12-20,1800,1800,1800,1800,0,1800
2020-04-04,1800,1800,1800,1800,0,1800
2020-04-09,1800,1800,1800,1800,0,1800
2020-04-18,1800,1800,1800,1800,0,1800
2021-03-09,1800,2100,2000,2100,10395,2100
2021-03-17,2100,2300,2300,2100,430,2100
