date,open,high,low,close,volume,adj_close
2009-06-03,1270,1265,1250,1265,19246,1265
2009-06-04,1265,1300,1290,1300,16310,1300
2009-06-05,1300,1300,1300,1300,1538,1300
2009-06-08,1300,1349,1300,1349,28693,1349
2009-06-09,1349,1330.1,1330,1330,72650,1330
2009-06-10,1330,1342,1330,1342,18207,1342
2009-06-11,1342,1350,1330,1330,117474,1330
2009-06-12,1330,1330,1330,1330,42447,1330
2009-06-15,1330,1290,1290,1290,20401,1290
2009-06-17,1290,1290,1290,1290,4082,1290
2009-06-18,1290,1270.1,1270,1270.1,249027,1270.1
2009-06-19,1270.1,1330,1301,1325,17358,1325
2009-06-22,1325,1300,1280,1280,21034,1280
2009-06-23,1280,1280,1280,1280,11558,1280
2009-06-24,1280,1280,1260,1260,30000,1260
2009-06-25,1260,1275,1275,1275,3110,1275
2009-06-30,1275,1295,1280,1295,29560,1295
2009-07-01,1295,1301,1300,1301,11930,1301
2009-07-03,1301,1300,1300,1300,7538,1300
2009-07-06,1300,1300,1300,1300,1878,1300
2009-07-08,1300,1300,1290,1290,18240,1290
2009-07-10,1290,1280,1280,1280,13000,1280
2009-07-13,1280,1290,1280,1290,5040,1290
2009-07-14,1290,1315,1310,1315,25115,1315
2009-07-15,1315,1360,1320,1343,50525,1343
2009-07-17,1343,1360,1350,1360,40468,1360
2009-07-21,1360,1360,1360,1360,3919,1360
2009-07-23,1360,1360,1359,1360,340750,1360
2009-07-24,1360,1360,1360,1360,359908,1360
2009-07-27,1360,1360,1360,1360,27594,1360
2009-07-28,1360,1360,1355,1360,14142,1360
2009-07-29,1360,1400,1400,1400,10185,1400
2009-07-30,1400,1460,1400,1400,5470,1400
2009-07-31,1400,1380,1380,1380,2071,1380
2009-08-03,1380,1350,1350,1350,30602,1350
2009-08-04,1350,1360,1360,1360,33000,1360
2009-08-05,1360,1360,1340,1340,43770,1340
2009-08-06,1340,1340,1335,1335,32622,1335
2009-08-07,1335,1410,1349,1410,26672,1410
2009-08-10,1410,1410,1400,1400,13647,1400
2009-08-11,1400,1400,1390,1390,30270,1390
2009-08-18,1390,1350,1350,1350,5663,1350
2009-08-20,1350,1370,1350,1370,13040,1370
2009-08-21,1370,1370,1369,1370,92670,1370
2009-08-24,1370,1370,1370,1370,12570,1370
2009-08-25,1370,1370,1370,1370,15710,1370
2009-08-31,1370,1330,1324,1330,65364,1330
2009-09-01,1330,1365,1365,1365,10374,1365
2009-09-03,1365,1355,1350,1355,17761,1355
2009-09-04,1355,1360,1360,1360,1250,1360
2009-09-08,1360,1370,1365,1370,291100,1370
2009-09-09,1370,1380,1370.1,1370.1,15408,1370.1
2009-09-10,1370.1,1380,1372,1372,39719,1372
2009-09-11,1372,1380,1380,1380,111918,1380
2009-09-14,1380,1400,1380,1390,57610,1390
2009-09-15,1390,1390,1390,1390,14400,1390
2009-09-16,1390,1390,1380,1380,59382,1380
2009-09-17,1380,1384,1383.9,1383.9,17874,1383.9
2009-09-21,1383.9,1390,1380,1380,79428,1380
2009-09-22,1380,1380,1380,1380,20211,1380
2009-09-23,1380,1370.1,1370,1370,47825,1370
2009-09-24,1370,1370.1,1365,1365,36360,1365
2009-09-25,1365,1370,1365,1365,45185,1365
2009-09-28,1365,1370,1365,1370,9440,1370
2009-09-29,1370,1370,1368.9,1368.9,176045,1368.9
2009-09-30,1368.9,1380,1368.9,1380,317697,1380
2009-10-01,1380,1385,1380,1385,54352,1385
2009-10-02,1385,1390,1380,1380,159062,1380
2009-10-05,1380,1380,1375,1380,139435,1380
2009-10-06,1380,1387,1380,1385,320000,1385
2009-10-07,1385,1400,1386,1400,209198,1400
2009-10-08,1400,1401,1398,1400.1,83325,1400.1
2009-10-09,1400.1,1418,1392,1415,114687,1415
2009-10-13,1415,1450,1425,1440.3,70616,1440.3
2009-10-14,1440.3,1447.6,1430,1430,85646,1430
2009-10-15,1430,1430,1430,1430,345,1430
2009-10-19,1430,1450,1450,1430,345,1430
2009-10-22,1430,1429,1429,1429,354846,1429
2009-10-23,1429,1420,1420,1420,40491,1420
2009-10-27,1420,1395,1375,1375,243083,1375
2009-10-28,1375,1375,1350,1350,91029,1350
2009-10-29,1350,1352,1320,1325,47351,1325
2009-10-30,1325,1352,1330,1330,25291,1330
2009-11-02,1330,1330,1330,1330,11855,1330
2009-11-03,1330,1330.1,1330,1330,16086,1330
2009-11-04,1330,1360,1354.5,1360,13914,1360
2009-11-06,1360,1360,1360,1360,2412,1360
2009-11-09,1360,1375,1370,1375,17040,1375
2009-11-10,1375,1438,1360,1360,296091,1360
2009-11-12,1360,1360,1360,1360,13800,1360
2009-11-16,1360,1350,1340,1340,94446,1340
2009-11-18,1340,1330,1330,1330,109847,1330
2009-11-19,1330,1330,1330,1330,6000,1330
2009-11-20,1330,1350,1330,1330,17900,1330
2009-11-24,1330,1330,1300,1300,34948,1300
2009-11-25,1300,1300,1300,1300,41810,1300
2009-11-26,1300,1300,1290,1290,5383,1290
2009-11-27,1290,1300,1295,1300,5929,1300
2009-11-30,1300,1300,1300,1300,3000,1300
2009-12-01,1300,1301,1295,1295,33256,1295
2009-12-02,1295,1305,1295.1,1295.1,2119378,1295.1
2009-12-03,1295.1,1300.1,1300,1295.1,770,1295.1
2009-12-04,1295.1,1300,1295.1,1300,9000,1300
2009-12-07,1300,1300,1300,1300,2485,1300
2009-12-09,1300,1301,1300,1300,25347,1300
2009-12-10,1300,1300,1300,1300,1020520,1300
2009-12-15,1300,1325,1300.1,1325,2500,1325
2009-12-16,1325,1350,1325,1350,153459,1350
2009-12-17,1350,1365,1350,1365,11475,1365
2009-12-18,1365,1400,1380,1400,38604,1400
2009-12-21,1400,1405,1400,1405,552245,1405
