date,open,high,low,close,volume,adj_close
2009-06-03,1569,1585,1540,1580,127554,1580
2009-06-04,1580,1590,1579,1580,217903,1580
2009-06-05,1580,1590,1575,1588,286621,1588
2009-06-08,1588,1588,1550,1580,92974,1580
2009-06-09,1580,1590,1580,1589,669870,1589
2009-06-10,1589,1600,1564,1580,510779,1580
2009-06-11,1580,1585,1560,1562.4,315783,1562.4
2009-06-12,1562.4,1584,1550,1583.9,341145,1583.9
2009-06-15,1583.9,1583,1550,1579.9,65290,1579.9
2009-06-16,1579.9,1583,1560,1570,456619,1570
2009-06-17,1570,1565,1549.9,1556.1,70283,1556.1
2009-06-18,1556.1,1570,1540,1540,128371,1540
2009-06-19,1539,1555,1539,1548,348176,1548
2009-06-22,1555,1540,1477,1488.1,227398,1488.1
2009-06-23,1510,1510.1,1470,1474.3,64693,1474.3
2009-06-24,1474.3,1500,1446,1446,591159,1446
2009-06-25,1446,1470,1455,1470,1160285,1470
2009-06-26,1470,1498,1470,1496,194211,1496
2009-06-30,1496,1540,1499,1535.4,390519,1535.4
2009-07-01,1535.4,1550,1535,1535,94001,1535
2009-07-02,1535,1540,1529.9,1535,354514,1535
2009-07-03,1540,1560,1539,1559.8,103970,1559.8
2009-07-06,1559.8,1560,1520,1560,36034,1560
2009-07-07,1560,1560.1,1550,1558.1,63809,1558.1
2009-07-08,1558.1,1559,1551,1551,151156,1551
2009-07-09,1551,1580,1555,1560,198821,1560
2009-07-10,1560,1560.1,1540,1560,206226,1560
2009-07-13,1560,1580,1550,1580,54854,1580
2009-07-14,1580,1598,1580,1598,83337,1598
2009-07-15,1598,1620,1599,1610,327609,1610
2009-07-17,1610,1611,1600,1610,291156,1610
2009-07-20,1610,1615,1600,1600,174335,1600
2009-07-21,1600,1615,1585,1590.8,431450,1590.8
2009-07-22,1590.8,1615,1570,1570,134849,1570
2009-07-23,1570,1590.2,1570,1586.1,2396608,1586.1
2009-07-24,1586.1,1640,1580,1640,4976898,1640
2009-07-27,1640,1640,1619.8,1622,179676,1622
2009-07-28,1622,1630,1594,1594.4,43256,1594.4
2009-07-29,1594.4,1620,1585,1620,184469,1620
2009-07-30,1620,1620,1590,1598.1,557370,1598.1
2009-07-31,1598.1,1605,1590,1597,292020,1597
2009-08-03,1597,1600,1570,1580,164994,1580
2009-08-04,1580,1590,1570,1580,624314,1580
2009-08-05,1580,1600,1555,1561.6,544124,1561.6
2009-08-06,1561.6,1590,1555,1555.2,200895,1555.2
2009-08-07,1555.2,1635,1576,1620,620436,1620
2009-08-10,1620,1680,1584,1624.1,315104,1624.1
2009-08-11,1624.1,1670,1620,1634.1,292535,1634.1
2009-08-12,1634.1,1664.9,1640,1664.1,576619,1664.1
2009-08-13,1670,1670,1610,1618.5,539794,1618.5
2009-08-14,1618.5,1630,1595,1629.9,217036,1629.9
2009-08-17,1629.9,1620,1600,1615,254335,1615
2009-08-18,1615,1640,1614.9,1620,318712,1620
2009-08-19,1620,1610,1609,1610,143230,1610
2009-08-20,1610,1630,1594,1597.7,207598,1597.7
2009-08-21,1597.7,1600,1575,1575.7,788321,1575.7
2009-08-24,1575.7,1590,1570,1579.9,287846,1579.9
2009-08-25,1579.9,1585,1575.1,1576,581945,1576
2009-08-26,1576,1597,1576,1585,670766,1585
2009-08-27,1585,1585.1,1570,1575.8,445642,1575.8
2009-08-28,1575.8,1580,1560,1568.9,99425,1568.9
2009-08-31,1570,1580,1561,1574,2642170,1574
2009-09-01,1574,1586.2,1570,1579.9,870371,1579.9
2009-09-02,1579.9,1590,1571,1585,323700,1585
2009-09-03,1585,1590,1585,1590,338998,1590
2009-09-04,1590,1610,1600,1610,178234,1610
2009-09-07,1610,1625,1600,1600,81372,1600
2009-09-08,1599,1625,1599,1625,168362,1625
2009-09-09,1625,1645,1625,1629,230133,1629
2009-09-10,1629,1829,1620,1630,319282,1630
2009-09-11,1620,1650,1620,1650,711077,1650
2009-09-14,1650,1655,1645,1654,294569,1654
2009-09-15,1654,1660,1639,1644.9,1882106,1644.9
2009-09-16,1644.9,1655,1639,1639,86098,1639
2009-09-17,1640,1650,1630,1640,912964,1640
2009-09-21,1640,1640,1601,1604.6,1926823,1604.6
2009-09-22,1604.6,1625,1610,1620,306732,1620
2009-09-23,1620,1635,1620,1635,305078,1635
2009-09-24,1635,1635,1625,1634.4,811793,1634.4
2009-09-25,1634.4,1640,1630,1630,996198,1630
2009-09-28,1630,1640,1630,1632,398264,1632
2009-09-29,1632,1635,1618,1620,1817565,1620
2009-09-30,1620,1630.1,1612,1618.1,1437647,1618.1
2009-10-01,1618,1650,1618,1650,1014852,1650
2009-10-02,1650,1675,1639.9,1670,1534318,1670
2009-10-05,1670,1690,1660,1690,588159,1690
2009-10-06,1691,1700,1686,1700,432330,1700
2009-10-07,1700,1710,1680,1686.3,168664,1686.3
2009-10-08,1686.3,1700,1680,1685,99920,1685
2009-10-09,1685,1720,1685,1719,58682,1719
2009-10-13,1719,1750,1700,1740.2,276876,1740.2
2009-10-14,1740.2,1760,1690,1696.2,272240,1696.2
2009-10-15,1696.2,1740,1670,1701,228518,1701
2009-10-16,1701,1702,1690,1702,410947,1702
2009-10-19,1702,1710.1,1700,1710,280616,1710
2009-10-20,1710,1710,1695,1699,206834,1699
2009-10-21,1699,1710.1,1685,1695,1682284,1695
2009-10-22,1695,1694,1669,1679.9,3274071,1679.9
2009-10-23,1679.9,1690,1650,1655,157824,1655
2009-10-26,1655,1699.9,1655,1655,70410,1655
2009-10-27,1655,1670,1645,1645,104860,1645
2009-10-28,1645,1650,1640,1640.1,68434,1640.1
2009-10-29,1640.1,1644,1628,1630,79461,1630
2009-10-30,1630,1660,1629,1629,150606,1629
2009-11-02,1629,1644,1610,1615,199140,1615
2009-11-03,1615,1620,1614.9,1615,269854,1615
2009-11-04,1615,1647,1615,1647,24307,1647
2009-11-05,1647,1684.9,1647,1679.3,96409,1679.3
2009-11-06,1679.3,1680,1660,1660,754979,1660
2009-11-09,1660,1689.9,1654.9,1689,185677,1689
2009-11-10,1695,1695,1667,1667,245710,1667
2009-11-11,1667,1667,1628.9,1628.9,506564,1628.9
2009-11-12,1628.9,1625,1615,1624,469159,1624
2009-11-13,1624,1650,1624,1637,531024,1637
2009-11-16,1637,1637,1625,1634.9,158760,1634.9
2009-11-17,1634.9,1640,1623.9,1629,161459,1629
2009-11-18,1629,1630.1,1620,1620.1,85135,1620.1
2009-11-19,1620.1,1650,1600,1635,194681,1635
2009-11-20,1635,1635,1615,1615.1,121804,1615.1
2009-11-23,1615.1,1605.1,1599,1599,437811,1599
2009-11-24,1599,1599,1560,1560,427947,1560
2009-11-25,1560,1560,1535,1535,118108,1535
2009-11-26,1535,1530,1516,1520,100003,1520
2009-11-27,1520,1550,1530,1534,312254,1534
2009-11-30,1534,1551,1540,1550,228107,1550
2009-12-01,1550,1570,1550,1565,740004,1565
2009-12-02,1570,1585,1570,1574.6,340043,1574.6
2009-12-03,1574.6,1585,1574,1575,150366,1575
2009-12-04,1575,1585,1575,1585,326999,1585
2009-12-07,1585,1595,1585,1588,43390,1588
2009-12-09,1588,1595.1,1578,1578,429209,1578
2009-12-10,1578,1601,1570,1580,69987,1580
2009-12-11,1580,1610,1580,1610,705514,1610
2009-12-14,1610,1625,1600,1619.5,349707,1619.5
2009-12-15,1619.5,1625,1615,1625,141604,1625
2009-12-16,1625,1650,1624,1647,427685,1647
2009-12-17,1647,1665,1635,1661.4,314478,1661.4
2009-12-18,1661.4,1690,1665,1690,204176,1690
2009-12-21,1690,1698,1689,1695,278258,1695
2009-12-22,1695,1740,1695,1740,230380,1740
2009-12-23,1740,1730,1701,1724.9,611275,1724.9
2009-12-24,1724.9,1724,1720,1724,208512,1724
2009-12-28,1724,1730.1,1724,1730.1,349348,1730.1
2009-12-29,1730.1,1735,1730,1732.2,432190,1732.2
2009-12-30,1730,1745,1728,1737,1987079,1737
2010-01-04,1737,1800,1737,1800,2056905,1800
2010-01-05,1800,1790,1749.9,1750,228223,1750
2010-01-06,1750,1800,1740,1750,199931,1750
2010-01-07,1750,1780,1740,1761.7,396277,1761.7
2010-01-08,1770,1775,1760,1770,148309,1770
2010-01-11,1770,1780,1755,1765.2,295310,1765.2
2010-01-12,1765.2,1763,1750,1760,214128,1760
2010-01-13,1760,1780,1730,1777,303159,1777
2010-01-14,1777,1777.1,1755,1755,192367,1755
2010-01-15,1755,1765,1740,1745,207855,1745
2010-01-18,1745,1780,1745,1780,64073,1780
2010-01-19,1780,1790,1770,1774.6,69562,1774.6
2010-01-20,1774.6,1770,1759,1765,111689,1765
2010-01-21,1765,1795,1760,1793,1609989,1793
2010-01-22,1793,1791,1770,1791,3620958,1791
2010-01-25,1791,1801,1784,1790,91922,1790
2010-01-26,1790,1790,1760,1762.5,190384,1762.5
