date,open,high,low,close,volume,adj_close
2009-06-03,8975,8900,8800,8858.5,58728,8858.5
2009-06-04,8858.5,8851,8700,8826.3,16724,8826.3
2009-06-05,8826.3,8950,8900,8950,22054,8950
2009-06-08,8950,8950,8850,8850,9937,8850
2009-06-09,8850,8850,8800,8850,39957,8850
2009-06-10,8850,8940,8870,8940,49187,8940
2009-06-11,8940,9000,8940,8950.5,39217,8950.5
2009-06-12,9000,9030,8700,8831.1,26463,8831.1
2009-06-15,8831.1,8850,8680,8750,24975,8750
2009-06-16,8750,8750,8660,8660,9618,8660
2009-06-17,8660,8500,8230,8300,47239,8300
2009-06-18,8300,8501,8460,8500,20632,8500
2009-06-19,8500,8600,8500,8550,12545,8550
2009-06-22,8550,8500,8100,8100.7,30740,8100.7
2009-06-23,8100.7,8220,8100,8130,53318,8130
2009-06-24,8130,8400,8201,8201,35731,8201
2009-06-25,8201,8300,8200,8300,27839,8300
2009-06-26,8300,8301,8274.9,8275,32904,8275
2009-06-30,8275,8300,8150,8150,12397,8150
2009-07-01,8150,8300,8150,8250,6576,8250
2009-07-02,8250,8240,8200,8210,14340,8210
2009-07-03,8210,8240,8240,8240,7592,8240
2009-07-06,8240,8300,8240,8300,8485,8300
2009-07-07,8300,8301,8299,8299.7,2318093,8299.7
2009-07-08,8299.7,8300,8290,8300,9995,8300
2009-07-09,8300,8500,8300,8500,45786,8500
2009-07-10,8500,8350,8300,8300,13715,8300
2009-07-13,8300,8500,8400,8481.7,1658,8481.7
2009-07-14,8481.7,8530,8500,8500,12750,8500
2009-07-15,8500,8700,8500,8700,24119,8700
2009-07-17,8700,8650,8650,8650,4029396,8650
2009-07-20,8650,8801,8649,8800.4,22065,8800.4
2009-07-21,8800.4,8851,8800,8801,37053,8801
2009-07-22,8801,8805,8800,8800,5771,8800
2009-07-23,8800,8930,8800,8900,314822,8900
2009-07-24,8900,9095,8930,9095,36708,9095
2009-07-27,9095,9095,9000,9000,2621,9000
2009-07-28,9000,9000,8950,9000,79460,9000
2009-07-29,9000,9000,8900,9000,3828,9000
2009-07-30,9000,9050,9000,9025,13632,9025
2009-07-31,9025,9050,9000,9000,17921,9000
2009-08-03,9000,9200,9000,9187.8,23212,9187.8
2009-08-04,9187.8,9260,9150,9258.1,19952,9258.1
2009-08-05,9258.1,9300,9150,9299.4,9098,9299.4
2009-08-06,9299.4,9300,9125,9125,13630,9125
2009-08-07,9125,9180,9125,9180,6995,9180
2009-08-10,9180,9185,9000,9000,30108,9000
2009-08-11,9000,9010,8979.9,8997,71539,8997
2009-08-12,8997,9100,8900,8900,36694,8900
2009-08-13,8900,9000,9000,9000,3202,9000
2009-08-14,9000,8995,8940,8995,13069,8995
2009-08-17,8995,8990,8800,8800.3,4432,8800.3
2009-08-18,8800.3,9000,8805,8900.5,34766,8900.5
2009-08-19,8900.5,8960,8900,8960,4385,8960
2009-08-20,8960,9180,8970,9180,20726,9180
2009-08-21,9180,9200,8950,8950,29466,8950
2009-08-24,8950,8930,8700,8750.1,36678,8750.1
2009-08-25,8750.1,8780,8755,8755,40433,8755
2009-08-26,8755,8800,8770,8770,45760,8770
2009-08-27,8770,8775,8770,8770,32896,8770
2009-08-28,8770,8765,8750,8750,5571,8750
2009-08-31,8750,8735,8699,8700,5630,8700
2009-09-01,8700,8700.1,8500,8500,32244,8500
2009-09-02,8500,8600,8500,8600,2618,8600
2009-09-03,8600,8700,8599.9,8700,7867,8700
2009-09-04,8700,8800,8700,8800,1153,8800
2009-09-07,8800,8850,8800,8800,5769,8800
2009-09-08,8800,8799,8700,8700,6384,8700
2009-09-09,8700,8800,8699,8699,83665,8699
2009-09-10,8699,8715,8500,8715,8625,8715
2009-09-11,8715,8750,8721,8750,5612,8750
2009-09-14,8750,8800,8705,8705,102203,8705
2009-09-15,8705,8705,8500,8528.3,43498,8528.3
2009-09-16,8528.3,8750,8600,8750,88788,8750
2009-09-17,8750,8750,8750,8750,445,8750
2009-09-21,8750,8900,8750,8900,9616,8900
2009-09-22,8900,9100,8850,8850,30166,8850
2009-09-23,8850,8850,8800,8800,10032,8800
2009-09-24,8800,8800,8750,8800,15990,8800
2009-09-25,8800,8800,8750,8800,14416,8800
2009-09-28,8800,9000,8800,8900,36852,8900
2009-09-29,8900,9000,8945,8950,3572,8950
2009-09-30,8950,8900,8870,8870,14729,8870
2009-10-01,8870,8870,8780,8800,17233,8800
2009-10-02,8800,8800,8700.1,8800,38055,8800
2009-10-05,8800,8950,8800,8950,7108,8950
2009-10-06,8950,9150,9000,9080,14461,9080
2009-10-07,9080,9350,9100,9308.4,17020,9308.4
2009-10-08,9308.4,9350,9200,9200,14655,9200
2009-10-09,9200,9350,9200,9350,11862,9350
2009-10-13,9350,9445,9300,9430,33841,9430
2009-10-14,9430,9525,9339,9339,23900,9339
2009-10-15,9339,9389,9330,9330,31970,9330
2009-10-16,9330,9330,9297,9300,32874,9300
2009-10-19,9300,9350,9300,9315.7,19153,9315.7
2009-10-20,9315.7,9400,9250,9250,25592,9250
2009-10-21,9250,9250,9150,9197.6,19799,9197.6
2009-10-22,9197.6,9250,9130,9250,11031,9250
2009-10-23,9250,9300,9250,9293.5,24645,9293.5
2009-10-26,9293.5,9310,9260,9260,11959,9260
2009-10-27,9260,9181,9100,9180.5,3474,9180.5
2009-10-28,9180.5,9200,9145,9145,5134,9145
2009-10-29,9145,9150,9140,9150,26493,9150
2009-10-30,9150,9150,9150,9150,7692,9150
2009-11-02,9150,9150,9000,9149.9,7852,9149.9
2009-11-03,9149.9,9100,9000,9100,9917,9100
2009-11-04,9100,9200,9100,9200,19255,9200
2009-11-05,9200,9200,9200,9200,7970,9200
2009-11-06,9200,9125,9100,9119.9,11164,9119.9
2009-11-09,9119.9,9250,9100,9249,42718,9249
2009-11-10,9249,9300,9100,9108.9,32873,9108.9
2009-11-11,9108.9,9100,9010,9100,5380,9100
2009-11-12,9100,9100,9000,9000,11899,9000
2009-11-13,9000,9000,8901,8950,8116,8950
2009-11-16,8950,8950,8949.9,8949.9,19817,8949.9
2009-11-17,8949.9,8900,8850,8850,11639,8850
2009-11-18,8850,8750,8700,8700,18257,8700
2009-11-19,8700,8600,8600,8600,230,8600
