date,open,high,low,close,volume,adj_close
2011-05-19,500,500,453,475.65,473903400,475.65
2011-05-20,476.9,485,465.01,468.98,20403460,468.98
2011-05-23,468,469.88,460,462.72,5088118,462.72
2011-05-24,462.72,469,461,461.1,6540806,461.1
2011-05-25,462,464.9,458,460.85,4910731,460.85
2011-05-26,460.85,462,455,456.46,6534600,456.46
2011-05-27,457,461,453.5,455,5458256,455
2011-05-30,455,459.9,448,449.52,1098531,449.52
2011-05-31,450,453,443.9,446.99,5747278,446.99
2011-06-01,447.5,458.99,440,454.81,13164150,454.81
2011-06-02,455,455,450,450.25,858042,450.25
2011-06-03,450.25,460,440,452.79,2018494,452.79
2011-06-06,452.79,452,447,452,815094,452
2011-06-07,450,453,450,452.48,2803003,452.48
2011-06-08,452.5,452.5,450,450,184316,450
2011-06-09,450,451,438,439.26,2849013,439.26
2011-06-10,439.26,439,435,436,905063,436
2011-06-13,436,436,425,429.78,407712,429.78
2011-06-14,429.78,429,420,420,1080302,420
2011-06-15,420,415,402,413.89,2519709,413.89
2011-06-16,413.89,408.51,400,401.06,6816533,401.06
2011-06-17,401.06,410,395,399.96,2949176,399.96
2011-06-20,399.96,400,390,400,3764904,400
2011-06-21,400,416,400,411.2,6854422,411.2
2011-06-22,411.2,435,419,425.13,732711,425.13
2011-06-23,425.13,421,413,415.66,481205,415.66
2011-06-24,415.66,425,414,414,588709,414
2011-06-28,414,414,397,398,1118795,398
2011-06-29,398,403,395,395.55,699969,395.55
2011-06-30,395.55,405,390,395,2515834,395
2011-07-01,395,400,390.99,399,2285219,399
2011-07-04,399,401.9,398.5,398.5,1348510,398.5
2011-07-05,398.5,398.5,390.01,395,1747147,395
2011-07-06,395,395.1,385,385,1937188,385
2011-07-07,385,398,379.99,385,2943158,385
2011-07-08,392,400,386.99,399.9,763919,399.9
2011-07-11,401.9,401.9,390,395,736625,395
2011-07-12,395,393,387,389.19,334334,389.19
2011-07-13,389.19,401.99,390,398,2657787,398
2011-07-14,398,403,394,401.76,1896146,401.76
2011-07-15,401.76,402,397,401,707986,401
2011-07-18,401,400,395,398.9,263789,398.9
2011-07-19,398.9,400,394.98,397,532226,397
2011-07-20,400,401,398,400.75,8617042,400.75
2011-07-21,400.75,400.75,398,398,464980,398
2011-07-22,398,400,390,393.65,606872,393.65
2011-07-25,393.65,393.5,380,384,473160,384
2011-07-26,384,380,364,365,2407050,365
2011-07-27,365,365,350,350,2148547,350
2011-07-28,350,362.9,350,357.4,2077504,357.4
2011-07-29,357.4,360,345,355,972484,355
2011-08-01,357,360,356.1,356.88,671853,356.88
2011-08-02,356.88,350.01,349,350,526171,350
2011-08-03,350,350,320,345,831866,345
2011-08-04,345,340,320,335,620846,335
2011-08-05,335,336,325,333,4045907,333
2011-08-08,333,320,290,306.12,3899573,306.12
2011-08-09,306.12,335,310,333,3999112,333
2011-08-10,333,329.11,324,329.1,969694,329.1
2011-08-11,329.1,354,333,353,298174,353
2011-08-12,353,370,355,369.9,2840198,369.9
2011-08-16,369.9,370,356,357.16,63736,357.16
2011-08-17,357.16,358,348,351,325950,351
2011-08-18,351,341,341,341,485376,341
2011-08-19,341,340.05,336.9,340,537961,340
2011-08-22,340,350,341,342,594767,342
2011-08-23,342,350,345,346,132315,346
2011-08-24,346,365.2,346,365.05,1259534,365.05
2011-08-25,365.05,382,365,372,1078082,372
2011-08-26,372,375.5,366.1,372,1288861,372
2011-08-29,372,381.1,373,373.1,2883179,373.1
2011-08-30,373.1,378,373,373.03,407687,373.03
2011-08-31,390,390,372,372,2766485,372
2011-09-01,372,372,369.9,369.9,122220,369.9
2011-09-02,369.9,364.99,360,362,1458480,362
2011-09-05,362,359,341,342,143781,342
2011-09-06,342,345,330.1,331,68288,331
2011-09-07,331,335,331,335,110382,335
2011-09-08,335,350,330,350,37870,350
2011-09-09,350,350,340,345,69615,345
2011-09-12,345,330,327.99,330,731770,330
2011-09-13,330,332,325,325,311591,325
2011-09-14,325,324,322,322.11,2592407,322.11
2011-09-15,322.11,322,320,321.99,1944835,321.99
2011-09-16,321.99,330,320,325.42,538283,325.42
2011-09-20,325.42,320,318.59,320,225414,320
2011-09-21,320,315.01,315,315,233335,315
2011-09-22,315,300,290,300,1452744,300
2011-09-23,300,305,295,300,103392,300
2011-09-26,300,305,300,305,782674,305
2011-09-27,305,310,302.5,302.5,1076707,302.5
2011-09-28,302.5,300,289,299.98,1031532,299.98
2011-09-29,299.98,295,290,292.37,71846,292.37
2011-09-30,292.37,290,285,285,89555,285
2011-10-03,285,285,275,275.48,52719,275.48
2011-10-04,275.48,265,259,265,1729200,265
2011-10-05,265,270.2,260,270.1,997688,270.1
2011-10-06,270.1,280.1,275,280,383636,280
2011-10-07,280,280.02,280,280.02,119849,280.02
2011-10-11,280.02,289,286,287.2,3109889,287.2
2011-10-12,290,299,290,297.27,851171,297.27
2011-10-13,297.27,304,294.99,303.06,3555591,303.06
2011-10-14,303.06,320,304,315,2899810,315
2011-10-17,317,324,317,324,515662,324
2011-10-18,324,320,310,310.26,378517,310.26
2011-10-19,310.26,330,313,330,1246552,330
2011-10-20,330,350,330,340.47,1171439,340.47
2011-10-21,340.47,355,347,355,2392684,355
2011-10-24,355,390,358,380.01,2863166,380.01
2011-10-25,380.01,387,352,370,128360,370
2011-10-26,365.01,365.01,355,360,2068661,360
2011-10-27,360,380,370,376.49,1038215,376.49
2011-10-28,376.49,377.5,370,371,76409,371
2011-11-02,359,368,358,365,58791,365
2011-11-03,365,373,365,373,256118,373
2011-11-04,373,375,373,374,1414151,374
2011-11-07,374,380,364.9,374.7,1056684,374.7
2011-11-08,374.7,375,368,368,581106,368
2011-11-09,368,362,355,356.85,334931,356.85
2011-11-10,356.85,366,357.1,365,215625,365
2011-11-11,365,370,360,360,413810,360
2011-11-14,360,370.1,358,358.38,1900088,358.38
2011-11-15,358.38,360,354,360,446215,360
2011-11-16,370,370,360,364.5,1125408,364.5
2011-11-17,364.5,370.1,364.9,367.08,992951,367.08
2011-11-18,367.08,370,366.9,370,502951,370
2011-11-21,370,370,355,365,1321672,365
2011-11-22,365,370,364.4,370,304835,370
2011-11-23,370,368,362.9,362.9,159647,362.9
2011-11-24,362.9,362,358,360.11,214971,360.11
2011-11-25,360.11,355.1,350,355.1,212238,355.1
2011-11-28,355.1,375,350,370.25,92901,370.25
