date,open,high,low,close,volume,adj_close
2011-06-09,165.4031,178.8141,165.4031,167.5757,250976300,167.5757
2011-06-10,168.9793,169.8734,163.6149,166.2971,12373950,166.2971
2011-06-13,166.2972,172.5556,164.956,165.5104,1489907,165.5104
2011-06-14,165.5104,169.8734,165.4031,167.8618,4568913,167.8618
2011-06-15,167.8618,167.1912,164.5001,164.509,2065377,164.509
2011-06-16,164.509,164.509,164.509,164.509,6322002,164.509
2011-06-17,164.509,165.4031,164.5001,164.5001,8271096,164.5001
2011-06-20,164.5,166.2971,163.6149,166.2971,2197666,166.2971
2011-06-21,166.2972,169.8734,165.4031,169.8645,1971200,169.8645
2011-06-22,169.8645,178.8141,168.9793,175.2021,10134430,175.2021
2011-06-23,175.202,175.2378,174.3438,175.2378,306223,175.2378
2011-06-24,175.2379,175.2378,173.4497,174.3438,178833,174.3438
2011-06-28,174.3438,174.3438,169.8734,171.6616,110736,171.6616
2011-06-29,171.6615,171.6616,168.0853,169.8734,161393,169.8734
2011-06-30,169.8735,174.3438,167.1823,172.7166,275382,172.7166
2011-07-01,172.7166,172.5556,166.2971,167.227,459158,167.227
2011-07-04,167.2269,169.8734,168.0853,169.8734,281521,169.8734
2011-07-05,169.8734,174.3438,169.8734,169.9002,538747,169.9002
2011-07-06,169.9003,169.8734,168.0763,168.0853,220266,168.0853
2011-07-07,168.0853,172.5556,169.8734,170.3205,300511,170.3205
2011-07-08,170.3204,172.5556,169.8734,172.5556,95488,172.5556
2011-07-11,172.5556,169.8734,168.5323,168.5323,18431,168.5323
2011-07-12,168.5323,168.5323,168.5323,168.5323,107006,168.5323
2011-07-13,168.5323,169.8824,168.5323,169.8734,540617,169.8734
2011-07-14,169.8734,169.8734,169.8555,169.8645,3307166,169.8645
2011-07-15,169.8644,169.8734,168.9793,168.9793,84931,168.9793
2011-07-18,168.9793,168.9793,168.8899,168.8899,3165399,168.8899
2011-07-20,167.1912,167.1912,167.1018,167.1912,568573,167.1912
2011-07-21,167.1912,166.2971,165.4031,165.4031,3730770,165.4031
2011-07-22,165.4031,165.4031,164.3302,164.3302,92228,164.3302
2011-07-27,164.3302,156.4624,147.5217,156.4624,1665038,156.4624
2011-07-28,156.4623,156.4624,156.4534,156.4534,196899,156.4534
2011-07-29,156.4623,156.4624,153.7801,154.8709,412140,154.8709
2011-08-01,154.871,156.4624,156.4624,156.4624,6457,156.4624
2011-08-03,156.4623,156.364,156.364,156.364,4474,156.364
2011-08-04,156.3641,147.5217,147.5217,147.5217,6099,147.5217
2011-08-05,147.5217,147.5217,138.5809,143.0513,262721,143.0513
2011-08-08,143.0512,138.4915,120.6995,121.6025,10524260,121.6025
2011-08-09,120.7084,134.1106,120.6995,128.2365,204810,128.2365
2011-08-10,128.2366,127.4051,120.6995,126.9849,421478,126.9849
2011-08-11,126.9849,147.5217,126.958,147.5217,406731,147.5217
2011-08-12,147.5217,152.8861,151.992,152.8861,47794,152.8861
2011-08-16,152.8861,151.0801,151.0801,151.0801,5592,151.0801
2011-08-17,151.0801,151.0801,151.0801,151.0801,1118,151.0801
2011-08-18,151.0801,151.9026,143.0513,143.9454,120655,143.9454
2011-08-19,143.9454,145.7335,143.0513,143.0513,228859,143.0513
2011-08-22,143.0513,147.5217,143.0513,143.0513,153895,143.0513
2011-08-23,143.0513,138.5809,138.5809,138.5809,206694,138.5809
2011-08-24,138.5809,143.0513,138.5809,138.5809,17511,138.5809
