date,open,high,low,close,volume,adj_close
2013-08-30,19.81,19.81,19.81,19.81,223,19.81
2013-10-14,19.81,20.89,20.89,20.89,1047,20.89
2013-11-18,20.89,17.47,17.47,17.47,440,17.47
2014-08-01,17.47,13.17,13.17,13.17,200,13.17
2014-08-18,13.17,13.87,13.87,13.87,200,13.87
2014-11-25,13.87,9.84,9.83,9.83,400,9.83
2015-07-21,9.83,5.63,5.63,5.63,223,5.63
2015-11-11,5.63,3.05,3.04,3.04,8494,3.04
2015-12-04,3.04,4.37,4.36,4.36,8494,4.36
2015-12-11,4.36,4,4,4,10000,4
2016-03-04,4,4.27,4.27,4.27,10000,4.27
2016-04-07,4.27,4.5,4.5,4.5,10000,4.5
2016-04-11,4.5,4.85,4.85,4.85,10000,4.85
2017-04-10,4.85,4.52,4.42,4.52,19263,4.52
2017-04-11,4.52,4.58,4.58,4.58,162,4.58
2017-10-06,4.58,2.3,2.3,2.3,5000,2.3
2017-12-13,2.3,2.094,2.094,2.094,17000,2.094
2017-12-19,2.094,2.197,2.197,2.197,17000,2.197
2017-12-29,2.197,2.197,2.197,2.197,6200,2.197
2018-01-04,2.197,2.15,2.15,2.15,31600,2.15
2018-01-17,2.15,2.311,2.311,2.311,37800,2.311
2018-02-21,2.311,2.79,2.79,2.79,5000,2.79
2018-04-17,2.79,2.83,2.83,2.83,162,2.83
2018-05-09,2.83,2.08,1.97,1.97,5500,1.97
2018-06-14,1.97,1.56,1.56,1.56,3200,1.56
2018-06-15,1.56,1.59,1.59,1.59,2500,1.59
2018-06-18,1.59,1.59,1.57,1.57,19263,1.57
2018-08-03,1.57,1.77,1.77,1.77,3200,1.77
2018-09-06,1.77,1.993,1.993,1.993,500,1.993
2018-11-12,1.993,2,2,2,2500,2
2018-12-11,2,1.93,1.93,1.93,2000,1.93
2018-12-20,1.93,1.69,1.69,1.69,1000,1.69
2019-02-05,1.69,2.73,2.73,2.73,600,2.73
2019-02-28,2.73,3.14,3.12,3.14,13000,3.14
2019-03-27,3.14,2.88,2.88,2.88,8000,2.88
2019-05-22,2.88,3.53,3.53,3.53,16000,3.53
2019-06-11,3.53,3.84,3.84,3.84,500,3.84
2019-07-30,3.84,4.15,4.02,4.15,3500,4.15
2019-08-14,4.15,4.2,4.2,4.2,1047,4.2
