date,open,high,low,close,volume,adj_close
2013-12-20,87.65,87.65,87.65,87.65,23,87.65
2014-01-17,87.65,92,92,92,23,92
2014-02-13,92,88.32,88.32,88.32,197,88.32
2014-02-26,88.32,89.55,89.55,89.55,100,89.55
2014-03-13,89.55,90.66,90.66,90.66,297,90.66
2014-03-18,90.66,91.79,91.79,91.79,243,91.79
2014-04-08,91.79,86.3,86.3,86.3,231,86.3
2014-04-09,86.3,88.3,88.3,88.3,231,88.3
2014-07-11,88.3,94.04,94.04,94.04,212,94.04
2014-07-31,94.04,89.01,89.01,89.01,243,89.01
2014-08-18,89.01,87.18,87.18,87.18,110,87.18
2014-12-23,87.18,94.15,94.15,94.15,42,94.15
2015-01-07,94.15,90.13,90.13,90.13,336,90.13
2015-01-27,90.13,82.29,82.29,82.29,57,82.29
2015-02-10,82.29,85.93,85.93,85.93,18,85.93
2015-09-08,85.93,75.2,75.2,75.2,336,75.2
2015-12-22,75.2,68.34,68.34,68.34,110,68.34
2016-05-17,68.34,63.5,63.5,63.5,100,63.5
2016-09-06,63.5,65.23,65.23,65.23,18,65.23
2017-05-05,65.23,78.04,78.04,78.04,1900,78.04
2017-08-17,78.04,87.34,87.34,87.34,100,87.34
2017-08-18,87.34,85.71,85.71,85.71,99,85.71
2017-10-30,85.71,95.95,95.95,95.95,120,95.95
2018-02-06,95.95,92.44,92.44,92.44,100,92.44
2018-06-29,92.44,98.83,98.83,98.83,20,98.83
2018-07-12,98.83,101.27,101.05,101.05,2650,101.05
2018-07-13,101.05,100.29,99.9,100.18,585,100.18
2018-07-17,100.18,101.23,100.5,101.23,481,101.23
2018-07-23,101.23,101.2,100.96,101.2,129,101.2
2018-07-25,101.2,101.97,101.97,101.97,70,101.97
2018-07-26,101.97,102.84,102.84,102.84,524,102.84
2018-07-30,102.84,101.21,101.04,101.04,192,101.04
2018-07-31,101.04,100.24,99.78,99.78,211,99.78
2018-08-01,99.78,99.76,99.76,99.76,100,99.76
2018-08-02,99.76,99.05,99.05,99.05,70,99.05
2018-08-03,99.05,100.58,100.58,100.58,43,100.58
2018-08-06,100.58,100.9,100.9,100.9,148,100.9
2018-08-08,100.9,102.22,102.22,102.22,37,102.22
2018-08-14,102.22,102.3,102.3,102.3,116,102.3
2018-08-16,102.3,102.91,102.31,102.91,137,102.91
2018-08-21,102.91,105.06,104.5,104.95,790,104.95
2018-08-22,104.95,106.16,104.58,105.98,3096,105.98
2018-08-23,105.98,105.98,105.31,105.31,363,105.31
2018-08-27,105.31,107.02,107.02,107.02,117,107.02
2018-09-04,107.02,107.02,107.02,107.02,30,107.02
2018-09-07,107.02,106,106,106,295,106
2018-09-13,106,108.6,108.6,108.6,40,108.6
2019-02-13,108.6,108,108,108,341,108
2019-02-14,108,106.93,106.93,106.93,69,106.93
2019-02-15,106.93,107.69,107.69,107.69,130,107.69
2019-02-19,107.69,106.99,106.99,106.99,50,106.99
2019-02-20,106.99,107,106.81,106.81,234,106.81
2019-02-22,106.81,106.98,106.98,106.98,188,106.98
2019-03-05,106.98,108.92,108.88,108.92,61,108.92
2019-03-13,108.92,112.02,112.02,112.02,45,112.02
2019-03-15,112.02,113.44,113.44,113.44,44,113.44
2019-03-18,113.44,113.87,113.87,113.87,18,113.87
2019-03-22,113.87,109.96,109.96,109.96,95,109.96
2019-03-29,109.96,109.7,109.7,109.7,150,109.7
2019-04-11,109.7,109.85,109.67,109.85,673,109.85
2019-04-18,109.85,113.6,113.6,113.6,394,113.6
2019-04-24,113.6,114.2,114.2,114.2,69,114.2
2019-04-26,114.2,116.62,116.62,116.62,95,116.62
2019-05-09,116.62,116.14,116.14,116.14,188,116.14
2019-05-13,116.14,115.8,115.8,115.8,150,115.8
2019-05-15,115.8,117.39,117.39,117.39,83,117.39
2019-06-04,117.39,116.14,116.14,116.14,54,116.14
2019-06-11,116.14,124.69,124.69,124.69,320,124.69
2019-06-12,124.69,122.05,121.92,121.96,420,121.96
2019-06-13,121.96,121.94,121.85,121.94,255,121.94
2019-06-19,121.94,124.62,124.62,124.62,20,124.62
2019-06-24,124.62,125,125,125,18,125
2019-08-07,125,122.22,122.22,122.22,1,122.22
2019-09-06,122.22,120.33,120.04,120.18,2693,120.18
2019-09-09,120.18,119.76,119.76,119.76,45,119.76
2019-09-10,119.76,119.7,119.7,119.7,250,119.7
2019-09-11,119.7,117.18,117.18,117.18,170,117.18
2019-09-12,117.18,119.88,119.65,119.65,322,119.65
2019-09-13,119.65,119.07,119.07,119.07,156,119.07
2019-10-17,119.07,118.53,118.53,118.53,255,118.53
2019-10-18,118.53,118.52,118.52,118.52,40,118.52
2019-11-08,118.52,121.46,121.46,118.52,255,118.52
2019-11-14,118.52,120.86,120.34,118.52,81,118.52
2019-11-15,118.52,120.91,120.91,118.52,53,118.52
2019-11-18,118.52,120.17,120.17,118.52,16,118.52
2019-11-21,118.52,119.11,119.1,119.1,1937,119.1
2019-11-25,119.1,120.11,120.11,119.1,35,119.1
2019-11-26,119.1,120.91,120.91,120.91,80,120.91
2019-12-09,120.91,120.2,120.2,120.2,130,120.2
2019-12-16,120.2,125.26,125.25,125.25,420,125.25
2019-12-17,125.25,125.01,123.56,123.85,521,123.85
2020-01-09,123.85,126.91,126.91,126.91,80,126.91
2020-01-10,126.91,127.79,127.79,126.91,30,126.91
2020-01-15,126.91,129.25,129.25,129.25,95,129.25
2020-01-17,129.25,131.27,131.27,131.27,60,131.27
2020-01-22,131.27,131.66,131.66,131.66,114,131.66
2020-01-24,131.66,135.23,134.35,134.74,322,134.74
2020-01-30,134.74,132.37,131.56,134.74,51,134.74
2020-02-06,134.74,133.72,133.72,133.72,80,133.72
2020-02-18,133.72,135.3,135.3,135.3,275,135.3
2020-02-19,135.3,137.42,137.04,137.06,869,137.06
2020-02-26,137.06,122,122,122,164,122
2020-03-30,122,89.36,89.36,89.36,827,89.36
2020-04-01,89.36,80.5,80.5,89.36,80,89.36
2020-04-08,89.36,89.5,89.5,89.5,80,89.5
2020-04-14,89.5,86.5,86.5,86.5,100,86.5
2020-04-15,86.5,82.7,82.7,86.5,60,86.5
2020-04-17,86.5,86.7,85.64,86.37,1560,86.37
2020-04-20,86.37,85.2,83.4,83.88,949,83.88
2020-04-21,83.88,82.04,81.61,82.04,192,82.04
2020-04-22,82.04,82.91,82.48,82.66,227,82.66
2020-04-23,82.66,84.13,83.65,84.13,180,84.13
2020-04-24,84.13,89.4,81.9,82.3,160,82.3
2020-04-27,82.3,84.94,83.99,84.2,743,84.2
2020-04-28,84.2,88.86,86.98,87.85,1065,87.85
2020-04-29,87.85,96.17,92.75,94.29,1821,94.29
2020-04-30,94.29,92.92,92.92,92.92,197,92.92
2020-05-04,92.92,87.07,85.37,85.45,1223,85.45
2020-05-05,85.45,87.75,87.49,87.57,184,87.57
2020-05-07,87.57,86.35,86.35,86.35,110,86.35
2020-05-08,86.35,88.78,88.78,86.35,3,86.35
2020-05-11,86.35,86.1,86.1,86.35,29,86.35
2020-05-13,86.35,78.69,78.55,78.58,141,78.58
2020-05-14,78.58,83.4,77.97,82.01,802,82.01
2020-05-15,82.01,81.39,81.39,82.01,28,82.01
2020-05-18,82.01,87.92,86.43,82.01,46,82.01
2020-05-19,82.01,89.48,89.13,89.39,810,89.39
2020-05-20,89.39,90.75,90.75,90.75,110,90.75
2020-05-22,90.75,89.12,89.12,89.12,173,89.12
2020-05-26,89.12,95.2,94,94.33,1104,94.33
2020-05-27,94.33,100.3,99.53,100.3,307,100.3
2020-06-03,100.3,105.15,104.29,104.61,530,104.61
2020-06-08,104.61,113.94,113.94,113.94,87,113.94
2020-06-10,113.94,106.56,106.31,106.56,201,106.56
2020-06-12,106.56,100.76,98.99,98.99,340,98.99
2020-06-19,98.99,100.56,100.56,100.56,102,100.56
2020-06-22,100.56,99.99,99.99,100.56,20,100.56
2020-06-24,100.56,95.4,95.4,100.56,25,100.56
2020-06-25,100.56,96.64,96.64,100.56,65,100.56
2020-07-01,100.56,94.52,94.52,94.52,177,94.52
