date,open,high,low,close,volume,adj_close
2009-06-05,4.2839,4.2839,4.2839,4.2839,60547,4.2839
2009-06-08,4.283874,4.3871,4.2839,4.3871,1230605,4.3871
2009-06-09,4.3871,4.3871,4.3871,4.3871,488514,4.3871
2009-06-10,4.3871,4.3871,4.3871,4.3871,21367,4.3871
2009-06-11,4.387133,4.2581,4.2323,4.2581,3373484,4.2581
2009-06-12,4.2581,4.2581,4.2581,4.2581,5385810,4.2581
2009-06-17,4.258113,4.2065,4.129,4.2065,5618750,4.2065
2009-06-18,4.206455,4.3871,4.2065,4.3871,6212197,4.3871
2009-06-19,4.387065,4.449,4.4387,4.449,1105369,4.449
2009-06-22,4.449,4.449,4.449,4.449,229400,4.449
2009-06-30,4.449059,4.3768,4.3768,4.3768,968750,4.3768
2009-07-01,4.376818,4.2323,4.2323,4.2323,484375,4.2323
2009-07-21,4.232213,4.1806,4.1806,4.1806,7585313,4.1806
2009-07-24,4.180686,4.2323,4.1806,4.2323,4934437,4.2323
2009-07-28,4.232225,4.1806,4.129,4.129,1240000,4.129
2009-07-29,4.129023,4.1187,4.1187,4.1187,1966563,4.1187
2009-08-03,4.1187,4.1187,4.1187,4.1187,96875,4.1187
2009-08-04,4.118665,4.1806,4.1806,4.1806,1028400,4.1806
2009-08-07,4.1806,4.1806,4.1806,4.1806,739738,4.1806
2009-08-11,4.180625,4.0774,4.0774,4.0774,2518750,4.0774
2009-08-12,4.0774,4.0774,4.0774,4.0774,935596,4.0774
2009-08-14,4.077375,4.1806,4.129,4.1806,2314900,4.1806
2009-08-17,4.1806,4.1806,4.1806,4.1806,29063,4.1806
2009-08-18,4.180693,4.2065,4.1806,4.2065,1644079,4.2065
2009-08-19,4.206406,4.2065,4.1806,4.1806,380719,4.1806
2009-08-20,4.180607,4.2323,4.2065,4.2188,1329619,4.2188
2009-08-24,4.218864,4.2168,4.2168,4.2168,353359,4.2168
2009-08-25,4.2168,4.2168,4.2168,4.2168,24934,4.2168
2009-09-01,4.216729,4.1806,4.1806,4.1806,484375,4.1806
2009-09-10,4.1806,4.1806,4.1806,4.1806,29063,4.1806
2009-09-11,4.18068,4.2581,4.2581,4.2581,871875,4.2581
2009-09-14,4.2581,4.2581,4.2581,4.2581,48438,4.2581
2009-09-15,4.2581,4.2581,4.2581,4.2581,96875,4.2581
2009-09-16,4.2581,4.2581,4.2323,4.2581,2996547,4.2581
2009-09-21,4.2581,4.2581,4.2581,4.2581,38572,4.2581
2009-09-24,4.2581,4.2581,4.2581,4.2581,6700,4.2581
2009-09-28,4.258107,4.2323,4.2323,4.2323,924790,4.2323
2009-09-30,4.2323,4.2323,4.2323,4.2323,96875,4.2323
2009-10-01,4.2323,4.2323,4.2323,4.2323,155000,4.2323
2009-10-05,4.2323,4.2323,4.2219,4.2323,2337615,4.2323
2009-10-09,4.232274,4.3355,4.3355,4.3355,232500,4.3355
2009-10-16,4.335525,4.3923,4.3923,4.3923,232500,4.3923
2009-10-19,4.392249,4.4387,4.4387,4.4387,193750,4.4387
2009-10-21,4.4387,4.4387,4.4387,4.4387,87188,4.4387
2009-10-23,4.4387,4.4387,4.4387,4.4387,573636,4.4387
2009-10-27,4.4387,4.4387,4.4387,4.4387,291826,4.4387
2009-10-29,4.4387,4.4387,4.4387,4.4387,454198,4.4387
2009-11-02,4.438713,4.3871,4.3871,4.3871,186054,4.3871
2009-11-04,4.3871,4.3871,4.3871,4.3871,22793,4.3871
2009-11-05,4.387113,4.3355,4.3355,4.3355,968750,4.3355
2009-11-09,4.3355,4.3355,4.3355,4.3355,125938,4.3355
2009-11-12,4.335494,4.3613,4.3613,4.3613,10656250,4.3613
2009-11-16,4.361307,4.3355,4.3355,4.3355,581250,4.3355
2009-11-17,4.3355,4.3355,4.3355,4.3355,1207181,4.3355
2009-11-19,4.3355,4.3355,4.3355,4.3355,22793,4.3355
2009-11-23,4.3355,4.3355,4.3355,4.3355,264110,4.3355
2009-11-24,4.335487,4.3871,4.3871,4.3871,3195711,4.3871
2009-11-25,4.387113,4.3355,4.3355,4.3355,325500,4.3355
2009-12-01,4.335487,4.3871,4.3871,4.3871,3385601,4.3871
2009-12-02,4.387075,4.4903,4.4387,4.4903,1334970,4.4903
2009-12-03,4.4903,4.4903,4.4903,4.4903,678125,4.4903
2009-12-10,4.4903,4.4903,4.4903,4.4903,968750,4.4903
2009-12-11,4.49036,4.6452,4.5419,4.6452,3515580,4.6452
2009-12-14,4.645194,4.671,4.6452,4.671,620000,4.671
2009-12-15,4.670955,4.8516,4.7277,4.8516,2030591,4.8516
2009-12-16,4.8516,4.8516,4.8516,4.8516,269096,4.8516
2009-12-17,4.8516,4.8516,4.8516,4.8516,49883,4.8516
2009-12-23,4.8516,4.8516,4.8258,4.8516,785544,4.8516
2009-12-29,4.851616,4.8671,4.8516,4.8671,1453125,4.8671
2009-12-30,4.8671,4.8671,4.8671,4.8671,5457573,4.8671
2010-01-04,4.867077,4.8774,4.8774,4.8774,968750,4.8774
2010-01-05,4.8774,4.8774,4.8774,4.8774,968750,4.8774
2010-01-06,4.877439,4.8826,4.8774,4.8826,1137518,4.8826
2010-01-07,4.882594,4.9084,4.9032,4.9084,1164470,4.9084
2010-01-08,4.908378,4.9187,4.9187,4.9187,1200487,4.9187
2010-01-11,4.918719,5.1613,5.1097,5.1613,3195428,5.1613
2010-01-12,5.161273,5.6774,4.9084,5.6774,5063947,5.6774
2010-01-13,5.677438,7.2258,6.1935,6.7097,23233410,6.7097
2010-01-14,6.709726,6.7613,6.6065,6.6065,9944364,6.6065
2010-01-15,6.606487,6.9677,6.6581,6.6581,11469770,6.6581
2010-01-18,6.658059,7.68,7.0194,7.2258,21602480,7.2258
2010-01-19,7.225812,8.7742,7.6387,8.7742,36874280,8.7742
2010-01-20,13.4008,14.9677,8.7845,13.4008,100398100,13.4008
2010-01-21,14.45166,16.5161,14.4516,15.9985,75417710,15.9985
2010-01-22,16.51614,16.5161,9.5484,12.5342,31367180,12.5342
2010-01-25,10.32259,12.129,9.2903,9.3373,31647850,9.3373
2010-01-26,9.23875,8.7742,7.2258,8.2581,29601560,8.2581
2010-01-27,8.258049,9.1613,8.2581,8.7845,9220037,8.7845
2010-01-28,9.03223,9.8065,9.2903,9.4761,21373140,9.4761
2010-01-29,9.476132,10.3226,9.7548,10.3231,16224080,10.3231
2010-02-01,10.3231,12.3871,10.8387,12.3871,34695530,12.3871
2010-02-02,12.90326,14.9677,12.9032,14.7634,34212460,14.7634
2010-02-03,15.01932,16.5161,11.9742,14.3561,45378340,14.3561
2010-02-04,14.35611,13.9355,11.6129,11.8565,14985230,11.8565
