date,open,high,low,close,volume,adj_close
2009-06-03,447.0322,447.0322,447.0322,447.0322,4703,447.0322
2009-06-08,447.0322,447.0322,447.0322,447.0322,21673,447.0322
2009-06-09,447.0322,446.054,446.054,446.054,22692,446.054
2009-06-10,446.0541,469.5306,446.054,469.5306,703004,469.5306
2009-06-12,469.5305,440.1849,440.1849,440.1849,1064,440.1849
2009-06-15,440.1849,440.1849,439.2067,439.2067,7768,439.2067
2009-06-16,439.2067,439.2067,439.2067,439.2067,5815,439.2067
2009-06-18,439.2067,441.1631,441.1631,441.1631,2085,441.1631
2009-06-19,441.1631,435.294,435.294,435.294,3913,435.294
2009-06-22,435.294,435.294,435.294,435.294,1567,435.294
2009-06-24,435.294,435.294,435.294,435.294,100,435.294
2009-06-30,435.294,434.3158,434.3158,434.3158,2259,434.3158
2009-07-01,434.3158,434.3158,434.3158,434.3158,5504,434.3158
2009-07-02,434.3158,435.294,425.5121,435.294,9352,435.294
2009-07-06,435.294,435.294,435.294,435.294,1391,435.294
2009-07-07,469.4328,435.294,435.294,435.294,201,435.294
2009-07-08,435.294,440.1849,435.7831,436.2722,21704,436.2722
2009-07-09,436.2722,436.2722,436.2722,436.2722,1101,436.2722
2009-07-10,436.2722,440.1849,440.1849,440.1849,4063,440.1849
2009-07-13,440.1848,445.0758,445.0758,445.0758,7878,445.0758
2009-07-15,445.0758,440.1849,440.1849,440.1849,2200,440.1849
2009-07-17,440.1849,440.1849,440.1849,440.1849,2045,440.1849
2009-07-20,440.1849,438.2285,438.2285,438.2285,1533,438.2285
2009-07-22,438.2285,438.2285,438.2285,438.2285,766,438.2285
2009-07-29,438.2285,416.7084,415.7302,415.7302,19445,415.7302
2009-07-30,416.7084,415.7302,415.7302,415.7302,2022,415.7302
2009-07-31,415.7302,432.3594,430.403,430.403,22307,430.403
2009-08-03,430.403,432.3594,431.3812,432.3594,21461,432.3594
2009-08-04,432.3594,435.294,430.403,435.294,93735,435.294
2009-08-05,435.294,436.2722,436.2722,436.2722,10636,436.2722
2009-08-06,436.2722,440.2045,440.1849,440.2045,24752,440.2045
2009-08-07,440.2044,445.0758,440.2045,445.0758,14514,445.0758
2009-08-10,445.0758,447.0322,447.0322,447.0322,20817,447.0322
2009-08-11,447.0323,451.9232,447.0322,451.9232,17900,451.9232
2009-08-12,451.9232,455.8457,449.9668,455.8457,19327,455.8457
2009-08-13,455.8457,459.7487,459.7487,459.7487,2070,459.7487
2009-08-14,459.7487,459.7487,459.7487,459.7487,2129,459.7487
2009-08-17,459.7487,459.7487,459.7487,459.7487,4454,459.7487
2009-08-18,459.7487,459.7487,459.7487,459.7487,3623,459.7487
2009-08-19,459.7487,463.0745,459.7487,463.0745,56062,463.0745
2009-08-20,463.0745,463.1723,463.1723,463.1723,4330,463.1723
2009-08-21,463.1723,463.1723,463.1723,463.1723,3087,463.1723
2009-08-25,463.1723,464.6396,464.1505,464.6396,23500,464.6396
2009-08-26,464.6396,471.4869,469.5306,471.4869,60021,471.4869
2009-08-28,472.4651,472.4651,471.4869,471.4869,537881,471.4869
2009-08-31,471.4869,471.4869,471.4869,471.4869,521,471.4869
2009-09-01,471.4869,471.4869,471.4869,471.4869,1657,471.4869
2009-09-02,471.487,469.5306,469.5306,469.5306,340396,469.5306
2009-09-03,469.5306,470.5088,470.5088,470.5088,1022,470.5088
2009-09-04,470.5087,470.9978,470.9978,470.9978,42740,470.9978
2009-09-07,470.9978,471.0076,470.9978,471.0076,15037,471.0076
2009-09-08,471.0076,474.4215,474.4215,474.4215,170809,474.4215
2009-09-09,474.4216,479.3125,479.3125,479.3125,8525,479.3125
2009-09-10,479.3125,479.3125,479.3125,479.3125,6501,479.3125
2009-09-11,479.3125,479.3125,479.3125,479.3125,1627,479.3125
2009-09-14,479.3125,479.3125,479.3125,479.3125,16785,479.3125
2009-09-15,479.3124,479.3222,479.3125,479.3222,59474,479.3222
2009-09-16,479.3223,479.3125,479.3125,479.3125,1362,479.3125
2009-09-17,479.3125,479.3125,479.3125,479.3125,1022,479.3125
2009-09-21,479.3124,480.2906,479.3125,480.2906,6970,480.2906
2009-09-22,480.2907,479.3125,479.3125,479.3125,2045,479.3125
2009-09-24,479.3124,480.2906,480.2906,480.2906,7424,480.2906
2009-09-30,480.2906,480.2906,480.2906,480.2906,7784,480.2906
2009-10-02,480.2906,480.2906,480.2906,480.2906,804,480.2906
2009-10-05,480.2907,469.5306,469.5306,469.5306,2668,469.5306
2009-10-09,469.5305,464.6396,464.6396,464.6396,3266,464.6396
2009-10-15,464.6396,459.7487,459.7487,459.7487,2126,459.7487
2009-10-16,459.7487,459.7487,459.7487,459.7487,107,459.7487
2009-10-27,459.7487,440.1849,440.1849,440.1849,12468,440.1849
2009-11-05,440.1849,437.2503,437.2503,437.2503,615703,437.2503
2009-11-09,437.2504,425.5121,425.5121,425.5121,2287,425.5121
2009-11-10,425.5121,425.5121,425.5121,425.5121,223,425.5121
2009-11-11,425.5121,425.5121,425.5121,425.5121,2045,425.5121
2009-11-16,425.5121,425.5121,425.5121,425.5121,102,425.5121
2009-11-20,425.5121,425.5121,425.5121,425.5121,2349,425.5121
2009-11-23,425.5121,425.5121,425.5121,425.5121,7824,425.5121
