date,open,high,low,close,volume,adj_close
2013-05-14,95.72,95.72,95.72,95.72,178,95.72
2013-06-20,95.72,100.99,100.99,100.99,52,100.99
2013-06-24,100.99,98.52,98.52,98.52,150,98.52
2013-06-27,98.52,103.15,103.15,103.15,150,103.15
2013-07-18,103.15,107.7,107.7,107.7,178,107.7
2013-08-27,107.7,105.05,105.05,105.05,189,105.05
2013-10-25,105.05,130.45,130.45,130.45,189,130.45
2013-11-25,130.45,132.72,132.72,132.72,52,132.72
2013-12-23,132.72,137.84,137.84,137.84,28,137.84
2013-12-26,137.84,138.07,138.07,138.07,92,138.07
2014-01-07,138.07,140.81,140.81,140.81,37,140.81
2014-03-17,140.81,125.33,125.33,125.33,15,125.33
2014-03-21,125.33,123.6,122.65,122.65,568,122.65
2014-03-25,122.65,123.98,123.98,123.98,16,123.98
2014-03-31,123.98,125.57,125.57,125.57,16,125.57
2014-04-01,125.57,127.5,127.5,127.5,568,127.5
2014-04-04,127.5,129.43,129.43,129.43,16,129.43
2014-04-08,129.43,124.99,124.99,124.99,480,124.99
2014-04-09,124.99,126.7,126.7,126.7,480,126.7
2014-04-10,126.7,124.35,123.99,123.99,402,123.99
2014-04-16,123.99,125.86,125.7,125.86,102,125.86
2014-04-17,125.86,127.7,126.54,127.5,457,127.5
2014-04-21,127.5,128.05,128.05,128.05,15,128.05
2014-04-22,128.05,128.77,128.77,128.77,30,128.77
2014-04-23,128.77,130.11,130.11,130.11,76,130.11
2014-04-28,130.11,126.79,126.79,126.79,400,126.79
2014-04-30,126.79,128.72,128.72,128.72,400,128.72
2014-05-06,128.72,131.48,131.48,131.48,350,131.48
2014-05-13,131.48,133.62,133.62,133.62,200,133.62
2014-05-15,133.62,131.66,131.66,131.66,200,131.66
2014-05-16,131.66,130.9,130.9,130.9,200,130.9
2014-05-28,130.9,134.66,134.66,134.66,55,134.66
2014-06-02,134.66,135.86,135.5,135.85,608,135.85
2014-06-11,135.85,134.5,134.5,134.5,399,134.5
2014-06-12,134.5,133.32,133.32,133.32,15,133.32
2014-06-13,133.32,132.4,132.4,132.4,188,132.4
2014-06-20,132.4,132.68,132.68,132.68,149,132.68
2014-06-23,132.68,131.15,131.15,131.15,300,131.15
2014-06-25,131.15,127,127,127,156,127
2014-07-11,127,127.85,127.83,127.85,58,127.85
2014-07-17,127.85,127.7,127.7,127.7,200,127.7
2014-07-24,127.7,124.22,124.21,124.21,504,124.21
2014-10-22,124.21,123,123,123,74,123
2014-11-12,123,125.48,125.48,125.48,56,125.48
2014-11-19,125.48,132.24,132.15,132.24,556,132.24
2014-11-25,132.24,135.35,135.35,135.35,370,135.35
2014-11-26,135.35,135,135,135,74,135
2014-12-23,135,130.45,130.45,130.45,200,130.45
2015-01-09,130.45,131.18,131.18,131.18,322,131.18
2015-01-23,131.18,135.37,135.37,135.37,330,135.37
2015-01-29,135.37,143.83,143.83,143.83,20,143.83
2015-02-09,143.83,147.43,147.43,147.43,40,147.43
2015-02-11,147.43,147.95,147.95,147.95,68,147.95
2015-02-12,147.95,148.16,147.95,148.16,74,148.16
2015-02-20,148.16,156.88,156.79,156.79,142,156.79
2015-02-25,156.79,153.3,153.3,153.3,200,153.3
2015-02-27,153.3,151,151,151,100,151
2015-03-13,151,151,151,151,40,151
2015-03-16,151,153.33,153.33,153.33,40,153.33
2015-03-20,153.33,155.13,155.13,155.13,32,155.13
2015-03-25,155.13,150.6,150.6,150.6,300,150.6
2015-04-06,150.6,150.43,150.43,150.43,50,150.43
2015-04-09,150.43,151.93,151.93,151.93,49,151.93
2015-04-10,151.93,154.53,154.53,154.53,500,154.53
2015-05-08,154.53,145.36,145.15,145.36,49,145.36
2015-06-08,145.36,140.7,140.7,140.7,66,140.7
2015-06-09,140.7,140.92,140.92,140.92,13,140.92
2015-06-17,140.92,143.02,143.02,143.02,20,143.02
2015-06-24,143.02,143.38,143.38,143.38,100,143.38
2015-07-15,143.38,147,146.88,146.88,48,146.88
2015-07-22,146.88,145.94,145.94,145.94,42,145.94
2015-07-28,145.94,142,142,142,250,142
2015-08-04,142,144.6,144.6,144.6,250,144.6
2015-08-19,144.6,142.95,142.81,142.81,680,142.81
2015-08-21,142.81,133.5,133.5,133.5,150,133.5
2015-09-01,133.5,127.69,127.69,127.69,2,127.69
2015-09-11,127.69,133,133,133,150,133
2015-09-24,133,130.57,130.57,130.57,40,130.57
2015-10-22,130.57,146.98,146.77,146.77,290,146.77
2015-10-27,146.77,146.5,146.5,146.5,150,146.5
2015-10-28,146.5,146.45,146.45,146.45,66,146.45
2016-01-22,146.45,124.96,124.96,124.96,500,124.96
2016-01-26,124.96,128,128,128,500,128
2016-01-29,128,119.11,119.11,119.11,415,119.11
2016-03-07,119.11,120.57,120.57,120.57,37,120.57
2016-03-14,120.57,124.59,124.59,124.59,40,124.59
2016-03-17,124.59,128.58,128.58,128.58,42,128.58
2016-04-12,128.58,129.67,129.67,129.67,26,129.67
2016-04-29,129.67,133.58,133.58,133.58,55,133.58
2016-05-27,133.58,129.3,129.3,129.3,90,129.3
2016-06-16,129.3,129.62,129.62,129.62,415,129.62
2016-06-20,129.62,133.15,133.15,133.15,50,133.15
2016-09-06,133.15,132.23,132.23,132.23,223,132.23
2016-11-22,132.23,148.02,148.02,148.02,49,148.02
2016-12-07,148.02,151.55,151.55,151.55,40,151.55
