date,open,high,low,close,volume,adj_close
2012-05-24,6.89,6.89,6.89,6.89,100,6.89
2012-06-04,6.89,6.97,6.97,6.97,4000,6.97
2012-06-07,6.97,7.58,7.58,7.58,100,7.58
2012-09-11,7.58,8.86,8.79,8.86,4570,8.86
2012-09-13,8.86,9.22,9.22,9.22,570,9.22
2012-10-05,9.22,9.54,9.48,9.48,3618,9.48
2012-10-12,9.48,9.09,9.09,9.09,1000,9.09
2012-10-16,9.09,9.45,9.45,9.45,1000,9.45
2012-11-26,9.45,9.75,9.75,9.75,1000,9.75
2012-11-30,9.75,9.77,9.77,9.77,2000,9.77
2013-01-09,9.77,11.8,11.8,11.8,683,11.8
2013-01-17,11.8,11.4,11.4,11.4,526,11.4
2013-01-22,11.4,11.31,11.31,11.31,350,11.31
2013-01-25,11.31,11.62,11.62,11.62,13800,11.62
2013-01-30,11.62,11.5,11.5,11.5,462,11.5
2013-02-05,11.5,11.71,11.71,11.71,683,11.71
2013-02-06,11.71,11.8,11.8,11.8,420,11.8
2013-02-22,11.8,11.5,11.5,11.5,870,11.5
2013-02-27,11.5,11.17,11.17,11.17,356,11.17
2013-03-05,11.17,11.6,11.6,11.6,356,11.6
2013-03-06,11.6,11.81,11.81,11.81,526,11.81
2013-03-18,11.81,12.42,12.42,12.42,870,12.42
2013-04-01,12.42,12.13,12.13,12.13,500,12.13
2013-05-23,12.13,13.26,12.97,13.26,1732,13.26
2013-06-05,13.26,13.03,13.03,13.03,618,13.03
2013-06-07,13.03,13.2,13.2,13.2,220,13.2
2013-07-15,13.2,13.92,13.91,13.91,936,13.91
2013-07-18,13.91,14.71,14.71,14.71,736,14.71
2013-08-01,14.71,14.94,14.94,14.94,13800,14.94
2013-08-09,14.94,14.49,14.49,14.49,872,14.49
2013-08-26,14.49,14.66,14.66,14.66,220,14.66
2013-09-23,14.66,14.13,14.13,14.13,200,14.13
2013-11-15,14.13,14.92,14.92,14.92,200,14.92
2013-11-25,14.92,15.8,15.8,15.8,200,15.8
2013-12-11,15.8,15.48,15.48,15.48,180,15.48
2013-12-19,15.48,15.73,15.7,15.7,632,15.7
2013-12-23,15.7,15.73,15.73,15.73,636,15.73
2014-01-15,15.73,17.19,17.19,17.19,872,17.19
2014-01-16,17.19,17.05,17.05,17.05,180,17.05
2014-02-21,17.05,16.4,16.3,16.4,2831,16.4
2014-02-27,16.4,16.47,16.25,16.47,1226,16.47
2014-02-28,16.47,16.45,16.45,16.45,1104,16.45
2014-03-03,16.45,16.28,16.26,16.27,2748,16.27
2014-03-05,16.27,17.16,17.16,17.16,613,17.16
2014-03-06,17.16,17.56,17.56,17.56,276,17.56
2014-03-07,17.56,17.57,17.57,17.57,863,17.57
2014-03-13,17.57,17.16,17.16,17.16,1104,17.16
2014-03-18,17.16,17.21,17.21,17.21,1300,17.21
2014-03-21,17.21,17.72,17.72,17.72,170,17.72
2014-04-07,17.72,16.42,16.42,16.42,120,16.42
2014-04-23,16.42,16.28,16.28,16.28,74,16.28
2014-07-03,16.28,16.04,16.04,16.04,420,16.04
