date,open,high,low,close,volume,adj_close
2020-12-23,21686,21686,21686,21686,458,21686
2020-12-29,21686,21533,21533,21686,4,21686
2021-01-08,21686,23707,23707,23707,25,23707
2021-01-11,21686,23476,23476,21686,8,21686
2021-01-14,21686,24940,24940,24940,50,24940
2021-01-15,21686,24783,24783,21686,1,21686
2021-01-21,21686,23140,23140,23140,40,23140
2021-01-22,21686,22882,22882,21686,6,21686
2021-01-27,21686,22415,22415,21686,13,21686
2021-01-28,21686,22648,22477,22648,218,22648
2021-01-29,21686,22458,22369,21686,15,21686
2021-02-03,21686,22932,22932,21686,14,21686
2021-02-08,21686,24390,24390,21686,7,21686
2021-02-09,21686,24205,24205,21686,10,21686
2021-02-22,21686,24300,24300,21686,3,21686
2021-02-25,21686,26030,26030,21686,2,21686
2021-03-01,21686,25904,25904,21686,1,21686
2021-03-02,21686,25761,25761,21686,8,21686
2021-03-03,21686,26950,26342,26342,175,26342
2021-03-15,21686,27100,27100,21686,28,21686
2021-03-29,21686,28188,28188,28188,342,28188
2021-04-12,28188,28660,28660,28188,18,28188
2021-04-27,28188,28209,28209,28188,10,28188
2021-05-03,28188,28890,28890,28188,3,28188
2021-05-04,28188,28570,28570,28188,10,28188
2021-05-06,28188,29380,29380,28188,1,28188
2021-05-07,28188,29150,29106,28188,134,28188
2021-05-10,28188,29660,29460,29462,462,29462
2021-05-11,29462,29385,29009,29462,16,29462
2021-05-12,29462,29863,29863,29462,40,29462
2021-05-14,29462,29913,29913,29462,1,29462
2021-05-25,29462,31570,31570,29462,15,29462
2021-05-28,29462,30620,30620,29462,10,29462
2021-06-02,29462,31188,31070,29462,8,29462
2021-06-03,29462,31430,31200,29462,27,29462
2021-06-04,29462,31097,31097,29462,1,29462
2021-06-07,29462,31118,31000,31037,202,31037
2021-06-10,31037,30330,30320,31037,11,31037
2021-06-11,31037,30098,30098,31037,10,31037
2021-06-14,31037,30218,29900,31037,13,31037
2021-06-17,31037,29905,29500,31037,57,31037
2021-06-29,31037,30380,30380,31037,50,31037
2021-06-30,31037,30340,30340,31037,100,31037
2021-07-01,31037,30550,30550,31037,7,31037
2021-07-07,31037,30080,30080,31037,2,31037
2021-07-08,31037,29430,29300,31037,13,31037
2021-07-12,31037,30077,30077,31037,15,31037
2021-07-13,31037,30170,29550,31037,26,31037
2021-07-14,31037,28960,28960,31037,3,31037
2021-07-15,31037,29539,29340,31037,21,31037
2021-07-19,31037,28400,28270,31037,19,31037
2021-07-23,31037,28802,28426,31037,41,31037
2021-07-28,31037,29130,29130,31037,6,31037
2021-07-30,31037,29140,29140,31037,3,31037
2021-08-02,31037,29400,29330,31037,11,31037
2021-08-03,31037,30050,30050,31037,2,31037
2021-08-06,31037,31400,31400,31037,4,31037
2021-08-09,31037,32190,32190,31037,6,31037
2021-08-10,31037,32370,32370,31037,10,31037
2021-08-18,31037,32560,32560,31037,58,31037
2021-08-24,31037,32610,32610,31037,1,31037
2021-09-09,31037,32188,32188,32188,300,32188
2021-09-15,32188,31460,31460,32188,16,32188
2021-09-21,32188,30930,30930,32188,1,32188
2021-09-23,32188,32650,32650,32188,120,32188
2021-09-28,32188,34570,34570,32188,5,32188
