date,open,high,low,close,volume,adj_close
2021-05-24,171740,171740,171740,171740,57,171740
2021-05-27,171740,182200,182200,171740,2,171740
2021-06-04,171740,180440,179140,171740,5,171740
2021-06-08,171740,181450,181450,181450,92,181450
2021-06-10,181450,182650,182650,181450,1,181450
2021-06-17,181450,177840,177130,181450,17,181450
2021-06-29,181450,177900,177900,181450,3,181450
2021-06-30,181450,176200,176200,181450,1,181450
2021-07-07,181450,175400,175400,181450,1,181450
2021-07-13,181450,172350,172350,181450,4,181450
2021-07-14,181450,172160,172160,181450,2,181450
2021-07-19,181450,158440,155160,181450,36,181450
2021-07-21,181450,168810,168810,181450,4,181450
2021-07-23,181450,170240,170240,181450,6,181450
2021-08-11,181450,182590,182530,181450,12,181450
2021-08-16,181450,181210,181210,181450,5,181450
2021-08-18,181450,176450,176450,181450,6,181450
2021-08-19,181450,172440,172440,181450,1,181450
