date,open,high,low,close,volume,adj_close
2009-06-03,580,580,570,580,249230,580
2009-06-04,580,570.1,560,570.1,475754,570.1
2009-06-05,570.1,570.1,565,570.1,88335,570.1
2009-06-09,570.1,570,560,560,53834,560
2009-06-10,560,575,550,575,34011,575
2009-06-11,575,580,575,580,263212,580
2009-06-12,580,585.01,580,585,214525,585
2009-06-15,585,615,575,611.48,49918,611.48
2009-06-16,611.48,613,600,600,145131,600
2009-06-17,600,590,590,590,9426,590
2009-06-18,590,590,580,580,133665,580
2009-06-19,580,580.51,580,580.51,103349,580.51
2009-06-22,581,575.01,570.1,575.01,588194,575.01
2009-06-23,575.01,580,575,575,183295,575
2009-06-24,575,585,575,575,29282,575
2009-06-25,575,575.3,575.2,575.29,169820,575.29
2009-06-26,575.29,575.3,575.3,575.3,444957,575.3
2009-06-30,575.3,575.3,575.3,575.3,350000,575.3
2009-07-01,575.3,575.3,575,575,186500,575
2009-07-02,575,575,575,575,43335,575
2009-07-03,575,570,570,570,3000,570
2009-07-06,570,570,570,570,32900,570
2009-07-07,570,570,564.99,565,92235,565
2009-07-08,565,560,550,550,891318,550
2009-07-09,550,550,550,550,147063,550
2009-07-14,550,560,540,540,51980,540
2009-07-15,540,550,547.5,547.51,662119,547.51
2009-07-17,547.51,560,550,560,49178,560
2009-07-20,560,560,560,560,946930,560
2009-07-21,560,560,560,560,554,560
2009-07-22,560,560,560,560,360000,560
2009-07-23,560,560,559,560,28900,560
2009-07-27,560,558,557.9,557.93,22328,557.93
2009-07-28,557.93,541,540,540,484332,540
2009-07-29,540,540,540,540,2122222,540
2009-07-30,540,540,540,540,130870,540
2009-07-31,540,550,550,550,3824,550
2009-08-03,550,540,540,540,302094,540
2009-08-04,540,540,540,540,28070,540
2009-08-05,540,540,540,540,19782,540
2009-08-06,540,550,540,545.88,162366,545.88
2009-08-07,545.88,550,550,550,32330,550
2009-08-10,550,545,540,545,3427781,545
2009-08-11,545,550,545,550,60832,550
2009-08-12,550,560,550,560,23845,560
2009-08-13,560,560,560,560,714,560
2009-08-14,560,560,560,560,9000,560
2009-08-17,560,559.9,555,555,155721,555
2009-08-18,555,555,549.99,554.29,728996,554.29
2009-08-19,554.29,550,550,550,270043,550
2009-08-20,550,551,550,551,14567,551
2009-08-21,551,551,549,549,167440,549
2009-08-24,549,549,549,549,400,549
2009-08-25,549,550,548.9,549,23582,549
2009-08-26,549,549,539.99,549,441864,549
2009-08-27,549,545,530,530,76033,530
2009-08-28,530,530.03,530,530.01,99092,530.01
2009-08-31,530.01,530,525,525,59805,525
2009-09-01,525,526,525,525,86019,525
2009-09-02,525,525,525,525,29688,525
2009-09-03,525,525,525,525,55007,525
2009-09-04,525,530,525,530,26007,530
2009-09-07,530,528,525,525,390655,525
2009-09-08,525,529,525,525,91986,525
