date,open,high,low,close,volume,adj_close
2009-06-08,200,205,200,205,822727,205
2009-06-09,205,210,210,210,10000,210
2009-06-10,210,210,210,210,9803,210
2009-06-11,210,215,215,215,98797,215
2009-06-15,215,216,216,216,15000,216
2009-06-22,216,216,216,216,10,216
2009-07-02,216,215,208,210,663520,210
2009-07-03,210,210,210,210,8537,210
2009-07-06,210,210,210,210,3873,210
2009-07-08,210,210,210,210,25590,210
2009-07-09,210,210,210,210,15400,210
2009-07-14,210,210,200,210,290855,210
2009-07-21,210,210,210,210,207619,210
2009-07-22,210,210,210,210,110000,210
2009-07-27,210,215,210,215,212100,215
2009-07-28,215,218,218,218,100000,218
2009-07-30,218,220,220,220,13500,220
2009-07-31,220,220,220,220,4000,220
2009-08-04,220,220,220,220,17962,220
2009-08-14,220,220,220,220,250000,220
2009-08-25,220,215,215,215,44440,215
2009-08-26,215,219,215,219,20957,219
2009-08-27,219,219,219,219,1200,219
2009-09-01,219,214,210,214,702140,214
2009-09-04,214,215,215,215,20000,215
2009-09-09,215,215,215,215,707,215
2009-09-16,215,213.5,213.5,213.5,5000,213.5
2009-09-30,213.5,208,208,208,5000,208
2009-10-05,208,208,200,208,104522,208
2009-10-06,208,208,208,208,6000,208
2009-10-07,208,212,208,212,1475631,212
2009-10-08,212,215,205,210,157000,210
2009-10-09,210,215,212,215,60000,215
2009-10-13,215,215,215,215,10000,215
2009-10-16,215,215,213,215,900409,215
2009-10-19,215,220,210,210.02,149767,210.02
2009-10-20,210.02,220,210,220,28634,220
2009-10-21,220,220,220,220,50000,220
2009-10-22,220,219.99,219.99,219.99,2331,219.99
2009-10-23,219.99,220,215,219,126444,219
2009-10-26,219,220,220,220,4494,220
2009-10-27,220,230,219,230,1027435,230
2009-10-28,230,225,225,225,25000,225
2009-10-29,225,230,220,225,206649,225
2009-10-30,225,230,220,230,142500,230
2009-11-04,230,230,230,230,153070,230
2009-11-05,230,240,240,240,50000,240
2009-11-06,240,250,250,250,8500,250
2009-11-10,250,250,250,250,4229,250
2009-11-11,250,255,249,255,72945,255
2009-11-12,255,255,255,255,5000,255
2009-11-13,255,253,253,253,7000,253
2009-11-16,253,255,250,255,435370,255
2009-11-18,255,255,255,255,6120,255
2009-11-19,255,254,252,254,25013,254
2009-11-20,254,255,255,255,45086,255
2009-11-23,255,255,255,255,75000,255
2009-11-25,255,255,255,255,8170,255
2009-11-26,255,255,255,255,9166,255
2009-11-30,255,253,250,250,843500,250
2009-12-01,250,253,250,253,20000,253
2009-12-02,253,253,250,250,519324,250
2009-12-03,250,244,244,244,26250,244
2009-12-04,244,240,240,240,15000,240
2009-12-07,240,240,240,240,12444,240
2009-12-16,240,240,240,240,1000,240
2009-12-17,240,239,234,238,186388,238
2009-12-18,238,240,240,240,25000,240
2009-12-21,240,240,235,239,168817,239
2009-12-22,239,249,249,249,169149,249
2009-12-23,249,240,240,240,75000,240
2009-12-29,240,240,238,239,374393,239
2009-12-30,239,249,237,249,163807,249
2010-01-04,249,249,249,249,169149,249
2010-01-06,249,249,249,249,2217,249
2010-01-08,249,245,245,245,114951,245
