date,open,high,low,close,volume,adj_close
2009-06-03,12371.87,12367.63,12112.98,12226.72,65382,12226.72
2009-06-04,12226.72,12308.21,12180.88,12258.13,51606,12258.13
2009-06-05,12258.13,12647.75,12350.65,12623.98,93741,12623.98
2009-06-08,12623.98,12647.75,12308.21,12579.84,60646,12579.84
2009-06-09,12579.84,12732.63,12605.31,12719.9,135472,12719.9
2009-06-10,12732,13058.46,12732,12936.58,60887,12936.58
2009-06-11,12927.88,13232.58,12927.88,13223.87,101457,13223.87
2009-06-12,13223.87,13232.58,13058.46,13212.55,56271,13212.55
2009-06-15,13212.55,13206.46,12884.35,13056.72,47712,13056.72
2009-06-16,13056.72,13058.46,12666.71,12685.86,63926,12685.86
2009-06-17,12685.86,12579.65,12274.95,12276.7,43243,12276.7
2009-06-18,12276.7,12362.88,12231.43,12298.46,43266,12298.46
2009-06-19,12298.46,12318.48,12057.31,12059.05,284315,12059.05
2009-06-22,12059.05,12059.05,11752.62,11763.93,142050,11763.93
2009-06-23,11763.93,11788.31,11752.62,11760.45,25205,11760.45
2009-06-24,11765.67,11839.67,11578.5,11640.31,42559,11640.31
2009-06-25,11640.31,11752.62,11447.92,11476.65,30970,11476.65
2009-06-26,11476.65,11665.56,11491.45,11664.69,44154,11664.69
2009-06-30,12388.13,12388.13,11622.03,11659.47,62329,11659.47
2009-07-01,11659.46,11752.62,11659.47,11666.43,11185,11666.43
2009-07-02,11666.43,11752.62,11630.74,11752.62,9273,11752.62
2009-07-03,11752.62,11752.62,11752.62,11752.62,2675,11752.62
2009-07-06,11752.62,11752.62,11631.61,11665.56,15358,11665.56
2009-07-07,11665.56,11687.32,11536.72,11651.63,12555,11651.63
2009-07-08,11651.63,11651.63,11404.39,11478.39,25030,11478.39
2009-07-09,11478.39,11709.09,11578.5,11675.14,12304,11675.14
2009-07-10,11677.75,11926.73,11674.26,11925.86,61879,11925.86
2009-07-13,11926.73,12188.77,11926.73,12187.9,24616,12187.9
2009-07-14,12187.9,12579.65,12362.01,12527.42,35588,12527.42
2009-07-15,12527.42,12893.05,12570.95,12883.48,125940,12883.48
2009-07-17,12883.48,13014.93,12796.42,13014.06,16048,13014.06
2009-07-20,13014.06,13058.46,12971.41,12990.56,41389,12990.56
2009-07-21,12990.56,13058.46,12987.95,13058.46,33483,13058.46
2009-07-22,13058.46,13059.33,13049.76,13058.46,29539,13058.46
2009-07-23,13058.46,13147.26,13058.46,13107.21,139155,13107.21
2009-07-24,13107.21,13231.7,13014.93,13146.39,87217,13146.39
2009-07-27,13058.46,13233.45,13058.46,13232.58,41815,13232.58
2009-07-28,13232.58,13232.58,12927.88,13005.36,37851,13005.36
2009-07-29,13005.36,13032.34,12962.7,12971.41,25746,12971.41
2009-07-30,12971.41,13058.46,12980.11,13057.59,13084,13057.59
2009-07-31,13057.59,13189.05,13014.93,13058.46,151640,13058.46
2009-08-03,13058.46,13189.05,12884.35,13131.59,56754,13131.59
2009-08-04,13131.59,13232.58,13180.34,13232.58,55617,13232.58
2009-08-05,13232.58,13406.69,13232.58,13313.54,42912,13313.54
2009-08-06,13313.54,13319.63,12893.05,13310.93,23666,13310.93
2009-08-07,13310.93,13310.05,13276.1,13276.1,8618,13276.1
2009-08-10,13276.1,13319.63,13273.49,13293.51,19074,13293.51
2009-08-11,13293.51,13236.93,13188.18,13189.92,19853,13189.92
2009-08-12,13189.92,13408.43,13232.58,13407.56,6288,13407.56
2009-08-13,13407.56,13929.03,13406.69,13799.31,19900,13799.31
2009-08-14,13799.31,13841.97,13667.86,13831.52,34836,13831.52
2009-08-17,13831.52,13799.31,13667.86,13785.38,35195,13785.38
2009-08-18,13785.38,13885.5,13754.91,13865.47,36095,13865.47
2009-08-19,13865.47,13885.5,13493.74,13754.04,77416,13754.04
2009-08-20,13754.04,13798.44,13754.91,13755.78,238489,13755.78
2009-08-21,13754.91,13799.31,13494.61,13572.09,97957,13572.09
2009-08-24,13572.09,13572.09,13495.49,13548.59,26673,13548.59
2009-08-25,13548.59,13502.45,13467.63,13475.46,62826,13475.46
2009-08-26,13475.46,13476.33,13402.33,13403.21,34047,13403.21
2009-08-27,13403.21,13403.21,13145.52,13146.39,64116,13146.39
2009-08-28,13146.39,13233.45,13145.52,13233.45,36740,13233.45
2009-08-31,13233.45,13406.69,13067.17,13142.91,50108,13142.91
2009-09-01,13142.91,13146.39,12971.41,13040.18,29246,13040.18
2009-09-02,13040.18,13088.93,12927.88,12944.42,29930,12944.42
2009-09-03,12944.42,13058.46,12884.35,13058.46,43901,13058.46
2009-09-04,13058.46,13145.52,13058.46,13058.46,4911,13058.46
2009-09-07,13058.46,13232.58,12971.41,13011.45,19305,13011.45
2009-09-08,13011.45,13075.87,12885.22,12963.57,36581,12963.57
2009-09-09,12963.57,13101.99,12963.57,13058.46,36538,13058.46
2009-09-10,13058.46,13406.69,13058.46,13214.29,33534,13214.29
2009-09-11,13214.29,13319.63,13146.39,13242.15,17283,13242.15
2009-09-14,13232.58,13319.63,13145.52,13189.05,34426,13189.05
2009-09-15,13189.05,13319.63,13189.05,13308.31,15057,13308.31
2009-09-16,13308.31,13319.63,13145.52,13249.99,19043,13249.99
2009-09-17,13249.99,13232.58,13145.52,13217.78,23036,13217.78
2009-09-21,13217.78,13276.1,13155.09,13232.58,19158,13232.58
2009-09-22,13232.58,13406.69,13145.52,13404.95,32039,13404.95
2009-09-23,13404.95,13711.38,13406.69,13493.74,47858,13493.74
2009-09-24,13493.74,13754.91,13363.16,13557.29,66923,13557.29
2009-09-25,13557.29,13797.57,13572.09,13712.26,61078,13712.26
2009-09-28,13712.26,13798.44,13667.86,13713.13,84167,13713.13
2009-09-29,13713.13,13881.15,13712.26,13854.16,52178,13854.16
2009-09-30,13854.16,13929.03,13667.86,13884.63,61758,13884.63
2009-10-01,13884.63,13929.03,13667.86,13707.03,46944,13707.03
2009-10-02,13707.03,13841.97,13667.86,13814.11,31247,13814.11
