date,open,high,low,close,volume,adj_close
2009-06-03,310,310,310,310,12900,310
2009-06-04,310.0034,306.67,300,306.67,48630,306.67
2009-06-05,306.6631,306,283.33,283.33,176385,283.33
2009-06-08,283.3333,290,286.67,290,15150,290
2009-06-09,290,290,289.99,290,43455,290
2009-06-10,290.0033,290.01,290,290.01,56385,290.01
2009-06-11,290.0067,300,300,300,80775,300
2009-06-12,300,300,300,300,5025,300
2009-06-15,300,300,300,300,1395,300
2009-06-16,300,300,300,300,9870,300
2009-06-18,300,300,300,300,20250,300
2009-06-19,300,300,300,300,7830,300
2009-06-24,300,300,300,300,8670,300
2009-06-25,300,300,300,300,5730,300
2009-06-26,299.9967,303.33,303.33,303.33,72930,303.33
2009-06-30,303.33,303.33,303.33,303.33,1500,303.33
2009-07-01,303.33,303.33,303.33,303.33,78240,303.33
2009-07-02,303.33,303.33,303.33,303.33,310035,303.33
2009-07-03,303.33,303.33,303.33,303.33,1200,303.33
2009-07-06,303.3333,300,300,300,20430,300
2009-07-09,300,300,300,300,16245,300
2009-07-13,300,300,300,300,30000,300
2009-07-20,300,303.33,300,300,99000,300
2009-07-21,300.0034,300,296.67,296.67,51450,296.67
2009-07-22,296.6667,300,300,300,69150,300
2009-07-23,300,300,300,300,28650,300
2009-07-24,300,303.33,300,300,68130,300
2009-07-27,300,315,300,300,57302,300
2009-07-28,303,315,303,315,181568,315
2009-07-29,315,320,312,312,223631,312
2009-07-30,312,312,312,312,66462,312
2009-07-31,312,320,310,310,41727,310
2009-08-03,310,330,310.1,319.38,216250,319.38
2009-08-04,319.38,325,311.5,324.83,241398,324.83
2009-08-05,320,324.5,320,320,197445,320
2009-08-06,320,320,320,320,20819,320
2009-08-07,320,325,320,325,338750,325
2009-08-10,325,335,330,335,517162,335
2009-08-11,335,345,339,345,114459,345
2009-08-12,345,350,344.99,350,260206,350
2009-08-13,350,350,348,348,23281,348
2009-08-14,348,348,348,348,2875,348
2009-08-17,355,355,345,348,24310,348
2009-08-18,348,348,348,348,14430,348
2009-08-19,348,345,345,345,7250,345
2009-08-20,345,345,345,345,8961,345
2009-08-21,345,340,340,340,25478,340
2009-08-24,330,330,330,330,8950,330
2009-08-25,330,330,330,330,119115,330
2009-08-26,330,325.1,319.99,319.99,95595,319.99
2009-08-27,319.99,320,319.99,319.99,33223,319.99
2009-08-28,319.99,320.01,320,320.01,328383,320.01
2009-08-31,320.01,320,320,320,7487,320
2009-09-01,320,325,315,318.26,114065,318.26
2009-09-07,318.26,321,321,321,82020,321
2009-09-08,321,321,320,320,84090,320
2009-09-09,320,320,300,320,62237550,320
2009-09-10,320,320,316,316.01,1581921,316.01
2009-09-11,316.01,325,321,321,146574,321
2009-09-14,321,325.1,318.01,325.07,6678978,325.07
2009-09-15,325.07,325,323,323,1828726,323
2009-09-16,323,327,325,327,1449871,327
2009-09-17,327,330,328,328,416215,328
2009-09-21,328,327,325,325,572857,325
2009-09-22,325,326.51,325,325,2863709,325
2009-09-23,325,327,325,325,448246,325
2009-09-24,325,325,325,325,353900,325
2009-09-25,325,323,323,323,316712,323
2009-09-28,323,340,320,335,9843773,335
2009-09-29,335,337,332,336,3437647,336
2009-09-30,336,340,334.9,336,1332784,336
2009-10-01,336,338,332,334,624590,334
2009-10-02,334,338,334,334,579799,334
2009-10-05,334,341,334,340,1722019,340
2009-10-06,340,347,342,345.4,1484327,345.4
2009-10-07,345.4,345,343,343,255800,343
2009-10-08,343,343.01,340,340.5,502595,340.5
2009-10-09,340.5,346,340.5,343,352720,343
2009-10-13,343,344,340,340,498447,340
2009-10-14,340,340.02,338,338,200081,338
2009-10-15,338,338,337,338,473266,338
2009-10-16,338,338,335,335,189550,335
2009-10-19,335,340,335,336.06,849363,336.06
2009-10-20,336.06,335,330,335,20151,335
2009-10-21,335,331.2,331,331.04,237076,331.04
2009-10-22,331.04,331,331,331,1117599,331
2009-10-23,331,336,334.99,335,698100,335
2009-10-26,335,335,335,335,26269,335
2009-10-27,335,334,330,334,15220,334
2009-10-28,334,330,330,330,32400,330
2009-10-29,330,330,327,330,242371,330
2009-10-30,330,328,326,326,141923,326
2009-11-02,326,326.01,325,326,412785,326
2009-11-03,326,329,326,329,3820163,329
2009-11-04,329,328,327.99,327.99,251253,327.99
2009-11-05,327.99,340,325,340,286435,340
2009-11-06,340,330,325,328,651142,328
2009-11-09,328,330,328,330,58000,330
2009-11-10,330,328,327,327,105583,327
2009-11-11,327,329,327,327,104809,327
2009-11-12,327,325.9,320,320,2643502,320
