date,open,high,low,close,volume,adj_close
2014-04-16,2.8,2.8,2.8,2.8,169500,2.8
2014-04-21,2.8,2.8,2.8,2.8,176358,2.8
2014-05-19,2.8,2.8,2.8,2.8,100238,2.8
2014-05-28,2.8,2.8,2.8,2.8,61416,2.8
2014-05-29,2.8,2.8,2.8,2.8,3,2.8
2014-06-02,2.8,2.8,2.8,2.8,5555,2.8
2014-06-24,2.8,2.8,2.8,2.8,45495,2.8
2014-06-27,2.8,2.8,2.8,2.8,4,2.8
2014-07-02,2.8,2.8,2.8,2.8,42500,2.8
2014-07-15,2.8,2.8,2.8,2.8,4,2.8
2014-07-21,2.8,2.8,2.8,2.8,200275,2.8
2014-08-25,2.8,2.8,2.8,2.8,25250,2.8
2014-08-26,2.8,2.8,2.8,2.8,157416,2.8
2014-09-03,2.8,2.8,2.8,2.8,115814,2.8
2014-09-16,2.8,2.8,2.8,2.8,114890,2.8
2014-09-29,2.8,2.8,2.8,2.8,40816,2.8
2014-10-13,2.8,2.8,2.8,2.8,140308,2.8
2014-10-22,2.8,2.8,2.8,2.8,9366,2.8
2014-11-04,2.8,2.8,2.8,2.8,32500,2.8
2014-11-06,2.8,2.8,2.8,2.8,40004,2.8
2014-11-07,2.8,2.8,2.8,2.8,40000,2.8
2014-11-11,2.8,2.8,2.8,2.8,40000,2.8
2014-12-22,2.8,2.8,2.8,2.8,59532,2.8
2015-01-15,2.8,2.8,2.8,2.8,238003,2.8
2015-01-19,2.8,2.8,2.8,2.8,24679,2.8
2015-01-29,2.8,2.8,2.8,2.8,25000,2.8
2015-03-03,2.8,2.8,2.8,2.8,6896,2.8
2015-03-06,2.8,2.8,2.8,2.8,281458,2.8
2015-03-10,2.8,2.8,2.8,2.8,16666,2.8
2015-04-07,2.8,2.8,2.8,2.8,20,2.8
2015-05-07,2.8,2.8,2.8,2.8,21102,2.8
2015-05-20,2.8,2.8,2.8,2.8,10,2.8
2015-06-08,2.8,2.8,2.8,2.8,340000,2.8
2015-10-29,2.8,2.8,2.8,2.8,50000,2.8
2016-02-26,2.8,2.8,2.8,2.8,50000,2.8
2016-07-25,2.8,2.8,2.8,2.8,241684,2.8
2016-09-02,2.8,2.8,2.8,2.8,5700,2.8
2016-09-05,2.8,2.8,2.8,2.8,9600,2.8
2016-09-06,2.8,2.8,2.8,2.8,4894,2.8
2016-11-04,2.8,2.8,2.8,2.8,192343,2.8
2016-12-02,2.8,2.8,2.8,2.8,50000,2.8
2017-03-23,2.8,2.8,2.8,2.8,100020,2.8
2017-03-28,2.8,2,2,2,737326,2
2017-04-06,2,2,2,2,1000000,2
2017-04-10,2,2,2,2,102500,2
2017-04-12,2,2,2,2,273072,2
2017-04-13,2,2,2,2,13810,2
2017-05-10,2,2,2,2,111957,2
2017-05-11,2,2,2,2,288043,2
2017-06-19,2,2,2,2,131737,2
2017-06-29,2,2,2,2,3010,2
2017-07-17,2,2,2,2,50000,2
2017-07-18,2,2,2,2,50000,2
2017-07-28,2,2,2,2,1037513,2
2017-08-22,2,2,2,2,10,2
2017-10-02,2,2,2,2,35000,2
2017-10-24,2,2,2,2,50000,2
2017-10-25,2,2,2,2,232424,2
2017-10-30,2,2,2,2,25380,2
2017-11-03,2,2,2,2,276735,2
2017-11-21,2,2,2,2,18000,2
2017-11-30,2,2,2,2,150000,2
2017-12-18,2,2,2,2,92646,2
2018-01-02,2,2,2,2,111000,2
2018-01-04,2,2,2,2,50000,2
2018-01-05,2,2,2,2,50000,2
2018-01-11,2,2,2,2,145,2
2018-01-15,2,2,2,2,61000,2
2018-01-17,2,2,2,2,50000,2
2018-01-18,2,2,2,2,55000,2
2018-01-19,2,2,2,2,55000,2
2018-01-26,2,2,2,2,50000,2
2018-02-01,2,2,2,2,10312,2
2018-02-02,2,2,2,2,89688,2
2018-02-14,2,2,2,2,50000,2
2018-02-21,2,2,2,2,55000,2
2018-02-26,2,2,2,2,65000,2
2018-03-05,2,2,2,2,180000,2
2018-03-09,2,2,2,2,205000,2
2018-03-12,2,2,2,2,123396,2
2018-05-02,2,2,2,2,35226,2
2018-05-17,2,2,2,2,16,2
2018-08-02,2,2,2,2,6705,2
2018-08-07,2,2,2,2,358027,2
2018-08-08,2,2,2,2,8257,2
2019-09-09,2,2,2,2,2931,2
2019-09-30,2,2,2,2,14018,2
2019-10-22,2,2,2,2,0,2
2019-11-19,2,2,2,2,0,2
2019-11-20,2,2,2,2,0,2
2019-11-21,2,2,2,2,0,2
2019-11-23,2,2,2,2,0,2
2019-12-04,2,2,2,2,40000,2
2019-12-06,2,2,2,2,573732,2
2019-12-10,2,2,2,2,156000,2
2019-12-20,2,2,2,2,0,2
2020-02-03,2,2,2,2,15000,2
2020-02-05,2,2,2,2,12426,2
2020-02-06,2,2,2,2,45000,2
2020-03-11,2,2,2,2,11000,2
2020-04-04,2,2,2,2,0,2
2020-04-09,2,2,2,2,0,2
