date,open,high,low,close,volume,adj_close
2009-06-19,6000,6000,6000,6000,500,6000
2009-07-23,6000,6000,6000,6000,2199,6000
2009-07-24,6000,6000,6000,6000,6069,6000
2009-07-28,6000,6500,6500,6500,1305,6500
2009-08-03,6500,6500,6500,6500,3694,6500
2009-08-26,6500,6500,6500,6500,993,6500
2009-09-03,6500,6250,6250,6250,93,6250
2009-09-17,6250,6500,6500,6500,150,6500
2009-10-06,6500,6500,6500,6500,1355,6500
2009-10-27,6500,6500,6500,6500,559,6500
2009-11-12,6500,6300,6300,6300,14556,6300
2009-11-19,6300,6300,6300,6300,50,6300
2009-11-26,6300,6000,6000,6000,4521,6000
2010-01-08,6000,5000,5000,5000,150,5000
2010-01-18,5000,6200,6200,6200,150,6200
2010-01-21,6200,6300,6300,6300,404,6300
2010-02-03,6300,6290,6290,6290,594,6290
2010-03-18,6290,6000,6000,6000,4000,6000
2010-03-29,6000,6000,6000,6000,666,6000
2010-04-16,6000,6000,6000,6000,88,6000
2010-04-21,6000,6100,6100,6100,195,6100
2010-05-06,6100,6100,6000,6000,2000,6000
2010-05-11,6000,6000,6000,6000,918,6000
2010-05-13,6000,6100,6100,6100,500,6100
2010-05-27,6100,6100,6100,6100,101,6100
2010-06-24,6100,6050,6050,6050,35582,6050
2010-07-02,6050,6050,6050,6050,18,6050
2010-07-13,6050,6300,6300,6300,847,6300
2010-07-14,6300,6300,6300,6300,178,6300
2010-07-23,6300,6400,6400,6400,230,6400
2010-07-27,6300,6300,6300,6300,560,6300
2010-08-09,6300,6200,6200,6200,2340,6200
2010-08-18,6200,6300,6150,6300,1270,6300
2010-08-30,6300,6650,6650,6650,643,6650
2010-09-07,6650,6650,6650,6650,300,6650
2010-09-08,6650,6650,6650,6650,956,6650
2010-09-14,6650,6650,6650,6650,50,6650
2010-10-12,6650,6650,6650,6650,2326,6650
2010-10-25,6650,6650,6650,6650,150,6650
2010-10-26,6650,6650,6650,6650,135,6650
2010-10-29,6650,6650,6650,6650,100,6650
2010-11-02,6650,6650,6650,6650,2,6650
2010-11-03,6650,6650,6650,6650,364,6650
2010-11-05,6650,6700,6700,6700,300,6700
2010-11-11,6700,6700,6700,6700,1,6700
2010-11-19,6700,6700,6700,6700,6,6700
2010-11-23,6700,6700,6700,6700,250,6700
2010-12-14,6700,6650,6650,6650,75,6650
2011-01-06,6650,6780,6780,6780,100,6780
2011-01-07,6780,6790,6790,6790,1280,6790
2011-01-12,6790,6790,6790,6790,100,6790
2011-01-18,6790,6790,6790,6790,21,6790
2011-02-02,6790,6790,6790,6790,300,6790
2011-02-28,6790,6790,6790,6790,400,6790
2011-04-05,6790,6880,6880,6880,666,6880
2011-05-02,6880,7000,7000,7000,3687,7000
2011-05-13,7000,7000,7000,7000,206,7000
2011-05-25,7000,7000,7000,7000,240,7000
2011-06-15,7000,7000,7000,7000,1000,7000
