date,open,high,low,close,volume,adj_close
2013-04-30,218.4,222,218.4,218.4,100,218.4
2013-05-13,218.4,221.8,221.43,221.8,100,221.8
2013-06-12,221.8,216,216,216,47,216
2013-06-28,216,221.36,221.36,221.36,47,221.36
2013-11-18,221.36,243.92,243.92,243.92,61,243.92
2013-11-19,243.92,244,241.78,244,220,244
2013-11-22,244,280.52,279.09,279.09,281,279.09
2014-02-24,279.09,351.53,351.53,351.53,10,351.53
2014-07-01,351.53,326,324.43,326,181,326
2014-07-07,326,326.05,326.05,326.05,20,326.05
2014-07-08,326.05,319.78,317.73,317.73,399,317.73
2014-07-09,317.73,319.76,317.88,319.76,543,319.76
2014-07-11,319.76,319.21,319.21,319.21,46,319.21
2014-07-15,319.21,315,312.1,312.1,403,312.1
2014-07-17,312.1,304.69,304.69,304.69,86,304.69
2014-07-23,304.69,342,334.07,338,1051,338
2014-07-24,338,339,337,337,75,337
2014-07-28,337,337,337,337,370,337
2014-08-18,337,344.29,344,344,76,344
2014-08-25,344,342.79,342.79,342.79,15,342.79
2014-09-03,342.79,343.25,343.25,343.25,43,343.25
2014-09-05,343.25,330,330,330,15,330
2014-09-15,330,318.33,318.33,318.33,30,318.33
2014-09-24,318.33,336.6,336.6,336.6,30,336.6
2014-09-29,336.6,329,329,329,4,329
2014-09-30,329,329.82,329.82,329.82,2,329.82
2014-10-07,329.82,319.25,319.25,319.25,155,319.25
2014-10-22,319.25,300.89,300.89,300.89,165,300.89
2014-10-23,300.89,319,319,319,83,319
2014-10-24,319,318,318,318,72,318
2014-10-29,318,316.3,316.3,316.3,65,316.3
2014-10-30,316.3,323,323,323,100,323
2014-11-28,323,307.23,307.23,307.23,128,307.23
2014-12-02,307.23,327.71,327.71,327.71,128,327.71
2014-12-03,327.71,333.64,333.64,333.64,20,333.64
2014-12-05,333.64,343.21,343.21,343.21,86,343.21
2015-02-17,343.21,400,400,400,10,400
2015-05-11,400,399.3,397.65,399.3,26,399.3
2015-05-12,399.3,395.69,395.69,395.69,20,395.69
2015-05-14,395.69,390.34,390.15,390.15,27,390.15
2015-05-15,390.15,392.14,390,390,50,390
2015-05-19,390,396.91,396.91,396.91,17,396.91
2015-05-22,396.91,400.04,400.04,400.04,3,400.04
2015-05-26,400.04,398.24,392,392,490,392
2015-05-27,392,394.81,392.46,394.8,193,394.8
2015-05-28,394.8,400.42,400.42,400.42,41,400.42
2015-05-29,400.42,398,398,398,150,398
2015-06-01,398,396.39,396.39,396.39,14,396.39
2015-06-02,396.39,388.19,388.19,388.19,12,388.19
2015-06-04,388.19,384.81,384,384,123,384
2015-06-09,384,385.89,380.5,380.5,58,380.5
2015-06-11,380.5,395,395,395,103,395
2015-06-15,395,387,387,387,15,387
2015-06-18,387,404,397.5,404,28,404
2015-06-19,404,412.75,407.3,412.75,553,412.75
2015-06-22,412.75,418.5,417.65,418.12,254,418.12
2015-07-02,418.12,405.12,405.12,405.12,40,405.12
2015-07-06,405.12,406.42,405.15,405.15,13,405.15
2015-07-08,405.15,400,400,400,37,400
2015-07-09,400,403.16,401.94,402,65,402
2015-07-10,402,387.86,387.6,387.6,77,387.6
2015-07-14,387.6,402,402,402,13,402
2015-07-22,402,397.27,394.99,396.67,85,396.67
2015-07-23,396.67,390.17,389.22,389.22,106,389.22
2015-07-24,389.22,325.23,319.85,325.23,39,325.23
2015-07-27,325.23,313,306.67,306.67,54,306.67
2015-07-29,306.67,312.83,312.83,312.83,12,312.83
2015-08-04,312.83,332.39,331.14,332.39,73,332.39
2015-08-07,332.39,310.73,310.73,310.73,13,310.73
2015-08-14,310.73,311.34,311.34,311.34,14,311.34
2015-08-17,311.34,313.88,313.88,313.88,49,313.88
2015-08-21,313.88,305.6,305.6,305.6,49,305.6
2015-09-03,305.6,308.5,308.5,308.5,49,308.5
2015-09-08,308.5,306.83,306.83,306.83,11,306.83
2015-09-21,306.83,300,300,300,16,300
2015-09-24,300,296.22,296.22,296.22,8,296.22
2015-10-06,296.22,275.74,275.74,275.74,33,275.74
2015-10-09,275.74,275,274.96,275,188,275
2015-10-13,275,269.05,269.05,269.05,37,269.05
2015-10-20,269.05,277,277,277,33,277
2015-10-21,277,290,290,290,188,290
2015-10-22,290,272.01,272.01,272.01,25,272.01
2015-10-23,272.01,274.2,274.2,274.2,12,274.2
2015-12-03,274.2,278.5,278.5,278.5,80,278.5
2015-12-16,278.5,293.69,293.69,293.69,80,293.69
2015-12-17,293.69,299.46,299.46,299.46,13,299.46
2015-12-18,299.46,297.87,297.87,297.87,35,297.87
2015-12-21,297.87,296.96,296.68,296.96,27,296.96
2015-12-22,296.96,300.21,298.26,298.26,104,298.26
2015-12-23,298.26,303.38,301.92,301.92,108,301.92
2015-12-30,301.92,308,308,308,26,308
2016-01-04,308,297.01,297.01,297.01,25,297.01
2016-01-07,297.01,289.76,289.76,289.76,103,289.76
2016-01-28,289.76,274.78,267.12,267.12,245,267.12
2016-02-02,267.12,268.06,266.36,266.36,37,266.36
2016-02-03,266.36,266.83,266.83,266.83,51,266.83
2016-02-08,266.83,257.93,257.93,257.93,13,257.93
2016-02-09,257.93,254.75,251.33,254.75,78,254.75
2016-02-25,254.75,261.56,261.56,261.56,38,261.56
2016-03-15,261.56,251.01,251.01,251.01,128,251.01
2016-03-17,251.01,243.45,243.45,243.45,41,243.45
2016-03-22,243.45,258.69,258.69,258.69,169,258.69
2016-03-29,258.69,248.5,248.5,248.5,40,248.5
2016-04-14,248.5,270.86,270.86,270.86,51,270.86
2016-04-19,270.86,273.8,273.8,273.8,15,273.8
2016-04-20,273.8,265.3,265.3,265.3,128,265.3
2016-04-21,265.3,278,278,278,126,278
2016-04-25,278,283.67,283.67,283.67,35,283.67
2016-05-03,283.67,275.12,275.12,275.12,58,275.12
2016-05-24,275.12,271.73,271.73,271.73,15,271.73
2016-05-25,271.73,278,277,278,187,278
2016-05-31,278,290.71,290.71,290.71,15,290.71
2016-06-08,290.71,252.96,252.96,252.96,100,252.96
2016-06-09,252.96,253,250.65,250.65,120,250.65
2016-06-10,250.65,248.82,245.5,245.5,80,245.5
2016-06-16,245.5,241.33,241.33,241.33,6,241.33
2016-06-17,241.33,241.16,241.16,241.16,51,241.16
2016-06-20,241.16,238.5,238.5,238.5,40,238.5
2016-07-11,238.5,252.99,252.99,252.99,80,252.99
2016-07-13,252.99,251.79,251.79,251.79,10,251.79
2016-07-15,251.79,255.6,254.9,255.6,100,255.6
2016-07-21,255.6,281.96,281.96,281.96,150,281.96
2016-07-28,281.96,289.43,289.43,289.43,78,289.43
2016-08-03,289.43,313.31,312.04,312.04,88,312.04
2016-08-11,312.04,316.03,316.03,316.03,24,316.03
2016-08-22,316.03,320,320,320,12,320
2016-08-29,320,305.68,305.68,305.68,14,305.68
2016-09-12,305.68,300.82,300.82,300.82,37,300.82
2016-10-06,300.82,305.94,305,305.94,103,305.94
2016-10-13,305.94,292.18,292.18,292.18,20,292.18
2016-10-26,292.18,286.5,286.5,286.5,30,286.5
2016-11-10,286.5,323.23,323.23,323.23,30,323.23
2016-12-12,323.23,285.46,285.46,285.46,34,285.46
2016-12-15,285.46,287.23,287.23,287.23,4,287.23
2016-12-27,287.23,293.02,293.02,293.02,34,293.02
2017-01-17,293.02,283.81,283.81,283.81,30,283.81
2017-01-20,283.81,280.9,280.9,280.9,14,280.9
2017-02-03,280.9,264.69,264.69,264.69,80,264.69
2017-02-16,264.69,290.02,290.02,290.02,16,290.02
2017-02-23,290.02,284.6,284.6,284.6,16,284.6
2017-03-06,284.6,296.5,296.5,296.5,170,296.5
2017-03-14,296.5,292.05,292.05,292.05,6,292.05
2017-03-15,292.05,291.51,290.5,291.51,156,291.51
2017-03-17,291.51,275.1,275.1,275.1,50,275.1
2017-04-28,275.1,276.11,276.11,276.11,35,276.11
2017-05-24,276.11,253.22,253.22,253.22,100,253.22
2017-07-18,253.22,283.26,283.26,283.26,17,283.26
