date,open,high,low,close,volume,adj_close
2015-11-19,60,60,60,60,2233813,60
2015-11-20,60,65.62,65.62,65.62,497003,65.62
2015-11-23,65.62,66.64,66.64,66.64,9000,66.64
2016-02-12,66.64,66.64,66.64,66.64,1510,66.64
2016-04-20,66.64,66.7,66.7,66.7,40000,66.7
2016-04-21,66.7,66.7,66.7,66.7,50000,66.7
2016-05-02,66.7,64.88,64.88,64.88,40000,64.88
2016-07-22,64.88,65.82,65.82,65.82,200338,65.82
2016-07-27,65.82,64.88,64.83,64.83,605831,64.83
2016-09-06,64.83,64.83,64.83,64.83,2271,64.83
2016-10-17,64.83,64.83,64.83,64.83,775,64.83
2016-10-25,64.83,64.83,64.83,64.83,1012,64.83
2016-11-02,64.83,64.83,64.83,64.83,984,64.83
2016-12-09,64.83,64.83,64.83,64.83,1530,64.83
2016-12-27,64.83,63.86,63.86,63.86,50000,63.86
2016-12-28,63.86,63.86,63.86,63.86,1550,63.86
2017-03-28,63.86,63.86,63.86,63.86,3100,63.86
2017-03-29,63.86,63.86,63.86,63.86,5862,63.86
2017-04-05,63.86,66.01,66.01,66.01,191000,66.01
2017-04-06,66.01,66.01,66.01,66.01,87,66.01
2017-04-10,66.01,66.01,66.01,66.01,1520,66.01
2017-07-06,66.01,65,65,65,20000,65
2017-07-11,65,64.29,64.29,64.29,100000,64.29
2017-07-21,64.29,64.28,64.28,64.28,25000,64.28
2017-09-12,64.28,64.28,64.28,64.28,2500,64.28
2017-09-29,64.28,64.28,64.28,64.28,2000,64.28
2017-10-23,64.28,64.28,64.28,64.28,1800,64.28
2017-11-03,64.28,64.28,64.28,64.28,1570,64.28
2018-01-24,64.28,64.28,64.28,64.28,1020,64.28
2018-01-31,64.28,64.28,64.28,64.28,1509,64.28
2018-04-11,64.28,65.95,65.95,65.95,50000,65.95
2018-04-20,65.95,65.95,65.95,65.95,2000,65.95
2018-04-25,65.95,65.95,65.95,65.95,30000,65.95
