date,open,high,low,close,volume,adj_close
2013-10-22,1093.7,1093.7,1093.7,1093.7,7,1093.7
2013-12-20,1093.7,1194.4,1194.4,1194.4,5,1194.4
2014-02-19,1194.4,1281,1281,1281,5,1281
2014-03-21,1281,1289.7,1289.7,1289.7,5,1289.7
2014-04-25,1289.7,1170.4,1170.4,1170.4,5,1170.4
2014-09-30,1170.4,1166.3,1166.3,1166.3,5,1166.3
2015-01-13,1166.3,1063.1,1063.1,1063.1,7,1063.1
2015-11-23,1063.1,1284.4,1283.9,1284.4,9,1284.4
2015-12-03,1284.4,1289,1274.3,1274.3,27,1274.3
2015-12-07,1274.3,1306.9,1303.5,1306.9,9,1306.9
2015-12-09,1306.9,1304.4,1290,1290,5,1290
2015-12-11,1290,1286.4,1286.4,1286.4,5,1286.4
2016-01-06,1286.4,1193.5,1193.5,1193.5,5,1193.5
2016-01-19,1193.5,1101,1101,1101,9,1101
2016-01-20,1101,1060,1060,1060,4,1060
2016-03-01,1060,1292,1292,1292,6,1292
2016-03-11,1292,1318.2,1318.2,1318.2,4,1318.2
2016-04-14,1318.2,1334.4,1334.4,1334.4,8,1334.4
2016-04-18,1334.4,1332.2,1332.2,1332.2,2,1332.2
2016-04-19,1332.2,1344,1344,1344,5,1344
2016-07-14,1344,1346.3,1346.3,1346.3,9,1346.3
2017-02-17,1346.3,1644.5,1644.5,1644.5,4,1644.5
2017-05-16,1644.5,1825.2,1825.2,1825.2,10,1825.2
2017-08-24,1825.2,1814,1814,1814,14,1814
2018-01-17,1814,1956.1,1923.4,1956.1,14,1956.1
2018-02-02,1956.1,1871.6,1871.6,1871.6,1,1871.6
2018-08-02,1871.6,2001.1,2001.1,2001.1,14,2001.1
2018-08-14,2001.1,1837.4,1837.4,1837.4,20,1837.4
2019-02-27,1837.4,1942,1942,1942,23,1942
2019-10-11,1942,1989.3,1989.3,1989.3,23,1989.3
2020-05-20,1989.3,1599,1599,1599,9,1599
2020-05-27,1599,1735.6,1735.6,1599,3,1599
2020-06-05,1599,1825,1825,1825,5,1825
2020-06-16,1825,1649.6,1649.6,1649.6,18,1649.6
2020-07-14,1649.6,1694.7,1694.7,1649.6,1,1649.6
2020-08-10,1649.6,1772.5,1772.5,1649.6,3,1649.6
2020-08-19,1649.6,1785,1785,1649.6,2,1649.6
2020-09-03,1649.6,1946.9,1946.9,1649.6,3,1649.6
2020-09-15,1649.6,1809.3,1809.3,1809.3,3,1809.3
2020-10-09,1649.6,1821,1821,1649.6,1,1649.6
