date,open,high,low,close,volume,adj_close
2009-06-03,187.8854,190.6084,190.6084,190.6084,33783,190.6084
2009-06-04,190.6084,190.6181,190.6181,190.6181,59048,190.6181
2009-06-05,190.6181,191.5906,191.5906,191.5906,40574,191.5906
2009-06-08,191.5907,199.3706,199.3706,199.3706,42802,199.3706
2009-06-09,199.3705,213.9482,204.2233,213.9482,247245,213.9482
2009-06-10,213.9482,218.8107,213.9385,218.8107,59111,218.8107
2009-06-11,218.8106,223.6731,223.6731,223.6731,23709,223.6731
2009-06-12,223.6732,223.7704,223.6731,223.7704,59367,223.7704
2009-06-15,223.7704,223.7704,223.7704,223.7704,104253,223.7704
2009-06-17,223.7704,221.7282,221.7282,221.7282,9769,221.7282
2009-06-18,221.7282,234.3803,233.3981,234.3803,22360,234.3803
2009-06-22,234.3803,235.3528,235.3528,235.3528,19483,235.3528
2009-06-23,235.3528,235.3528,233.3981,233.3981,62703,233.3981
2009-06-24,233.3981,233.4953,233.4953,233.4953,20316,233.4953
2009-06-25,233.4953,235.343,235.343,235.343,7908,235.343
2009-06-26,235.3431,235.5473,235.5473,235.5473,42754,235.5473
2009-06-30,235.5473,239.729,239.729,239.729,13743,239.729
2009-07-02,239.729,249.0649,249.0649,249.0649,969253,249.0649
2009-07-03,249.0649,249.0649,249.0649,249.0649,28262,249.0649
2009-07-06,249.0649,249.0649,249.0649,249.0649,30603,249.0649
2009-07-07,249.0649,249.0649,249.0649,249.0649,30849,249.0649
2009-07-08,249.0649,249.0649,249.0649,249.0649,32346,249.0649
2009-07-09,249.0649,249.0649,249.0649,249.0649,94602,249.0649
2009-07-10,249.0649,249.0649,249.0649,249.0649,35861,249.0649
2009-07-13,249.0649,249.0649,249.0649,249.0649,32346,249.0649
2009-07-14,249.0649,249.0649,249.0649,249.0649,33571,249.0649
2009-07-15,249.0649,249.0649,249.0649,249.0649,35990,249.0649
2009-07-27,249.0649,248.9579,247.9854,248.9579,11692,248.9579
2009-08-11,248.9579,243.123,233.3981,243.123,43909,243.123
2009-08-13,243.123,243.123,242.1505,243.123,38922,243.123
2009-09-28,243.123,233.3981,233.3981,233.3981,11249,233.3981
2009-10-02,233.3981,232.4256,232.4256,232.4256,8740,232.4256
2009-10-13,232.4255,228.5356,223.6731,223.6731,28639,223.6731
2009-10-14,223.6731,228.5356,223.6731,223.6731,47205,223.6731
2009-10-30,223.6732,218.8107,218.8107,218.8107,1215678,218.8107
2009-11-04,218.8107,218.8204,218.8107,218.8204,193298,218.8204
2009-11-06,218.8204,218.8107,218.8107,218.8107,4113,218.8107
2009-11-10,218.8107,218.8107,218.8107,218.8107,13229,218.8107
2009-11-11,218.8106,223.6731,220.7557,223.6731,32644,223.6731
2009-11-12,223.6731,223.6731,223.6731,223.6731,5106,223.6731
2009-11-13,223.6731,228.5356,228.5356,228.5356,29342,228.5356
2009-11-17,228.5356,223.6731,223.6731,223.6731,7757,223.6731
2009-11-19,223.6732,233.3981,231.4531,233.3981,1343970,233.3981
2009-11-20,233.3981,233.3981,233.3981,233.3981,856905,233.3981
2009-11-25,233.3981,233.3981,233.3981,233.3981,16710,233.3981
2009-12-01,233.3981,233.3981,233.3981,233.3981,7198,233.3981
2009-12-03,233.3981,233.3981,233.3981,233.3981,51414,233.3981
2009-12-17,233.3981,233.3981,233.3981,233.3981,4,233.3981
2009-12-21,233.3981,228.5356,228.5356,228.5356,50592,228.5356
2009-12-28,228.5356,223.6731,223.6731,223.6731,22844,223.6731
2009-12-29,223.6731,228.5356,223.6829,228.5356,101800,228.5356
2009-12-30,228.5356,233.3981,233.3981,233.3981,51414,233.3981
2010-01-04,233.3981,233.3981,233.3981,233.3981,16710,233.3981
2010-01-05,233.3981,233.4078,233.4078,233.4078,298794,233.4078
2010-01-08,233.4078,231.4531,231.4531,231.4531,6964,231.4531
2010-01-13,231.4531,233.4953,233.4953,233.4953,24921,233.4953
2010-01-14,233.4953,243.123,243.123,243.123,50558,243.123
2010-01-21,243.123,233.3981,233.3981,233.3981,77060,233.3981
2010-01-27,233.3981,233.3981,233.3981,233.3981,23229,233.3981
2010-02-08,233.3981,240.4,240.4,240.4,20566,240.4
2010-02-09,240.4,243.123,243.123,243.123,25440,243.123
2010-02-10,243.123,243.123,243.123,243.123,20566,243.123
2010-02-11,243.123,252.8479,252.8479,252.8479,794765,252.8479
2010-02-12,252.8479,252.8479,252.8479,252.8479,20566,252.8479
2010-02-15,252.8479,255.2791,255.2791,255.2791,1566964,255.2791
2010-02-16,255.2791,255.2791,255.2791,255.2791,20566,255.2791
2010-02-17,255.2791,255.2791,255.2791,255.2791,20566,255.2791
2010-02-18,255.2791,259.6553,256.9324,259.6553,790818,259.6553
2010-02-19,259.6554,259.7526,259.6553,259.7526,31969,259.7526
2010-02-22,259.7526,260.7251,260.7251,260.7251,20566,260.7251
2010-02-23,260.7251,263.0591,263.0591,263.0591,20566,263.0591
2010-02-24,263.0591,260.1416,260.1416,260.1416,20566,260.1416
2010-02-25,260.1416,260.1416,260.1416,260.1416,20566,260.1416
2010-02-26,260.1416,262.5728,262.5728,262.5728,190233,262.5728
2010-03-01,262.5728,262.8646,262.8646,262.8646,20566,262.8646
2010-03-02,262.8646,262.5728,252.8479,252.8479,35637,252.8479
2010-03-05,252.8479,263.5453,263.5453,263.5453,20566,263.5453
2010-03-08,263.5453,272.2977,264.5178,272.2977,23136,272.2977
2010-03-09,272.2978,282.0227,273.2702,282.0227,33059,282.0227
2010-03-10,282.0227,306.335,282.0227,306.335,359504,306.335
2010-03-11,306.3349,320.9223,311.1974,320.9223,55304,320.9223
2010-03-12,320.9224,315.0874,315.0874,315.0874,20566,315.0874
2010-03-16,315.0874,315.0874,315.0874,315.0874,20566,315.0874
2010-03-17,315.0874,313.1424,313.1424,313.1424,15424,313.1424
2010-03-18,313.1424,313.1424,313.1424,313.1424,24950,313.1424
2010-03-19,313.1423,313.1424,313.0451,313.0451,853138,313.0451
