date,open,high,low,close,volume,adj_close
2009-10-15,1600000000,2000,2000,2000,1000000,2000
2015-03-31,2000000000,2000,2000,2000,1000000,2000
2015-05-05,2000000000,2200,2200,2200,3000000,2200
2016-07-08,2200000000,1680,1680,1680,1000000,1680
2017-06-13,1680,3200,2200,3200,30400,3200
2017-06-15,3200,3200.2,3200,3200,15000,3200
2017-06-16,3200,3200,3200,3200,6340,3200
2017-06-19,3200,3200,3200,3200,100,3200
2017-06-20,3200,3200,3120,3120,5631,3120
2017-06-21,3120,3100,3100,3100,270,3100
2017-06-22,3100,3150,3120,3120,5712,3120
2017-06-23,3120,3120,3120,3120,151,3120
2017-06-29,3120,3280,3280,3280,7241,3280
2017-06-30,3280,3280,3280,3280,1630,3280
2017-07-11,3280,3280,3280,3280,59,3280
2017-07-18,3280,3280,3280,3280,35,3280
2017-07-20,3280,3200,3200,3200,11800,3200
2017-07-24,3200,3200,3199,3199,627,3199
2017-07-25,3199,3200,3200,3200,1543,3200
2017-07-26,3200,3200,3200,3200,1595,3200
2017-07-28,3200,3200,3200,3200,115,3200
2017-07-31,3200,3100,3100,3100,699,3100
2017-08-04,3100,3200,3200,3200,622,3200
2017-08-07,3200,3200,3200,3200,1500,3200
2017-08-11,3200,3200,3199.9,3200,5610,3200
2017-08-18,3200,3200,3200,3200,63,3200
2017-08-25,3200,3200,3200,3200,60,3200
2017-08-28,3200,3200,3200,3200,2699,3200
2017-08-29,3200,3120,3120,3120,940,3120
2017-09-01,3120,3150,3150,3150,1000,3150
2017-09-04,3150,3150,3150,3150,156,3150
2017-09-05,3150,3160,3160,3160,1929,3160
2017-09-07,3160,3190,3190,3190,1543,3190
2017-09-13,3190,3190,3190,3190,1,3190
2017-09-22,3190,3200,3200,3200,3110,3200
2017-10-03,3200,3200,3200,3200,21,3200
2017-10-04,3200,3200,3200,3200,3000,3200
2017-10-06,3200,3150,3150,3200,11050,3200
2017-10-24,3200,3200,3200,3200,313,3200
2017-10-31,3200,3199,3199,3199,1244,3199
2017-11-06,3199,3199,3199,3199,1440,3199
2017-11-15,3199,3198,3198,3198,1250,3198
2017-11-16,3198,3190,3190,3190,3155,3190
2017-11-27,3190,3189,3189,3189,1000,3189
2017-12-07,3189,3189,3189,3189,35,3189
2017-12-13,3189,3180,3180,3180,1208,3180
2017-12-14,3180,3180,3180,3180,158,3180
2017-12-18,3180,3180,3180,3180,257,3180
2017-12-20,3180,3000,3000,3000,3593,3000
2018-01-08,3000,3000,3000,3000,65,3000
2018-01-09,3000,3000,3000,3000,159,3000
2018-01-22,3000,3000,3000,3000,1230,3000
2018-01-31,3000,3050,3050,3050,200,3050
2018-02-09,3050,3000,3000,3000,500,3000
2018-02-14,3000,3000,3000,3000,1000,3000
2018-02-27,3000,3099,3099,3099,800,3099
2018-03-14,3099,3000,3000,3000,10000,3000
2018-03-16,3000,3000,3000,3000,10000,3000
2018-03-19,3000,3000,3000,3000,4500,3000
2018-04-09,3000,3000,3000,3000,5000,3000
2018-04-10,3000,3050,3050,3050,555,3050
2018-04-27,3050,3050,3050,3050,30,3050
2018-05-03,3050,3019.5,3019.5,3019.5,2534,3019.5
2018-05-08,3019.5,3019.5,3019.5,3019.5,60,3019.5
2018-05-09,3019.5,3020,3020,3020,15000,3020
2018-05-15,3020,3030,3000,3000,6891,3000
2018-05-18,3000,3000,3000,3000,9650,3000
2018-05-29,3000,3000,3000,3000,250,3000
2018-06-01,3000,3000,3000,3000,157,3000
2018-06-04,3000,3000,3000,3000,34,3000
2018-06-05,3000,3100,3100,3100,7295,3100
2018-06-07,3100,3100,3100,3100,7975,3100
2018-06-12,3100,3100,3100,3100,1000,3100
2018-06-14,3100,3100,3100,3100,25,3100
2018-06-18,3100,3099,3099,3099,5000,3099
2018-06-20,3099,3000,3000,3000,1650,3000
2018-06-25,3000,3000,3000,3000,5102,3000
2018-06-26,3000,3000,3000,3000,2200,3000
2018-06-27,3000,3000,3000,3000,2583,3000
2018-06-28,3000,3000,3000,3000,1578,3000
2018-06-29,3000,3000,3000,3000,13,3000
2018-07-03,3000,3000,3000,3000,35,3000
2018-07-05,3000,3000,3000,3000,31,3000
2018-07-10,3000,3000,3000,3000,500,3000
2018-07-24,3000,3000,3000,3000,2453,3000
2018-07-27,3000,3000,3000,3000,130,3000
2018-08-01,3000,3000,3000,3000,40,3000
2018-08-14,3000,3000,3000,3000,5000,3000
2018-08-17,3000,3000,3000,3000,35,3000
2018-08-24,3000,3000,3000,3000,34,3000
2018-09-03,3000,3000,3000,3000,34,3000
2018-09-05,3000,3000,3000,3000,348,3000
2018-09-13,3000,3000,3000,3000,31,3000
2018-09-24,3000,3000,3000,3000,65,3000
2018-09-26,3000,2926.9,2926.9,2926.9,313,2926.9
2018-10-09,2926.9,2926.9,2926.9,2926.9,32,2926.9
2018-10-16,2926.9,2984.4,2927,2927,22792,2927
2018-10-18,2927,2927,2927,2927,10000,2927
2018-10-19,2927,2927,2927,2927,8446,2927
2018-10-25,2927,2927,2927,2927,171,2927
2018-10-31,2927,2907.2,2907.2,2907.2,2112,2907.2
2018-11-14,2907.2,2907.2,2907.2,2907.2,1285,2907.2
2018-11-20,2907.2,2907.2,2907.2,2907.2,1000,2907.2
2018-11-23,2907.2,2950,2950,2950,1000,2950
2018-12-06,2950,2907.2,2907.2,2907.2,330,2907.2
2018-12-07,2907.2,2907.2,2907,2907,10027,2907
2018-12-11,2907,2907,2907,2907,4,2907
2018-12-17,2907,2907,2907,2907,34,2907
2018-12-19,2907,2907,2907,2907,571,2907
2018-12-24,2907,2907,2907,2907,34,2907
2019-01-03,2907,2907,2907,2907,75,2907
2019-01-07,2907,2907,2907,2907,35,2907
2019-01-14,2907,2882.6,2882.6,2882.6,4782,2882.6
2019-01-18,2882.6,2882.6,2882.6,2882.6,35,2882.6
2019-01-22,2882.6,2882.6,2882.6,2882.6,69,2882.6
2019-01-25,2882.6,2818.5,2818.5,2882.6,1712,2882.6
2019-02-04,2882.6,2882.6,2882.6,2882.6,59,2882.6
2019-02-06,2882.6,2900,2900,2882.6,1000,2882.6
2019-02-22,2882.6,2882.6,2882.6,2882.6,34,2882.6
2019-03-06,2882.6,2882.6,2882.6,2882.6,5150,2882.6
2019-03-07,2882.6,2832.3,2832.3,2832.3,3022,2832.3
2019-03-11,2832.3,2832.3,2832.3,2832.3,35,2832.3
2019-03-14,2832.3,2832,2832,2832,5000,2832
2019-03-18,2832,2832,2832,2832,82,2832
2019-03-22,2832,2832,2832,2832,35,2832
2019-03-29,2832,2500,2500,2500,50080,2500
2019-04-01,2500,2500,2498.2,2500,8018,2500
2019-04-02,2500,2500,2500,2500,1000,2500
2019-04-05,2500,2500,2500,2500,26,2500
2019-04-16,2500,2500,2500,2500,100,2500
2019-04-24,2500,2500,2500,2500,30,2500
2019-04-25,2500,2530,2530,2530,4000,2530
2019-04-30,2530,2530,2530,2530,98,2530
2019-05-02,2530,2540,2540,2540.4,4073,2540.4
2019-05-03,2540.4,2540.4,2540.4,2540.4,40,2540.4
2019-05-06,2540.4,2462.8,2462.8,2462.8,6000,2462.8
2019-05-10,2462.8,2462.8,2462.8,2462.8,14,2462.8
2019-05-15,2462.8,2480,2480,2462.8,2041,2462.8
2019-05-27,2462.8,2490,2490,2462.8,407,2462.8
2019-05-29,2462.8,2490,2490,2490,4480,2490
2019-05-31,2490,2490,2490,2490,982,2490
2019-06-03,2490,2490,2490,2490,40,2490
2019-06-06,2490,2504.8,2504.8,2490,1500,2490
2019-06-10,2490,2504.8,2504.8,2490,1880,2490
2019-06-11,2490,2505,2504.8,2504.8,32238,2504.8
2019-06-12,2504.8,2505,2505,2505,8762,2505
2019-06-17,2505,2500,2500,2505,1000,2505
2019-06-21,2505,2505,2505,2505,39,2505
2019-06-24,2505,2505,2505,2505,35,2505
2019-07-02,2505,2505,2504.8,2505,1500,2505
2019-07-03,2505,2490,2488.4,2488.9,4213,2488.9
2019-07-04,2488.9,2488.9,2488.9,2488.9,50,2488.9
2019-07-10,2488.9,2500,2500,2488.9,1737,2488.9
2019-07-11,2488.9,2500,2500,2500,4050,2500
2019-07-12,2500,2501,2500,2500.3,3163,2500.3
2019-07-15,2500.3,2500,2500,2500.3,1837,2500.3
2019-07-25,2500.3,2501,2501,2500.3,1599,2500.3
2019-08-06,2500.3,2509.8,2509.8,2509.8,4450,2509.8
2019-08-07,2509.8,2490,2490,2509.8,1000,2509.8
2019-08-14,2509.8,2509.8,2509.8,2509.8,43,2509.8
2019-08-16,2509.8,2509.8,2509.8,2509.8,40,2509.8
2019-08-30,2509.8,2509.8,2509.8,2509.8,40,2509.8
2019-09-02,2509.8,2509.8,2509.8,2509.8,44,2509.8
2019-09-25,2509.8,2468.7,2468.7,2468.7,15382,2468.7
2019-10-01,2468.7,2468.7,2468.7,2468.7,41,2468.7
2019-10-03,2468.7,2480,2480,2468.7,401,2468.7
