date,open,high,low,close,volume,adj_close
2009-06-03,23.15,23.15,22.4,22.75,51925860,22.75
2009-06-04,22.75,23.19,22.75,22.79,56515340,22.79
2009-06-05,22.79,23.15,22.69,23.02,35313900,23.02
2009-06-08,23.02,23.39,22.8,23.23,114988600,23.23
2009-06-09,23.23,23.69,23.2,23.59,191652900,23.59
2009-06-10,23.59,23.64,23.3,23.61,56564460,23.61
2009-06-11,23.6,24.1,23.58,23.9,145706800,23.9
2009-06-12,23.9,24,23.66,23.88,133932600,23.88
2009-06-15,23.88,24.19,23.2,23.88,73946730,23.88
2009-06-16,23.88,24.1,23.21,23.28,23809830,23.28
2009-06-17,23.28,24.1,22.6,22.62,63305510,22.62
2009-06-18,22.62,24.21,22.6,22.8,22491490,22.8
2009-06-19,22.8,23.1,22.6,22.6,55762840,22.6
2009-06-22,22.6,22.85,22.3,22.3,40632870,22.3
2009-06-23,22.3,22.85,22.24,22.42,78748860,22.42
2009-06-24,22.42,22.91,22.69,22.8,35962500,22.8
2009-06-25,22.8,23.13,22.6,23.13,42760500,23.13
2009-06-26,23.13,23.5,23,23.46,55612540,23.46
2009-06-30,23.46,24,23.3,23.89,51239500,23.89
2009-07-01,23.89,24.15,23.5,23.81,99248450,23.81
2009-07-02,23.81,24,23.7,23.86,54249560,23.86
2009-07-03,23.86,23.84,23.5,23.84,10510690,23.84
2009-07-06,23.84,23.88,23.3,23.34,59214980,23.34
2009-07-07,23.34,23.6,23,23.55,141859600,23.55
2009-07-08,23.55,23.86,23.55,23.65,104551400,23.65
2009-07-09,23.655,23.85,23.6,23.78,36546760,23.78
2009-07-10,23.78,23.95,23.7,23.89,50858250,23.89
2009-07-13,23.89,25.4,23.8,25.05,307516700,25.05
2009-07-14,25,25.65,24.59,24.96,144815200,24.96
2009-07-15,24.9,25.5,24.9,25.39,78402390,25.39
2009-07-17,25.5,25.5,25,25.08,15010180,25.08
2009-07-20,25.08,26.01,25.11,26,71418430,26
2009-07-21,26,26.13,25.75,25.92,51837120,25.92
2009-07-22,25.9,25.9,25.6,25.79,73618190,25.79
2009-07-23,25.79,26,25.6,25.68,155443600,25.68
2009-07-24,25.68,26.2,25.8,26.07,228658100,26.07
2009-07-27,26,26.35,26,26.23,118440800,26.23
2009-07-28,26.27,26.45,25.75,25.85,93696610,25.85
2009-07-29,25.85,25.9,25.59,25.84,47955340,25.84
2009-07-30,25.84,26,25.6,25.7,62590960,25.7
2009-07-31,25.7,25.85,25.5,25.51,135413300,25.51
2009-08-03,25.65,26.29,25.65,26.25,36223580,26.25
2009-08-04,26.25,26.56,26.2,26.35,55860020,26.35
2009-08-05,26.35,26.8,26.5,26.66,81214520,26.66
2009-08-06,26.6,26.75,26.1,26.25,26789470,26.25
2009-08-07,26.25,27,26.1,26.79,82381090,26.79
2009-08-10,26.79,27.15,26.9,27,64086260,27
2009-08-11,27,27.12,26.6,26.6,62330970,26.6
2009-08-12,26.6,27.5,26.6,27.3,123066300,27.3
2009-08-13,27.3,27.6,27.2,27.6,72995470,27.6
2009-08-14,27.6,28.2,27.44,28,88531910,28
2009-08-17,28,28,27.35,27.7,22248190,27.7
2009-08-18,28,28,27.1,27.4,47004600,27.4
2009-08-19,27.4,27.4,27,27,42103910,27
2009-08-20,27,27.4,27,27.13,67165070,27.13
2009-08-21,27.13,27.13,26.9,26.9,46804090,26.9
2009-08-24,26.9,27.51,26.9,27.37,35196660,27.37
2009-08-25,27.37,27.4,27.1,27.39,19343650,27.39
2009-08-26,27.39,27.41,27.15,27.37,12742740,27.37
2009-08-27,27.37,27.4,26.9,27,74152550,27
2009-08-28,27,27.8,27,27.72,84972020,27.72
2009-08-31,27.72,27.72,27,27.13,135944400,27.13
2009-09-01,27.13,27.35,26,26.51,39810420,26.51
2009-09-02,26.51,26.8,26,26.34,39334580,26.34
2009-09-03,26.34,26.63,26,26.21,25914800,26.21
2009-09-04,26.21,26.28,26,26.03,53156710,26.03
2009-09-07,26.03,26.3,26.01,26.05,19954260,26.05
2009-09-08,26.05,26.25,25.5,25.52,62274280,25.52
2009-09-09,25.52,26.26,25.52,26.09,49726700,26.09
2009-09-10,26.09,27,26.05,26.85,20036220,26.85
2009-09-11,26.85,27.3,26.5,27.1,42452480,27.1
2009-09-14,27.1,27.18,26.4,26.53,37791500,26.53
2009-09-15,26.53,26.81,26.5,26.8,23543990,26.8
2009-09-16,26.8,27.01,25.85,26.98,41040670,26.98
2009-09-17,26.98,27.7,27,27.42,49137170,27.42
2009-09-21,27.42,28.15,27.4,28.02,133346700,28.02
2009-09-22,28.02,28.4,28,28.37,56005120,28.37
2009-09-23,28.37,28.5,28.2,28.35,93351840,28.35
2009-09-24,28.35,29.1,28.35,29.01,59050930,29.01
2009-09-25,29.01,29.5,29,29.26,58517480,29.26
2009-09-28,29.26,30.31,29.5,30.12,87060720,30.12
2009-09-29,30.12,30.65,30.1,30.27,66400780,30.27
2009-09-30,30.27,30.6,29.9,30.41,87601260,30.41
2009-10-01,30.41,30.35,29.4,29.51,50173160,29.51
2009-10-02,29.51,30.27,29,29.1,34526980,29.1
2009-10-05,29.1,30.25,29.1,29.43,83925580,29.43
2009-10-06,29.5,30.2,29.35,29.7,42428790,29.7
2009-10-07,29.7,29.7,28.5,29.06,64958770,29.06
2009-10-08,29.06,29.35,28.6,28.7,48218090,28.7
2009-10-09,28.7,29.35,28.55,29.05,89095340,29.05
2009-10-13,29.05,29.51,29.11,29.49,67770340,29.49
2009-10-14,29.7,29.8,29.07,29.49,29496440,29.49
2009-10-15,29.49,29.5,28.81,28.89,19211380,28.89
2009-10-16,28.89,29.3,28.22,28.56,88107190,28.56
2009-10-19,28.56,28.89,28.5,28.53,40256590,28.53
2009-10-20,28.53,29.54,28.4,29.52,24096060,29.52
2009-10-21,29.5,29.9,29.25,29.41,94065740,29.41
2009-10-22,29.41,29.77,28.5,28.7,221762000,28.7
2009-10-23,28.7,29.1,28.65,28.71,147152800,28.71
2009-10-26,28.71,29.1,28.6,28.61,88976620,28.61
2009-10-27,28.61,28.65,28.4,28.48,45744680,28.48
2009-10-28,28.48,28.54,27.47,27.51,28229560,27.51
2009-10-29,27.51,28.54,27.47,28.12,51900410,28.12
2009-10-30,28.12,28.54,26.9,26.96,91453510,26.96
2009-11-02,26.96,28,26.96,27.3,38609560,27.3
2009-11-03,27.3,28.2,27.2,28.13,69162260,28.13
2009-11-04,28.13,29.05,27.53,29,50664180,29
2009-11-05,29,29,28.4,28.44,16383070,28.44
2009-11-06,28.44,29.35,28.4,29.32,18442420,29.32
2009-11-09,29.32,29.85,29,29.68,47677970,29.68
2009-11-10,29.68,30.1,29.4,30.05,93954170,30.05
2009-11-11,30,30.4,29.84,30.31,67868630,30.31
2009-11-12,30.45,30.3,29.3,29.36,24857180,29.36
2009-11-13,29.36,30,29,29.79,23364460,29.79
2009-11-16,29.79,30.25,29.43,29.51,26502770,29.51
2009-11-17,29.51,29.71,29,29.3,86192170,29.3
2009-11-18,29.3,29.71,28.89,29,35714360,29
2009-11-19,29,29.36,28.24,28.37,28573970,28.37
2009-11-20,28.37,28.4,28,28.05,16498260,28.05
2009-11-23,28.05,28.94,28.02,28.76,43849060,28.76
2009-11-24,28.76,29,28.6,28.76,66143490,28.76
2009-11-25,28.76,29,28.5,28.79,53995320,28.79
2009-11-26,28.79,28.83,28,28.2,22718600,28.2
2009-11-27,28.2,28.83,28,28.4,17405170,28.4
2009-11-30,28.4,29.1,28.5,28.98,38340880,28.98
2009-12-01,28.98,29.7,29,29.7,102120700,29.7
2009-12-02,29.7,30,29.4,29.47,30666750,29.47
2009-12-03,29.47,29.5,28.9,28.9,27437230,28.9
2009-12-04,28.9,29.7,28.75,29,38897240,29
2009-12-07,29,29,28.5,28.76,16021150,28.76
2009-12-09,28.76,29.02,28.25,28.35,66584000,28.35
2009-12-10,28.35,28.95,28.3,28.92,50448660,28.92
2009-12-11,28.92,29.7,28.95,29.7,41487390,29.7
2009-12-14,29.7,30.3,29.7,30.28,23686980,30.28
2009-12-15,30.28,30.75,30,30.56,71460370,30.56
2009-12-16,30.56,30.87,30.5,30.67,43400100,30.67
2009-12-17,30.67,30.8,30.49,30.5,18662420,30.5
2009-12-18,30.5,30.5,29.51,30.24,31511360,30.24
2009-12-21,30.24,30.55,29.62,30.35,19720040,30.35
2009-12-22,30.35,30.48,30,30.22,11549360,30.22
2009-12-23,30.22,30.63,30.1,30.58,23180720,30.58
2009-12-24,30.58,30.7,30.58,30.7,5159100,30.7
2009-12-28,30.7,31.1,30.5,31,32099570,31
2009-12-29,31.05,31.15,30.51,30.9,9533037,30.9
2009-12-30,30.9,31.01,30.65,30.74,6135360,30.74
2010-01-04,30.74,31.63,30.65,31.44,17050790,31.44
2010-01-05,31.44,31.6,31.3,31.56,19790130,31.56
2010-01-06,31.28,31.99,31.28,31.95,18561530,31.95
2010-01-07,32,32.5,31.6,32.44,33481200,32.44
2010-01-08,32.44,33.2,31.96,33.09,27309750,33.09
2010-01-11,33.09,33.1,32.2,32.31,62918510,32.31
2010-01-12,32,33,31.6,32.08,54306450,32.08
2010-01-13,32.08,32.4,31.99,32.4,38909520,32.4
2010-01-14,32.4,32.7,32.08,32.59,21109430,32.59
2010-01-15,32.59,33.2,32,33.09,41144500,33.09
2010-01-18,34,34,32.5,32.89,12444130,32.89
2010-01-19,33,33.5,32.7,33.36,47932680,33.36
2010-01-20,33.35,33.6,33,33.47,29531720,33.47
2010-01-21,33.47,33.5,33.15,33.4,43899130,33.4
2010-01-22,33.4,33.4,32.4,32.71,47682320,32.71
2010-01-25,32.71,34.05,32.75,34,36374780,34
2010-01-26,34,34.7,33.9,34.56,60063910,34.56
2010-01-27,34.56,34.6,32.45,32.52,105793900,32.52
2010-01-28,32.6,33.3,32.5,32.66,39612160,32.66
2010-01-29,32.66,33.25,32,32.48,56779390,32.48
2010-02-01,32.48,32.83,31.5,31.59,76160320,31.59
2010-02-02,31.5,32.82,31.5,31.8,105337100,31.8
2010-02-03,31.8,32.91,31.7,32.81,67640270,32.81
2010-02-04,32.81,32.9,31.92,32.03,42007140,32.03
2010-02-05,32.03,32.15,30.48,31.43,84939990,31.43
2010-02-08,31.43,32.83,31.5,32.8,60227800,32.8
2010-02-09,33.02,33.6,32.55,32.62,105136600,32.62
2010-02-10,32.62,33.31,32.25,32.67,23559670,32.67
2010-02-11,32.67,33.3,32.1,32.59,15511080,32.59
2010-02-12,32.59,33,32.2,32.8,8712015,32.8
2010-02-15,32.8,33,32.6,32.6,1681594,32.6
2010-02-16,32.6,33.45,32.8,33.16,18206500,33.16
2010-02-17,33.16,33.3,32.88,32.99,12219250,32.99
2010-02-18,32.99,33.55,33,33.49,26847240,33.49
2010-02-19,33.49,33.7,33.4,33.6,31543620,33.6
2010-02-22,33.6,33.6,33.05,33.1,22749350,33.1
2010-02-23,33.1,33.3,32.3,32.54,68639860,32.54
2010-02-24,32.54,33.3,32.02,32.14,45212820,32.14
2010-02-25,32.14,33.01,31.61,31.88,37743980,31.88
2010-02-26,31.805,32.7,31.805,32.38,26225260,32.38
2010-03-01,32.38,32.4,31.5,32.12,32894780,32.12
2010-03-02,32.12,33.01,32,32.87,33252360,32.87
2010-03-03,32.87,32.87,32.45,32.57,30117590,32.57
2010-03-04,32.57,33.49,32.6,33.19,31062580,33.19
2010-03-05,33.19,33.45,33,33.35,37373020,33.35
2010-03-08,33.5,33.76,33.25,33.72,47761100,33.72
2010-03-09,33.72,34.1,33.3,33.99,55273170,33.99
2010-03-10,33.99,35.1,34.2,34.99,349579600,34.99
2010-03-11,34.97,35,34.7,34.91,13747970,34.91
2010-03-12,34.94,34.91,34,34.2,36200650,34.2
2010-03-15,34.2,34.87,33.74,34.1,17165710,34.1
2010-03-16,34,34.5,34,34.46,48979030,34.46
2010-03-17,34.46,34.7,34.25,34.5,14936330,34.5
2010-03-18,34.5,34.67,34.4,34.4,13294990,34.4
2010-03-19,34.4,34.6,34,34.22,14946450,34.22
2010-03-22,34.22,34.65,34,34.53,8284128,34.53
2010-03-23,34.53,35,34.3,34.88,14658650,34.88
2010-03-24,34.88,34.85,34.2,34.3,6315101,34.3
2010-03-25,34.3,34.86,34.3,34.58,16508620,34.58
2010-03-26,34.58,34.6,33.7,34.13,28532670,34.13
2010-03-29,34.13,34.14,33.34,33.37,27987690,33.37
2010-03-30,33.5,34.5,33.5,33.84,7641861,33.84
2010-03-31,33.84,34.5,33.8,34.43,28073490,34.43
2010-04-01,34.43,34.6,34.35,34.6,24569860,34.6
2010-04-05,34.6,35.15,34.91,35.06,44061130,35.06
2010-04-06,35.06,35.7,35,35.08,29609550,35.08
2010-04-07,35.08,35.55,35,35.55,43011400,35.55
2010-04-08,35.6,35.65,35,35.55,69963130,35.55
2010-04-09,35.75,35.75,35.5,35.55,15366130,35.55
2010-04-12,35.55,35.2,34.71,34.85,3293792,34.85
2010-04-13,34.85,34.85,34.3,34.78,29949830,34.78
2010-04-14,34.78,35,34.69,34.76,13854440,34.76
2010-04-15,34.76,35.13,34.5,34.64,18445340,34.64
2010-04-16,35.5,35.5,34.4,34.49,29080950,34.49
2010-04-19,34.49,34.63,34,34.3,16233810,34.3
2010-04-20,34.3,34.95,34.65,34.84,5056872,34.84
2010-04-21,34.84,35.42,34.9,35.32,134924800,35.32
2010-04-22,35.32,35.45,34.85,35.04,141635800,35.04
2010-04-23,34.4,34.4,33.2,34,33512420,34
2010-04-26,34,34.25,33,33.01,13745090,33.01
2010-04-27,33,34.25,32.5,32.77,41685140,32.77
2010-04-28,33,33.25,32.6,32.68,56475240,32.68
2010-04-29,32.68,33.29,32.79,33.01,37359920,33.01
2010-04-30,33.01,33.2,32.5,33.09,27097340,33.09
2010-05-03,33.09,33.9,32.95,32.95,29761000,32.95
2010-05-04,32.95,33.4,32,32.21,87869200,32.21
2010-05-05,32.2,33.4,31.3,31.42,106800900,31.42
2010-05-06,31.5,32.6,31.25,31.98,78396480,31.98
2010-05-07,31.98,32.27,31,31.3,140017000,31.3
2010-05-10,32,32.59,31.14,32.49,101627100,32.49
2010-05-11,32.48,33.05,32.41,32.79,104411700,32.79
2010-05-12,32.79,33.2,32.8,33.1,36897670,33.1
2010-05-13,33.1,33.21,32.8,32.8,22070270,32.8
2010-05-14,32.8,33.05,32.2,32.31,33946900,32.31
2010-05-17,32.31,32.5,31.8,32.15,73377730,32.15
2010-05-18,32.15,33.39,32.15,32.56,25232910,32.56
2010-05-19,32.95,32.95,31.9,32.48,56246820,32.48
2010-05-20,32.48,32.6,31.56,31.64,53528880,31.64
2010-05-24,31.64,32.6,31.25,31.38,28983700,31.38
2010-05-25,30.97,31.86,30.6,31.03,38672610,31.03
2010-05-26,31.03,31.86,31,31.46,66371790,31.46
2010-05-27,31.46,32.3,31.16,32.15,68498180,32.15
2010-05-28,32.15,32.3,31.59,32.1,33963700,32.1
2010-05-31,32.5,32.69,31.6,32.63,38981690,32.63
2010-06-01,32.48,32.73,31.7,31.86,95312250,31.86
2010-06-02,31.86,33,31.79,32.94,57672200,32.94
2010-06-03,33.3,33.3,32,32.62,66240580,32.62
2010-06-04,32.5,33,31.8,32.98,53168530,32.98
2010-06-07,33,33.3,32.5,32.84,35953680,32.84
2010-06-08,32.84,33.18,32.74,33.12,39351500,33.12
2010-06-09,33.2,33.47,32.85,32.89,55580660,32.89
2010-06-10,32.91,33.4,32.89,33.33,45258190,33.33
2010-06-11,33.33,33.39,33,33.35,11393020,33.35
2010-06-14,33.35,33.49,33.3,33.45,23244440,33.45
2010-06-15,33.5,35.5,33.48,34.82,98495710,34.82
