date,open,high,low,close,volume,adj_close
2012-05-24,23.29,23.29,23.29,23.29,100,23.29
2012-06-05,23.29,23.47,23.47,23.47,360,23.47
2012-06-07,23.47,25.03,25.03,25.03,100,25.03
2012-09-25,25.03,22.45,22.45,22.45,237,22.45
2012-10-02,22.45,22.28,22.28,22.28,225,22.28
2012-10-04,22.28,22.8,22.8,22.8,220,22.8
2012-10-10,22.8,24.35,24.1,24.35,648,24.35
2012-10-11,24.35,25.8,25.8,25.8,237,25.8
2012-10-18,25.8,27.44,27.44,27.44,203,27.44
2012-10-22,27.44,29.05,29,29.05,607,29.05
2012-12-13,29.05,27.8,27.8,27.8,72,27.8
2012-12-14,27.8,27.8,27.8,27.8,72,27.8
2013-01-02,27.8,27.4,27.4,27.4,71,27.4
2013-01-04,27.4,26.97,26.97,26.97,296,26.97
2013-01-11,26.97,25.8,25.8,25.8,296,25.8
2013-02-07,25.8,23.8,23.8,23.8,420,23.8
2013-02-14,23.8,24.5,24.5,24.5,420,24.5
2013-02-27,24.5,21.72,21.72,21.72,350,21.72
2013-02-28,21.72,21.75,21.75,21.75,460,21.75
2013-03-05,21.75,21,21,21,492,21
2013-03-27,21,20.59,20.59,20.59,483,20.59
2013-03-28,20.59,21.25,21.07,21.07,483,21.07
2013-04-01,21.07,20.5,20.5,20.5,486,20.5
2013-04-10,20.5,21.2,21.2,21.2,486,21.2
2013-04-12,21.2,20.59,20.59,20.59,485,20.59
2013-04-22,20.59,18.76,18.76,18.76,485,18.76
2013-04-25,18.76,20.17,20,20,610,20
2013-05-29,20,20,20,20,500,20
2013-05-30,20,20.98,20.98,20.98,500,20.98
2013-06-03,20.98,19.5,19.5,19.5,750,19.5
2013-06-05,19.5,19.04,19.04,19.04,500,19.04
2013-06-12,19.04,17.5,17.5,17.5,571,17.5
2013-07-30,17.5,16.4,16.4,16.4,500,16.4
2013-07-31,16.4,16.78,16.78,16.78,460,16.78
2013-08-09,16.78,18.2,17.66,18.2,1321,18.2
2013-08-26,18.2,18.31,18.31,18.31,460,18.31
2013-09-27,18.31,17.8,17.8,17.8,245,17.8
2013-10-24,17.8,19.26,19.26,19.26,245,19.26
2013-12-13,19.26,18.39,18.39,18.39,605,18.39
2013-12-23,18.39,18.24,18.24,18.24,215,18.24
2014-01-23,18.24,17.67,17.67,17.67,150,17.67
2014-10-23,17.67,10.54,10.44,10.54,607,10.54
2015-03-10,10.54,6.27,6.27,6.27,3800,6.27
2015-04-22,6.27,4.73,4.73,4.73,7000,4.73
2015-07-20,4.73,1.21,1.21,1.21,605,1.21
2015-12-04,18.15,10.26,10.26,10.26,205,10.26
2016-01-12,10.26,4.37,4.37,4.37,47,4.37
2020-03-18,4.37,3.6,3.6,4.37,1000,4.37
2020-04-20,4.37,3.2,3.2,4.37,625,4.37
2020-08-20,4.37,2.55,2.55,4.37,483,4.37
2020-08-21,4.37,2.47,2.47,4.37,400,4.37
2020-09-24,4.37,3.56,3.56,3.56,1000,3.56
2020-09-29,4.37,2.6,2.6,2.6,1000,2.6
2020-09-30,4.37,2.327,2.327,4.37,870,4.37
2020-10-30,4.37,1.28,1.28,1.28,6000,1.28
2020-11-02,1.28,1.34,1.34,1.34,5305,1.34
2020-11-09,1.28,1.28,1.28,1.28,921,1.28
2020-11-10,1.28,0.852,0.852,1.28,1480,1.28
2020-11-30,1.28,1.41,1.41,1.28,1520,1.28
2020-12-23,1.28,1.98,1.98,1.98,2500,1.98
2020-12-29,1.28,2.32,2.32,1.28,2500,1.28
2021-01-06,1.28,3.29,3.29,3.29,2500,3.29
2021-01-08,3.28,3.18,3.18,3.18,6000,3.18
2021-01-11,3.18,3.15,3.15,3.15,1500,3.15
2021-01-13,3.18,3.68,3.68,3.68,1380,3.68
2021-01-14,3.18,4.25,4.25,3.18,1380,3.18
2021-01-15,3.18,4.2,3.92,3.92,1525,3.92
2021-01-20,3.18,3.86,3.86,3.18,1300,3.18
2021-01-27,3.18,4.96,4.96,4.96,730,4.96
2021-02-02,3.18,4.48,4.17,4.263,6400,4.263
2021-02-04,4.263,3.54,3.54,3.54,3765,3.54
2021-02-05,3.54,3.9,3.9,3.9,550,3.9
2021-02-12,3.54,4.25,4.25,3.54,550,3.54
2021-02-22,3.54,4.1,4.1,4.1,1000,4.1
2021-03-04,3.54,4.21,4.21,4.21,1000,4.21
2021-03-18,3.54,3.5,3.5,3.54,2000,3.54
2021-03-19,3.54,3.59,3.59,3.54,2000,3.54
2021-03-22,3.54,3.2,3.2,3.54,106,3.54
2021-03-31,3.54,2.99,2.99,2.99,5000,2.99
