date,open,high,low,close,volume,adj_close
2012-05-24,26.23,26.23,26.23,26.23,100,26.23
2012-06-04,26.23,24.84,24.84,24.84,4000,24.84
2012-06-07,24.84,26.87,26.87,26.87,100,26.87
2012-06-21,26.87,28,28,28,1400,28
2012-07-10,28,26.56,26.56,26.56,1500,26.56
2012-07-24,26.56,25.02,25.02,25.02,1500,25.02
2012-08-20,25.02,29.6,29.6,29.6,2000,29.6
2012-09-11,29.6,32.6,32.6,32.6,600,32.6
2012-10-22,32.6,37.42,37.4,37.42,471,37.42
2012-12-20,37.42,39.44,39.44,39.44,1250,39.44
2012-12-27,39.44,39.66,39.66,39.66,1110,39.66
2013-01-11,39.66,42.11,42,42.11,1846,42.11
2013-01-29,42.11,42.1,42.1,42.1,236,42.1
2013-02-06,42.1,42.72,42.69,42.69,330,42.69
2013-02-12,42.69,43.96,43.96,43.96,227,43.96
2013-02-13,43.96,44,44,44,270,44
2013-02-14,44,44.3,44.3,44.3,56,44.3
2013-03-08,44.3,45.9,45.9,45.9,227,45.9
2013-04-18,45.9,45.48,45.48,45.48,94,45.48
2013-05-14,45.48,49.97,49.97,49.97,1110,49.97
2013-05-30,49.97,52.94,52.94,52.94,368,52.94
2013-06-06,52.94,50.13,50.13,50.13,80,50.13
2013-06-19,50.13,49.59,49.59,49.59,357,49.59
2013-06-20,49.59,48.2,48.2,48.2,122,48.2
2013-07-01,48.2,48.71,48.71,48.71,205,48.71
2013-07-10,48.71,49.68,49.68,49.68,156,49.68
2013-07-17,49.68,52.34,52.16,52.16,434,52.16
2013-09-04,52.16,49.8,49.8,49.8,230,49.8
2013-09-06,49.8,49.6,49.6,49.6,115,49.6
2013-10-14,49.6,49.28,49.28,49.28,670,49.28
2013-11-06,49.28,48.66,48.66,48.66,1596,48.66
2013-11-18,48.66,50.7,50.7,50.7,65,50.7
2013-11-25,50.7,53.36,53.08,53.36,202,53.36
2013-11-27,53.36,53.1,53.1,53.1,65,53.1
2013-11-29,53.1,53.23,53.23,53.23,115,53.23
2013-12-11,53.23,51.43,51.43,51.43,60,51.43
2013-12-27,51.43,52.29,52.29,52.29,191,52.29
2014-01-16,52.29,53,53,53,60,53
2014-01-23,53,50.98,50.98,50.98,97,50.98
2014-04-01,50.98,48.04,48.04,48.04,2575,48.04
2014-04-07,48.04,46.75,46.75,46.75,270,46.75
2014-04-11,46.75,46.13,46.13,46.13,620,46.13
