date,open,high,low,close,volume,adj_close
2011-03-30,70,70,70,70,66924,70
2011-03-31,70,104,77,104,537700,104
2011-04-01,104,110,108,110,23588,110
2011-04-04,110,110,105,110,27759,110
2011-04-05,110,129.9,110,129.7,99205,129.7
2011-04-06,129.7,129.7,129.7,129.7,1014,129.7
2011-04-07,129.7,129.7,129.7,129.7,4675,129.7
2011-04-08,129.7,129.7,129.7,129.7,914,129.7
2011-04-11,129.7,140,140,140,18351,140
2011-04-12,140,140,140,140,2587,140
2011-04-13,140,140,140,140,30627,140
2011-04-14,140,140,140,140,300,140
2011-04-15,140,130,130,130,27756,130
2011-04-18,130,130,130,130,12649,130
2011-04-19,130,125,124.9,125,31979,125
2011-04-20,125,125,125,125,1274,125
2011-04-21,125,124,124,124,102507,124
2011-04-25,124,115,115,115,14849,115
2011-04-26,115,110,110,115,96403,115
2011-04-27,115,105,105,115,20644,115
