date,open,high,low,close,volume,adj_close
2009-06-03,449.17,448.2244,441.2898,443.9628,21294460,443.9628
2009-06-04,443.9628,466.5064,447.594,464.8106,7091430,464.8106
2009-06-05,472.8105,488.5709,466.5064,485.3747,5205942,485.3747
2009-06-08,485.3747,498.0271,472.8106,488.5709,10263340,488.5709
2009-06-09,494.875,520.0916,488.5709,512.0727,6636371,512.0727
2009-06-10,529.5351,532.6999,516.9395,526.465,17361870,526.465
2009-06-11,526.4651,560.4381,526.3958,532.7629,4856135,532.7629
2009-06-12,532.7629,535.8519,520.0916,521.9765,1573603,521.9765
2009-06-15,526.0175,532.6999,504.3312,529.5226,32872710,529.5226
2009-06-16,529.5478,542.1561,526.3958,528.9174,37163360,528.9174
2009-06-17,528.9175,528.9174,504.3312,519.3856,6433100,519.3856
2009-06-18,519.3855,532.6999,510.6354,526.3705,30313490,526.3705
2009-06-19,526.3705,535.8519,523.2436,523.6093,17812090,523.6093
2009-06-22,523.6094,526.3958,504.3312,513.7875,8898298,513.7875
2009-06-23,513.7874,514.4178,506.2225,506.4683,10965930,506.4683
2009-06-24,510.6353,516.9395,510.6354,510.9316,4729336,510.9316
2009-06-25,510.9317,514.1027,510.6354,513.7812,1651343,513.7812
2009-06-26,513.7812,513.7875,507.4833,513.7875,675775,513.7875
2009-06-30,513.7875,523.2436,511.2658,517.6456,8720681,517.6456
2009-07-01,517.6456,529.5478,520.0916,527.8835,11843600,527.8835
2009-07-02,527.8835,535.8519,526.3958,535.8519,16895150,535.8519
2009-07-03,535.8519,542.1561,535.8519,540.3215,24556180,540.3215
2009-07-06,540.3216,535.8519,529.5478,532.6999,860425,532.6999
2009-07-07,532.7,532.6999,520.0916,522.6133,1053980,522.6133
2009-07-08,522.6132,529.5478,523.2436,523.2436,9321543,523.2436
2009-07-09,523.2436,529.5478,526.3895,527.0261,554518,527.0261
2009-07-10,527.0262,535.8519,520.0916,520.0916,1015395,520.0916
2009-07-13,520.0916,532.6999,510.6354,529.5478,4716512,529.5478
2009-07-14,529.5479,529.5478,523.2436,526.3958,236818,526.3958
2009-07-15,526.3957,528.2869,523.1806,523.231,393767,523.231
2009-07-17,523.2311,529.5478,523.2436,529.2011,152061,529.2011
2009-07-20,529.201,529.5478,520.722,520.722,1161705,520.722
2009-07-21,520.722,526.3958,520.0916,520.0916,1546229,520.0916
2009-07-22,520.0916,526.3895,516.9395,523.2436,1197991,523.2436
2009-07-23,523.2437,526.3958,516.9395,523.0167,17090870,523.0167
2009-07-24,523.0167,532.6999,523.2436,528.9867,512183,528.9867
2009-07-27,528.9867,529.5478,520.0916,523.2436,4502994,523.2436
2009-07-28,523.2437,523.2436,516.9395,516.9395,635431,516.9395
2009-07-29,516.9396,529.5478,516.9395,526.3895,3054253,526.3895
2009-07-30,526.3894,526.3958,520.722,520.7535,430968,520.7535
2009-07-31,520.7535,526.3958,520.0916,520.8355,219887,520.8355
2009-08-03,520.8355,539.004,526.3958,532.6999,1682432,532.6999
2009-08-04,532.6999,537.7432,532.6999,535.3035,4719899,535.3035
2009-08-05,535.3035,545.3082,535.8519,544.993,3806480,544.993
2009-08-06,544.9929,548.4602,542.093,548.4602,1741796,548.4602
2009-08-07,548.4603,551.6123,548.4602,549.7211,609891,549.7211
2009-08-10,549.721,545.9386,539.6344,542.0489,2781283,542.0489
2009-08-11,542.0489,545.3082,539.004,539.004,1295415,539.004
