date,open,high,low,close,volume,adj_close
2009-06-05,348.8183,380.5291,380.5291,380.5291,1577,380.5291
2009-06-10,380.5291,443.9506,412.2398,443.9506,4298,443.9506
2009-06-11,443.9506,450.2927,450.2927,450.2927,12547,450.2927
2009-06-16,450.2928,539.0829,523.2275,523.2275,1875,523.2275
2009-06-24,523.2275,523.2275,523.2275,523.2275,1520173,523.2275
2009-07-14,523.2275,507.3721,504.201,507.3721,1965,507.3721
2009-08-06,507.3721,482.0035,459.8059,482.0035,16896,482.0035
2009-08-11,482.0035,469.3192,469.3192,469.3192,12315,469.3192
2009-08-14,469.3192,469.3192,469.3192,469.3192,1173,469.3192
2009-08-20,469.3192,494.6878,494.6878,494.6878,2299,494.6878
2009-08-21,494.6878,497.8589,494.0536,494.0536,49555,494.0536
2009-08-24,494.0536,494.6878,494.6878,494.6878,48460,494.6878
2009-08-28,494.6878,494.6878,494.6878,494.6878,9934,494.6878
2009-08-31,494.6878,482.0035,482.0035,482.0035,18088,482.0035
2009-09-02,482.0035,469.3192,469.3192,469.3192,25431,469.3192
2009-09-03,469.3192,469.3192,469.3192,469.3192,10149,469.3192
2009-09-08,469.3192,469.3192,469.3192,469.3192,515,469.3192
2009-09-09,469.3192,469.3192,469.3192,469.3192,415,469.3192
2009-09-10,469.3192,469.3192,469.3192,469.3192,4730,469.3192
2009-09-15,469.3192,481.3693,481.3693,481.3693,95111,481.3693
2009-09-21,481.3693,481.3693,481.3693,481.3693,2043,481.3693
2009-10-02,481.3693,469.3192,469.3192,469.3192,4695,469.3192
2009-10-05,469.3192,456.6349,456.6349,456.6349,94605,456.6349
2009-10-07,456.6349,456.6349,456.6349,456.6349,1577,456.6349
2009-10-14,456.6349,456.6349,456.6349,456.6349,402,456.6349
2009-10-15,456.6349,456.6349,456.6349,456.6349,2043,456.6349
2009-10-19,456.6349,456.6349,456.6349,456.6349,8058,456.6349
2009-10-22,456.6349,456.6349,456.6349,456.6349,14191,456.6349
2009-11-25,456.6349,456.6349,456.6349,456.6349,702,456.6349
2009-12-21,456.6349,456.6349,456.6349,456.6349,2236,456.6349
2009-12-23,456.6349,456.6349,456.6349,456.6349,323,456.6349
2009-12-29,456.6349,447.1217,447.1217,447.1217,1892,447.1217
2009-12-30,447.1217,447.1217,447.1217,447.1217,710,447.1217
2010-02-24,412.2398,412.2398,412.2398,412.2398,9460,412.2398
2010-02-25,412.2398,412.2398,412.2398,412.2398,9593,412.2398
2010-03-02,412.2398,412.2398,412.2398,412.2398,945,412.2398
2010-03-04,412.2399,412.2462,412.2462,412.2462,3309,412.2462
2010-03-05,412.2462,412.2398,412.2398,412.2398,2068,412.2398
2010-03-15,412.2398,418.582,418.582,418.582,1809,418.582
2010-03-25,418.582,418.582,418.582,418.582,546,418.582
2010-03-26,418.582,418.582,418.582,418.582,27729750,418.582
2010-04-13,418.582,418.582,418.582,418.582,209,418.582
2010-04-15,440.7795,443.9506,440.7795,443.9506,29518,443.9506
2010-04-20,443.9506,507.3721,507.3721,507.3721,19983,507.3721
2010-04-21,507.3721,507.3721,507.3721,507.3721,1577,507.3721
2010-04-22,507.3721,506.7379,506.7379,506.7379,4139,506.7379
2010-04-23,506.7379,501.03,501.03,501.03,1972,501.03
2010-04-26,501.0299,494.6878,494.6878,494.6878,4130,494.6878
2010-05-20,494.6878,494.6878,494.6878,494.6878,988,494.6878
2010-05-26,494.6877,424.9241,424.9241,424.9241,2665,424.9241
2010-05-27,424.9241,443.9506,443.9506,443.9506,6561,443.9506
2010-05-31,443.9506,472.4903,472.4903,468.2664,5292,468.2664
2010-06-01,468.2664,468.2664,468.2664,468.2664,611,468.2664
2010-06-04,468.2664,468.2664,468.2664,468.2664,914,468.2664
2010-06-07,468.2664,468.2664,468.2664,468.2664,693,468.2664
2010-06-10,468.2664,450.2927,450.2927,450.2927,1241,450.2927
2010-06-11,450.2928,456.6349,456.6349,456.6349,2701,456.6349
2010-06-14,456.6349,456.6349,456.6349,456.6349,1456,456.6349
2010-06-18,456.6349,456.6349,456.6349,456.6349,190,456.6349
2010-06-22,456.6349,482.0035,482.0035,482.0035,2623,482.0035
2010-06-23,488.3457,488.3456,485.1746,485.1746,8668,485.1746
2010-06-24,485.1746,485.1746,485.1746,485.1746,157,485.1746
2010-07-09,485.1746,485.1746,485.1746,485.1746,619,485.1746
2010-07-21,485.1746,485.1746,485.1746,485.1746,818,485.1746
2010-08-06,485.1746,485.1746,485.1746,485.1746,371,485.1746
2010-08-09,485.1746,419.8504,419.8504,419.8504,3153,419.8504
2010-08-10,419.8503,421.753,421.753,421.753,4201,421.753
2010-08-17,421.753,421.753,421.753,421.753,644,421.753
2010-08-18,421.7531,456.6349,456.6349,456.6349,12167,456.6349
2010-08-26,456.6349,456.6349,456.6349,456.6349,572,456.6349
2010-08-31,456.6349,456.6349,456.6349,456.6349,198,456.6349
2010-09-03,456.6349,456.6349,456.6349,456.6349,4096,456.6349
2010-09-06,456.6349,456.6349,456.6349,456.6349,711,456.6349
2010-09-07,456.6349,456.6349,456.6349,456.6349,853,456.6349
2010-09-09,456.6349,456.6349,456.6349,456.6349,661,456.6349
2010-09-10,456.6349,475.6613,475.6613,475.6613,17893,475.6613
