date,open,high,low,close,volume,adj_close
2010-12-01,82,86,80.5,81.43,1492494000,81.43
2010-12-02,82,83.38,81,82.02,76814720,82.02
2010-12-03,82.02,82.1,81,81.9,11369850,81.9
2010-12-06,82,82,81.3,81.4,14170710,81.4
2010-12-07,81.4,81.4,75,79.01,18466510,79.01
2010-12-09,79,79,76.1,77.67,13416770,77.67
2010-12-10,77.5,77.5,75.01,76.3,23472390,76.3
2010-12-13,76.3,77,76,76.5,7833176,76.5
2010-12-14,76.5,79.95,76.49,79.5,6741758,79.5
2010-12-15,79.99,80.5,77.79,79.56,7891412,79.56
2010-12-16,79.56,79.01,77.99,78,6690326,78
2010-12-17,78,78.5,77,77.01,6446739,77.01
2010-12-20,77.01,77.8,76.5,76.55,4538197,76.55
2010-12-21,76.55,76.51,75.5,76,4414137,76
2010-12-22,76,76.2,76,76.01,5990424,76.01
2010-12-23,76.01,83,74.31,75,11497340,75
2010-12-24,75,76,74.5,75.92,2270426,75.92
2010-12-27,75.92,76,74.5,74.99,1145066,74.99
2010-12-28,74.99,75,73.98,74.95,15212430,74.95
2010-12-29,74.95,76.5,74.94,76,9909737,76
2010-12-30,76,77,75,75,1993926,75
2011-01-03,75,76,72.1,76,2969199,76
2011-01-04,76,76.5,75,76,11743030,76
2011-01-05,76,77,76,76,4255696,76
2011-01-06,76,75.98,75,75.09,5425089,75.09
2011-01-07,75.09,77,75,75.25,2098593,75.25
2011-01-10,75.25,75.25,74.8,75,2546280,75
2011-01-11,75,75.5,74.95,75,3414280,75
2011-01-12,75,77,75,77,22694240,77
2011-01-13,77,81,77,80.01,7578438,80.01
2011-01-14,80.01,81.1,79,79.6,23153650,79.6
2011-01-17,79.6,80.9,79.49,80.9,7946271,80.9
2011-01-18,80.9,82,80,80.49,11491580,80.49
2011-01-19,80.49,80.51,78.5,80.12,5386817,80.12
2011-01-20,80.12,79.9,78.5,79,14493350,79
2011-01-21,79,79.8,78.5,79,2807477,79
2011-01-24,79,79,79,79,103131,79
2011-01-25,79,78.5,78,78,2070076,78
2011-01-26,78,78,77.99,78,169271,78
2011-01-27,78,78,78,78,1866,78
2011-01-28,78,75.5,74.99,75.5,2975448,75.5
2011-01-31,75.5,75.61,75,75.6,896402,75.6
2011-02-01,75.6,76,74.99,75,2675951,75
2011-02-02,75,75.2,74,74.08,928328,74.08
2011-02-03,74.08,74,73,74,902365,74
2011-02-04,74,74.01,72.01,73,1461589,73
2011-02-07,73,73,73,73,18191,73
2011-02-08,73,73.5,73,73.5,706683,73.5
2011-02-09,73.5,73.77,72,72,1393502,72
2011-02-10,72,74.5,70.99,74.5,2221115,74.5
2011-02-11,74.5,78,71.5,74,7637706,74
2011-02-14,74,77,73,74,1651858,74
2011-02-15,74,77,73.7,73.7,3910170,73.7
2011-02-16,73.7,75.5,73.5,75.5,912268,75.5
2011-02-17,75.5,74.99,74,74,5224634,74
2011-02-18,74,74,73.5,73.5,1937311,73.5
2011-02-21,73.5,73,73,73,1949118,73
2011-02-22,73,73,70.5,71.31,3491090,71.31
2011-02-23,71.31,71,67,68.99,3880336,68.99
2011-02-24,68.99,68.99,68,68,1890105,68
2011-02-25,68,69.8,68,69,2827326,69
2011-02-28,68,68.5,66,68.48,2371184,68.48
2011-03-01,68.48,70,66.01,67,6265686,67
2011-03-02,67,68.6,66.99,68.6,23775040,68.6
2011-03-03,68.6,72,68.75,71,23696870,71
2011-03-04,71,74,71,71,1956173,71
2011-03-07,71,72.5,68.51,72.44,1896757,72.44
2011-03-08,72.44,72,71,71,9405853,71
2011-03-09,71,71.5,70.01,71,1227128,71
2011-03-10,71,70.9,70,70,2887472,70
2011-03-11,70,70,67,69.36,2844639,69.36
2011-03-14,69.36,68,67,67.5,1818205,67.5
2011-03-15,67.5,67.5,65.5,67.5,2121014,67.5
2011-03-16,67.5,68.5,68,68.25,5237190,68.25
2011-03-17,68.25,70,68.25,69.95,2078138,69.95
2011-03-18,69.95,70.5,69.5,70.23,9233664,70.23
2011-03-21,70.23,70.5,68,68,1664372,68
2011-03-22,68,68.01,67,67.46,9290384,67.46
2011-03-23,67.46,69,67.45,69,6483721,69
2011-03-24,69,70,69.3,70,3526693,70
2011-03-25,70,70,69,69,662356,69
2011-03-28,69,73,69,73,799761,73
2011-03-29,73,75,73,73.1,4974666,73.1
2011-03-30,73.1,73.1,72.5,73,1479743,73
2011-03-31,73,73.1,73,73,3816072,73
2011-04-01,73,75,73,74,1917340,74
2011-04-04,74,75.5,73.9,74.5,11599690,74.5
2011-04-05,74.5,78,75,76.82,4586259,76.82
2011-04-06,76.6,78.5,76.6,78,3590571,78
2011-04-07,78,78.7,75,77.02,3065082,77.02
2011-04-08,77.02,77.5,76.9,77,2446419,77
2011-04-11,77,77,77,77,540998,77
2011-04-12,77,78,77,78,8443251,78
2011-04-13,78,79.5,78.01,78.05,2399919,78.05
2011-04-14,78.05,79,78,79,6502866,79
2011-04-15,79,80,78.99,80,3404666,80
2011-04-18,80,81,78.99,81,2776871,81
2011-04-19,81,80.89,80,80.89,5486217,80.89
2011-04-20,80.89,80.9,79.5,80.2,5529526,80.2
2011-04-21,80.2,80.5,79.5,80.5,1068116,80.5
2011-04-25,80.5,80,79,80,2007464,80
2011-04-26,80,81.01,80.5,81,15973160,81
2011-04-27,81,83,80.1,81.78,5625034,81.78
2011-04-28,81.78,82,80.5,81,3351331,81
2011-04-29,81,83,81,82,3637474,82
2011-05-02,82,82,82,82,1241063,82
2011-05-03,82,82,81,81,2762625,81
2011-05-04,81,81,80.5,80.5,4321420,80.5
2011-05-05,80.5,81,80,81,1689235,81
2011-05-06,81,81.5,80.88,81.5,1891012,81.5
2011-05-09,81.5,80.61,80.5,80.61,1054324,80.61
2011-05-10,80.61,81.5,80,80,881553,80
2011-05-11,80,80,80,80,1187998,80
2011-05-12,80,80,78.6,80,5332039,80
2011-05-13,80,81,80,80.87,4110055,80.87
2011-05-16,80.87,81,80,80.5,6739841,80.5
2011-05-17,80.5,80.49,79,80,4188020,80
2011-05-18,80,80.5,79.5,80,431381,80
2011-05-19,80,82,80,80,16484280,80
2011-05-20,80,80,79,79.01,1690093,79.01
2011-05-23,79.01,79.5,78.51,78.51,2641744,78.51
2011-05-24,78.51,79,78.5,79,635729,79
2011-05-25,79,79,77.5,77.5,1205009,77.5
2011-05-26,77.5,78,77.5,77.9,158719,77.9
2011-05-30,77.9,77,77,77,30540,77
2011-05-31,77,79,77,78.95,8500656,78.95
2011-06-01,78.95,78,77,78,1176870,78
2011-06-02,78,77.99,75,77.15,219554,77.15
2011-06-03,77.15,77.89,76,76,858272,76
2011-06-06,76,76,75,76,65754,76
2011-06-07,76,77.8,76,76.5,4997937,76.5
2011-06-08,76.5,75,74,74,960314,74
2011-06-09,74,75,70,72.35,7328603,72.35
2011-06-10,72.35,72.35,67.01,72.33,11109060,72.33
2011-06-13,72.33,72.34,68.1,69.74,11858810,69.74
2011-06-14,69.74,70,68,68,958539,68
2011-06-15,68,68,63.06,67,609857,67
2011-06-16,70,70,68.9,68.9,109173,68.9
2011-06-17,68.9,68.8,65,65,53354870,65
2011-06-20,65,69.99,64.4,65.18,1001916,65.18
2011-06-21,65.18,68,67,68,1691305,68
2011-06-22,68,72,68,69.21,1262874,69.21
2011-06-23,69.21,68,67,67.99,2546100,67.99
2011-06-24,67,67.88,66.01,66.5,1061026,66.5
2011-06-28,66.5,66.6,66,66,777095,66
