date,open,high,low,close,volume,adj_close
2009-06-03,35.27,34.97,33.5,34.49,1401001,34.49
2009-06-04,34.49,35,34.5,34.5,918180,34.5
2009-06-05,34.5,34.5,34,34,251436,34
2009-06-08,34,34,34,34,150805,34
2009-06-09,34,34,34,34,327557,34
2009-06-10,34,34,32.5,32.5,1306179,32.5
2009-06-11,32.5,32.5,32.3,32.3,371611,32.3
2009-06-12,32.3,31.6,30.9,31.6,849145,31.6
2009-06-15,31.6,31.6,30,30.75,379350,30.75
2009-06-16,30.75,30,30,30,144993,30
2009-06-17,30,30,29,30,224216,30
2009-06-18,30,31,30,31,101571,31
2009-06-19,31,34,32,34,320000,34
2009-06-22,34,32.5,32.5,32.5,56176,32.5
2009-06-23,32.5,33,31,32.4,223237,32.4
2009-06-24,32.4,33,32.4,32.4,229588,32.4
2009-06-25,32.4,33,33,33,50000,33
2009-07-01,33,33,33,33,82904,33
2009-07-02,33,32.9,32.9,32.9,80000,32.9
2009-07-06,32.9,32.75,32.75,32.75,14985,32.75
2009-07-07,32.75,32.75,32.75,32.75,15000,32.75
2009-07-08,32.75,31.9,29,31.9,276551,31.9
2009-07-13,31.9,31.9,31.9,31.9,8520,31.9
2009-07-14,31.9,31,30.5,31,256507,31
2009-07-15,31,31,30.4,30.4,1486687,30.4
2009-07-17,30.4,30.2,30,30,181589,30
2009-07-20,30,31,30,30.53,4260343,30.53
2009-07-21,30.53,32.9,32.5,32.65,1284766,32.65
2009-07-22,32.65,32.5,32.48,32.5,752980,32.5
2009-07-23,32.5,34,33,34.03,5208622,34.03
2009-07-24,34.03,35,34.5,34.5,2133605,34.5
2009-07-28,34.5,35.51,34.5,35.5,1362702,35.5
2009-07-29,35.5,36.55,35.5,36.5,4697333,36.5
2009-07-30,36.5,36.5,35,34.89,1715088,34.89
2009-07-31,34.89,36,35,35,70577,35
2009-08-03,35,36,35,35.31,750274,35.31
2009-08-04,35.31,35.51,34.2,35.2,762199,35.2
