date,open,high,low,close,volume,adj_close
2009-06-03,13000,13090,12751,13049,343371,13049
2009-06-04,13060,13100,12900,12986,166189,12986
2009-06-05,13123,13599,13123,13496,1018056,13496
2009-06-08,13489,13901,13200,13881,217387,13881
2009-06-09,14002,14200,13990,14185,500558,14185
2009-06-10,14415,14600,14350,14399,607958,14399
2009-06-11,14500,14940,14490,14803,706491,14803
2009-06-12,14920,15210,14849,14990,473430,14990
2009-06-15,14850,14850,14100,14517,533622,14517
2009-06-16,14500,14550,13849,13875,732956,13875
2009-06-17,13779,13779,13100,13138,837064,13138
2009-06-18,13001,13800,12801,13468,387315,13468
2009-06-19,13701,14200,13500,13628,411554,13628
2009-06-22,13499,13499,12751,12885,289904,12885
2009-06-23,12941,13150,12499,12506,308164,12506
2009-06-24,12610,12995,12540,12559,216747,12559
2009-06-25,12570,12950,12450,12887,224472,12887
2009-06-26,12887,13349,12800,13283,236062,13283
2009-06-30,13302,13700,13145,13184,186873,13184
2009-07-01,13184,13375,13050,13056,124375,13056
2009-07-02,12979,12979,12798,12921,174806,12921
2009-07-03,12850,13150,12848,12869,98753,12869
2009-07-06,12850,12850,12600,12798,735626,12798
2009-07-07,12800,12810,12470,12502,1077226,12502
2009-07-08,12525,12600,12200,12262,181314,12262
2009-07-09,12262,12500,12300,12372,153773,12372
2009-07-10,12400,12490,12250,12302,77752,12302
2009-07-13,12350,12500,12255,12462,117181,12462
2009-07-14,12462,12600,12450,12472,538866,12472
2009-07-15,12472,12799,12550,12751,2463458,12751
2009-07-17,12751,12960,12750,12891,354004,12891
2009-07-20,12960,13100,12799,12927,231095,12927
2009-07-21,12930,12930,12600,12748,782214,12748
2009-07-22,12750,12750,12598,12691,145144,12691
2009-07-23,12691,12890,12650,12826,428642,12826
2009-07-24,12800,12915,12700,12870,113813,12870
2009-07-27,12870,12900,12550,12552,108099,12552
2009-07-28,12560,12560,12310,12395,183886,12395
2009-07-29,12395,12399,12250,12339,142417,12339
2009-07-30,12345,12700,12345,12558,245527,12558
2009-07-31,12558,12700,12560,12583,116210,12583
2009-08-03,12600,12951,12600,12920,308870,12920
2009-08-04,12984,13550,12899,13523,853195,13523
2009-08-05,13550,13900,13400,13856,845415,13856
2009-08-06,13950,14100,13741,13756,706182,13756
2009-08-07,13900,13970,13500,13544,664080,13544
2009-08-10,13590,13700,13430,13479,330113,13479
2009-08-11,13479,13600,13250,13450,594797,13450
2009-08-12,13350,13751,13300,13606,812066,13606
2009-08-13,13653,13847,13651,13813,369966,13813
2009-08-14,13850,13850,13600,13710,219042,13710
2009-08-17,13448,13610,13310,13535,204386,13535
2009-08-18,13535,13650,13550,13619,212691,13619
2009-08-19,13600,13621,13500,13500,137966,13500
2009-08-20,13500,13670,13500,13650,160548,13650
2009-08-21,13680,13810,13650,13800,257533,13800
2009-08-24,13816,13900,13600,13641,227969,13641
2009-08-25,13700,13850,13700,13794,279253,13794
2009-08-26,13794,13900,13700,13799,162097,13799
2009-08-27,13799,13801,13610,13612,210452,13612
2009-08-28,13615,13700,13500,13527,153948,13527
2009-08-31,13527,13550,13210,13269,178154,13269
2009-09-01,13350,13500,12802,12981,429483,12981
2009-09-02,12990,13200,12900,13173,327987,13173
2009-09-03,13185,13349,13130,13321,198051,13321
2009-09-04,13350,13400,13335,13364,154236,13364
2009-09-07,13450,13450,13250,13262,46475,13262
2009-09-08,13291,13551,13291,13510,192753,13510
2009-09-09,13600,13701,13390,13587,307791,13587
2009-09-10,13587,13820,13563,13797,257128,13797
2009-09-11,13800,13955,13798,13891,311781,13891
2009-09-14,13891,13880,13749,13823,132748,13823
2009-09-15,13850,13900,13750,13767,102509,13767
2009-09-16,13805,13936,13805,13920,252581,13920
2009-09-17,13920,14100,13849,14005,300720,14005
2009-09-21,14005,14044,13800,13950,256356,13950
2009-09-22,13943,14000,13897,13974,310146,13974
2009-09-23,13974,14300,14000,14147,509848,14147
2009-09-24,14147,14200,13901,14173,174977,14173
2009-09-25,14000,14161,13985,14098,116008,14098
2009-09-28,14098,14240,14000,14090,238301,14090
2009-09-29,14090,14200,14000,14144,310802,14144
2009-09-30,14148,14180,14002,14152,224488,14152
2009-10-01,14152,14170,14050,14137,144470,14137
2009-10-02,14099,14356,13978,14259,279727,14259
2009-10-05,14259,14515,14249,14502,263906,14502
2009-10-06,14600,14800,14499,14579,290512,14579
2009-10-07,14580,14650,14500,14650,165537,14650
2009-10-08,14905,14905,14520,14589,354525,14589
2009-10-09,14589,14900,14560,14856,176549,14856
2009-10-13,14856,14944,14652,14911,268845,14911
2009-10-14,14944,15100,14851,14891,398989,14891
2009-10-15,14891,14992,14750,14832,206670,14832
2009-10-16,14832,14890,14751,14840,157852,14840
2009-10-19,14840,15001,14800,14804,184128,14804
2009-10-20,14815,14900,14600,14627,125520,14627
2009-10-21,14627,14750,14520,14660,241352,14660
2009-10-22,14650,14800,14650,14700,563943,14700
2009-10-23,14700,14810,14700,14769,1587332,14769
2009-10-26,14769,14750,14300,14359,127694,14359
2009-10-27,14359,14400,14050,14149,90565,14149
2009-10-28,14130,14130,13700,13701,140296,13701
2009-10-29,13690,14400,13650,14374,98094,14374
2009-10-30,14370,14380,13799,13823,92113,13823
2009-11-02,13801,13990,13200,13410,93438,13410
2009-11-03,13400,13415,13100,13353,213150,13353
2009-11-04,13353,13560,13410,13480,147810,13480
2009-11-05,13480,13651,13501,13590,102763,13590
2009-11-06,13590,13800,13498,13600,108549,13600
2009-11-09,13600,14100,13590,14047,137235,14047
2009-11-10,14047,14201,14000,14093,216481,14093
2009-11-11,14093,14220,13960,13981,90295,13981
2009-11-12,13981,14000,13950,13952,56282,13952
2009-11-13,13952,14090,13800,13821,35963,13821
2009-11-16,13821,14000,13821,13850,117486,13850
2009-11-17,13850,13980,13770,13800,109596,13800
2009-11-18,13800,13800,13310,13374,178927,13374
2009-11-19,13374,13480,13250,13480,56607,13480
2009-11-20,14000,13850,13450,13845,99669,13845
2009-11-23,13845,13950,13360,13397,124911,13397
2009-11-24,13397,13500,13349,13415,296142,13415
2009-11-25,13415,13600,13350,13586,96105,13586
2009-11-26,13586,13586,13000,13024,90006,13024
2009-11-27,12945,13410,12944,13354,138678,13354
2009-11-30,13354,13700,13400,13656,66613,13656
2009-12-01,13656,14100,13700,14083,168673,14083
2009-12-02,14083,14280,14000,14046,224911,14046
2009-12-03,14046,14250,13900,14083,129774,14083
2009-12-04,14083,14199,13995,14150,122058,14150
2009-12-07,14150,14200,14000,14000,53598,14000
2009-12-09,14000,14100,13988,14000,202230,14000
2009-12-10,14000,14100,13860,13990,69177,13990
2009-12-11,13990,14225,13900,14168,189361,14168
2009-12-14,14150,14250,14001,14247,76568,14247
2009-12-15,14247,14530,14100,14529,344953,14529
2009-12-16,14529,14990,14528,14677,172006,14677
2009-12-17,14600,14710,14355,14697,164408,14697
2009-12-18,14700,14825,14600,14800,137433,14800
2009-12-21,14800,14900,14675,14829,136299,14829
2009-12-22,14850,14870,14600,14632,67085,14632
2009-12-23,14632,14770,14650,14761,236892,14761
2009-12-24,14761,14889,14700,14881,70848,14881
2009-12-28,14800,14900,14800,14900,130538,14900
2009-12-29,14900,14990,14750,14959,1066175,14959
2009-12-30,14900,14955,14800,14949,394549,14949
2010-01-04,14950,14950,14600,14899,1039662,14899
2010-01-05,14850,15000,14700,14829,386968,14829
2010-01-06,14829,14960,14800,14959,108984,14959
2010-01-07,14950,15320,14805,15300,273288,15300
2010-01-08,15300,15999,15300,15976,292376,15976
2010-01-11,16000,16600,15975.5,16153,325447,16153
2010-01-12,16153,16500,15900,16341,346637,16341
2010-01-13,16400,16660,16400,16605,404613,16605
2010-01-14,16605,17100,16649,17010,479602,17010
2010-01-15,17000,17000,16700,16928,231134,16928
2010-01-18,16901,17350,16910,17342,731090,17342
2010-01-19,17348,17355,17050,17219,1603991,17219
2010-01-20,17200,17200,16700,16753,216691,16753
2010-01-21,16740,16810,16350,16412,337823,16412
2010-01-22,16400,16415,16000,16116,181483,16116
2010-01-25,16150,16650,16115,16600,163119,16600
2010-01-26,16600,16800,16400,16768,112841,16768
2010-01-27,16768,16805,16400,16588,60876,16588
2010-01-28,16588,16770,16400,16706,62307,16706
2010-01-29,16706,16950,16699,16848,176613,16848
