date,open,high,low,close,volume,adj_close
2011-11-07,1350,1350,1350,1350,1750,1350
2011-11-28,1350,1010,1000,1000,54794,1000
2011-12-06,1000,1003.6,1003.6,1003.6,52176,1003.6
2011-12-12,1003.6,1100,1090,1100,31374,1100
2012-01-04,1100,1100,1100,1100,14660,1100
2012-01-17,1100,1200,1100,1100,57676,1100
2012-01-18,1100,1150,1150,1150,23765,1150
2012-01-19,1150,1150,1150,1150,47158,1150
2012-01-24,1150,1100,1100,1100,23975,1100
2012-01-25,1100,1200,1200,1200,413,1200
2012-01-26,1200,1200,1200,1200,7715,1200
2012-01-30,1200,1200,1200,1200,82,1200
2012-02-28,1200,1200,1200,1200,378,1200
2012-02-29,1200,1200,1200,1200,20,1200
2012-03-01,1200,1200,1200,1200,150,1200
2012-03-27,1200,1200,1200,1200,205,1200
2012-03-28,1200,1200,1200,1200,218,1200
2012-04-24,1200,1200,1200,1200,78,1200
2012-05-14,1200,1200,1200,1200,25,1200
2012-05-17,1200,1150,899,1150,7763,1150
2012-05-29,1150,1150,1150,1150,268,1150
2012-06-04,1150,1150,1150,1150,39,1150
2012-06-25,1150,1150,1140,1150,11164,1150
2012-07-03,1150,1150,1150,1150,3250,1150
2012-07-11,1150,1150,1150,1150,618,1150
2012-07-23,1150,1150,1150,1150,600,1150
2012-08-29,1150,1150,1150,1150,360,1150
2012-08-31,1150,1300,1300,1300,6257,1300
2012-09-11,1300,1300,1300,1300,4,1300
2012-09-12,1300,1300,1300,1300,25,1300
2012-09-26,1300,1300,1300,1300,11,1300
2012-10-11,1300,1300,1300,1300,239,1300
2012-11-12,1300,1300,1300,1300,6300,1300
2012-11-20,1300,1300,1300,1300,3690,1300
2012-12-19,1300,1300,1300,1300,42993,1300
2013-01-08,1300,1300,1300,1300,1000,1300
2013-01-14,1300,1300,1300,1300,90,1300
2013-01-22,1300,1300,1300,1300,82,1300
2013-01-23,1300,1300,1300,1300,207,1300
2013-01-24,1300,1300,1300,1300,293,1300
2013-02-04,1300,1300,1300,1300,2360,1300
2013-02-08,1300,1300,1300,1300,250,1300
