date,open,high,low,close,volume,adj_close
2010-09-21,500,500,500,500,2,500
2011-08-31,500,500,500,500,36920,500
2013-01-03,500,500,500,500,1849,500
2014-08-08,500,700,700,700,1452,700
2015-06-10,700,800,800,800,1849,800
2016-11-14,800,1000,1000,1000,20440,1000
2016-11-29,1000,960,960,960,12924,960
2018-12-17,960,960.5,960.5,960.5,1078,960.5
2018-12-26,960.5,1050.5,1050.5,1050.5,1270,1050.5
2019-10-22,1050.5,1050.5,1050.5,1050.5,0,1050.5
2019-11-19,1050.5,1050.5,1050.5,1050.5,0,1050.5
2019-11-20,1050.5,1050.5,1050.5,1050.5,0,1050.5
2019-11-21,1050.5,1050.5,1050.5,1050.5,0,1050.5
2019-11-23,1050.5,1050.5,1050.5,1050.5,0,1050.5
