date,open,high,low,close,volume,adj_close
2012-05-24,89.92,89.92,89.92,89.92,100,89.92
2012-06-07,89.92,88.4,88.4,88.4,100,88.4
2012-06-20,88.4,86.65,86.65,86.65,107,86.65
2012-07-20,86.65,81.6,81.6,81.6,304,81.6
2012-07-26,81.6,82.83,82.83,82.83,620,82.83
2012-07-27,82.83,85.72,85.72,85.72,58,85.72
2012-07-30,85.72,86.37,86.37,86.37,59,86.37
2012-08-01,86.37,83.85,83.85,83.85,340,83.85
2012-08-03,83.85,85.33,85.33,85.33,185,85.33
2012-08-07,85.33,88,88,88,107,88
2012-08-08,88,86.95,86.95,86.95,570,86.95
2012-08-14,86.95,88.46,88.46,88.46,56,88.46
2012-08-20,88.46,90.05,90.05,90.05,68,90.05
2012-08-28,90.05,86.4,86.4,86.4,541,86.4
2012-08-30,86.4,84.92,84.92,84.92,318,84.92
2012-09-10,84.92,88.22,88.22,88.22,246,88.22
2012-09-11,88.22,88.68,88.68,88.68,100,88.68
2012-10-02,88.68,84.72,84.56,84.7,185,84.7
2012-10-03,84.7,85.15,85.15,85.15,70,85.15
2012-10-05,85.15,85.64,85.64,85.64,68,85.64
2012-10-09,85.64,85.14,85.14,85.14,225,85.14
2012-10-10,85.14,83.34,83.32,83.32,164,83.32
2012-10-12,83.32,83.85,83.85,83.85,60,83.85
2012-10-16,83.85,84.5,84.5,84.5,50,84.5
2012-10-18,84.5,87.23,86.24,87.23,903,87.23
2012-10-19,87.23,85.31,85.31,85.31,60,85.31
2012-10-22,85.31,84.97,83.82,83.82,827,83.82
2012-10-23,83.82,83.3,83.3,83.3,56,83.3
2012-10-24,83.3,83,83,83,72,83
2012-11-05,83,86.15,86.15,86.15,70,86.15
2012-11-08,86.15,84.18,84.18,84.18,31,84.18
2012-11-29,84.18,86.2,86.2,86.2,50,86.2
2012-12-05,86.2,86,86,86,72,86
2012-12-06,86,85.85,85.85,85.85,60,85.85
2012-12-11,85.85,87.7,87.7,87.7,57,87.7
2012-12-12,87.7,88.51,88.51,88.51,64,88.51
2012-12-14,88.51,89.3,89.3,89.3,70,89.3
2012-12-18,89.3,90.95,90.95,90.95,23,90.95
2012-12-19,90.95,91.56,91.17,91.49,126,91.49
2013-01-02,91.49,94,92.35,93.31,433,93.31
2013-01-03,93.31,94.96,94.37,94.96,42,94.96
2013-01-07,94.96,95.31,95.31,95.31,21,95.31
2013-01-08,95.31,93.84,93.84,93.84,21,93.84
2013-01-09,93.84,94.5,94.48,94.49,63,94.49
2013-01-15,94.49,95.19,95.19,95.19,174,95.19
2013-01-16,95.19,95.28,95.28,95.28,31,95.28
2013-01-22,95.28,96.78,96.78,96.78,463,96.78
2013-01-25,96.78,95.5,95.5,95.5,104,95.5
2013-01-29,95.5,98.23,98.23,98.23,104,98.23
2013-02-20,98.23,94.42,94.42,94.42,246,94.42
2013-02-28,94.42,92.5,92.5,92.5,162,92.5
2013-03-14,92.5,88.3,88.3,88.3,113,88.3
2013-03-15,88.3,88.3,88.3,88.3,541,88.3
2013-03-22,88.3,87.18,87.18,87.18,57,87.18
2013-04-01,87.18,85.63,85.63,85.63,29,85.63
2013-04-18,85.63,80.22,80.22,80.22,64,80.22
2013-04-22,80.22,81.32,81.32,81.32,113,81.32
2013-04-29,81.32,85.33,85.33,85.33,35,85.33
2013-05-03,85.33,87.16,86.58,87.16,86,87.16
2013-05-07,87.16,89.24,88.87,89.24,503,89.24
2013-05-09,89.24,90.47,90.47,90.47,55,90.47
2013-05-10,90.47,88.24,88.24,88.24,89,88.24
2013-05-13,88.24,88,88,88,112,88
2013-05-14,88,87.06,87.06,87.06,46,87.06
2013-05-17,87.06,87.65,87.65,87.65,112,87.65
2013-05-23,87.65,86.06,86.06,86.06,68,86.06
2013-06-05,86.06,84.5,84.5,84.5,160,84.5
2013-06-17,84.5,84.06,84.06,84.06,68,84.06
2013-06-24,84.06,81.3,81.3,81.3,160,81.3
2013-07-10,81.3,85.15,85.15,85.15,46,85.15
2013-07-11,85.15,86.38,86.38,86.38,57,86.38
