date,open,high,low,close,volume,adj_close
2021-06-08,57255,57255,56101,57255,144,57255
2021-06-09,57255,56950,56950,57255,25,57255
2021-07-02,57255,51941,51941,57255,56,57255
2021-07-13,57255,50693,50693,57255,5,57255
2021-07-19,57255,49830,49830,57255,4,57255
2021-07-26,57255,51530,51530,57255,10,57255
2021-08-11,57255,57100,56830,57255,13,57255
2021-08-19,57255,56038,56038,57255,2,57255
2021-09-15,57255,54680,54680,57255,2,57255
2021-10-26,57255,57430,57430,57255,1,57255
2021-11-12,57255,55331,55331,55331,159,55331
