date,open,high,low,close,volume,adj_close
2009-06-03,3725.5,3740,3680,3717.7,144848,3717.7
2009-06-04,3717.7,3742,3708,3731.1,93180,3731.1
2009-06-05,3731.1,3765,3740,3750.3,464255,3750.3
2009-06-08,3750.3,3760,3700,3700,446886,3700
2009-06-09,3700,3760,3700,3739.8,232609,3739.8
2009-06-10,3739.8,3790,3719.9,3770,158631,3770
2009-06-11,3770,3900,3770,3849.2,145654,3849.2
2009-06-12,3849.2,4000,3780,3989.8,239024,3989.8
2009-06-15,3989.8,3980,3869.9,3919.6,245186,3919.6
2009-06-16,3919.6,3920,3730,3759.8,235341,3759.8
2009-06-17,3759.8,3800,3605.1,3655,303710,3655
2009-06-18,3655,3800,3655,3789.9,118331,3789.9
2009-06-19,3789.9,3850,3684,3754.4,265098,3754.4
2009-06-22,3754.4,3770,3601,3654.8,145197,3654.8
2009-06-23,3654.8,3720,3601,3679.1,394183,3679.1
2009-06-24,3679.1,3720,3680,3685,304643,3685
2009-06-25,3685,3725,3665,3719.3,367678,3719.3
2009-06-26,3719.3,3790,3710,3750.9,268437,3750.9
2009-06-30,3750.9,3800,3700,3758.7,209346,3758.7
2009-07-01,3758.7,3800,3750,3750.3,77235,3750.3
2009-07-02,3750.3,3825,3725,3800,39765,3800
2009-07-03,3800,3800,3700,3800,37126,3800
2009-07-06,3800,3900,3750,3850,162831,3850
2009-07-07,3850,3850,3805,3805,30975,3805
2009-07-08,3805,3821,3750,3764.5,393986,3764.5
2009-07-09,3764.5,3800,3735,3736.8,492041,3736.8
2009-07-10,3736.8,3752,3720,3750,395447,3750
2009-07-13,3750,3780,3730.1,3750,320624,3750
2009-07-14,3750,3770,3749,3759.6,268378,3759.6
2009-07-15,3759.6,3900,3779,3890.9,525989,3890.9
2009-07-17,3890.9,3850,3825,3850,100846,3850
2009-07-20,3850,3860,3835,3835,206157,3835
2009-07-21,3835,3893.9,3800,3817.3,506241,3817.3
2009-07-22,3817.3,3860,3820,3830,29892,3830
2009-07-23,3830,3830,3800,3801.3,321574,3801.3
2009-07-24,3801.3,3815,3750.1,3773.3,159525,3773.3
2009-07-27,3773.3,3780,3665,3700,113717,3700
