date,open,high,low,close,volume,adj_close
2016-06-03,40,40,40,40,98002,40
2016-06-08,40,40,40,40,2004,40
2016-07-28,40,40,40,40,2360,40
2016-08-01,40,40,40,40,17587,40
2016-08-02,40,40,40,40,416,40
2016-11-07,40,40,40,40,1233,40
2016-11-15,40,40,40,40,2038,40
2017-01-18,40,40,40,40,1397,40
2017-02-16,40,39,39,39,26674,39
2017-03-16,39,39,39,39,37,39
2017-04-20,39,39,39,39,18,39
2017-05-22,39,39,39,39,1233,39
2017-06-02,39,39,39,39,428,39
2017-06-08,39,39,39,39,103795,39
2017-06-12,39,39,39,39,171,39
2017-07-21,39,39,39,39,2055,39
2017-07-25,39,39,39,39,610,39
2017-07-26,39,39,39,39,14266,39
2017-08-16,39,39,39,39,684,39
2017-08-18,39,39,39,39,4054,39
2017-09-14,39,39,39,39,17731,39
2017-09-27,39,39,39,39,2660,39
2017-09-29,39,39,39,39,3274,39
2017-10-10,39,39,39,39,7266,39
2017-10-13,39,39,39,39,109,39
2017-10-25,39,39,39,39,297,39
2017-12-05,39,39,39,39,18,39
2017-12-21,39,39,39,39,23,39
2018-01-15,39,39,39,39,107,39
2018-02-08,39,39,39,39,243,39
2018-03-13,39,39,39,39,419,39
2018-03-19,39,39,39,39,1682,39
2018-04-11,39,39,39,39,427,39
2018-05-22,39,39.01,39.01,39.01,21030,39.01
2018-06-12,39.01,39.01,39.01,39.01,585,39.01
2018-06-13,39.01,39.01,39.01,39.01,1003,39.01
2018-07-12,39.01,40,40,40,14525,40
2018-08-23,40,40,40,40,988,40
2018-09-04,40,39.11,39.11,39.11,41164,39.11
2018-10-17,39.11,39.11,39.11,39.11,2850,39.11
2019-02-14,39.11,39.11,39.11,39.11,24310,39.11
2019-03-06,39.11,100,100,100,45022,100
2019-03-07,100,100,100,100,2360,100
2019-03-08,100,100,100,100,2554,100
2019-04-03,100,25,25,25,35,25
2019-04-12,25,25.1,25.1,25.1,755,25.1
2019-04-24,25.1,26,26,26,228,26
2019-04-26,26,100,100,100,263,100
2019-04-29,100,100,100,100,492,100
2019-05-13,100,100,100,100,62435,100
2019-05-27,100,100,100,100,103,100
2019-05-28,100,100,100,100,27186,100
2019-05-29,100,100,100,100,3,100
2019-05-30,100,100,100,100,60,100
2019-05-31,100,100,100,100,186,100
2019-06-06,100,100,100,100,2501,100
2019-06-10,100,100,100,100,85,100
2019-06-18,100,100,100,100,701,100
2019-06-25,100,100,100,100,1000,100
2019-07-18,100,100,100,100,755,100
2019-09-10,100,100,100,100,70,100
2019-09-27,100,100,100,100,10975,100
2019-10-17,100,100,100,100,2139,100
2019-10-22,100,100,100,100,0,100
2019-11-12,100,100,100,100,28,100
2019-11-15,100,100,100,100,32,100
2019-11-19,100,100,100,100,0,100
2019-11-20,100,100,100,100,0,100
2019-11-21,100,100,100,100,0,100
2019-11-23,100,100,100,100,0,100
2019-12-03,100,100,100,100,305,100
2019-12-12,100,100,100,100,12149,100
2019-12-20,100,100,100,100,0,100
2020-04-04,100,100,100,100,0,100
2020-04-09,100,100,100,100,0,100
2020-04-18,100,100,100,100,0,100
