date,open,high,low,close,volume,adj_close
2009-06-03,1030,1056,1030,1056,75563,1056
2009-06-04,1056,1051,1050,1050,62110,1050
2009-06-05,1050,1050,1050,1050,285,1050
2009-06-08,1050,1050,1050,1050,3077,1050
2009-06-09,1050,1100,1096,1096,14539,1096
2009-06-10,1096,1153,1100,1153,41987,1153
2009-06-11,1153,1220,1155,1220,9085,1220
2009-06-12,1220,1250,1230,1230,17211,1230
2009-06-15,1230,1200,1200,1200,3563,1200
2009-06-16,1200,1190,1179,1179,11337,1179
2009-06-17,1179,1170,1150,1150,25112,1150
2009-06-18,1150,1150,1150,1150,3500,1150
2009-06-22,1150,1150,1150,1150,2,1150
2009-06-24,1150,1124.9,1080,1124.9,5199,1124.9
2009-06-25,1124.9,1100,1080,1080,5810,1080
2009-06-26,1080,1080,1080,1080,4143,1080
2009-06-30,1080,1080,1079,1080,26417,1080
2009-07-01,1080,1080,1080,1080,15000,1080
2009-07-03,1080,1080,1080,1080,2282,1080
2009-07-07,1080,1070,1070,1070,5666,1070
2009-07-08,1070,1070,1070,1070,2282,1070
2009-07-17,1070,1070,1070,1070,400,1070
2009-07-21,1070,1070,1070,1070,2000,1070
2009-07-22,1070,1070,1070,1070,475,1070
2009-07-27,1070,1070,1070,1070,3280,1070
2009-07-30,1070,1100,1100,1100,784,1100
2009-07-31,1100,1101,1100,1101,13000,1101
2009-08-04,1101,1080,1080,1080,5050,1080
2009-08-06,1080,1080,1080,1080,2660,1080
2009-08-07,1080,1100,1080,1097.3,28047,1097.3
2009-08-10,1097.3,1150,1150,1150,900,1150
2009-08-11,1150,1130,1125,1130,1681,1130
2009-08-12,1130,1150,1125,1125,35438,1125
2009-08-13,1125,1150,1125,1150,9775,1150
2009-08-20,1150,1150,1075,1140,39772,1140
2009-08-21,1140,1145,1145,1145,25096,1145
2009-08-24,1145,1145,1144.9,1145,14239,1145
2009-08-25,1145,1150,1150,1150,6000,1150
2009-08-26,1150,1150,1150,1150,217,1150
2009-08-28,1150,1150,1150,1150,6783,1150
2009-09-01,1150,1120,1120,1120,24374,1120
2009-09-03,1120,1120,1120,1120,4166,1120
2009-09-07,1120,1120,1120,1120,2894,1120
2009-09-11,1120,1130,1130,1130,1532,1130
2009-09-15,1130,1120,1120,1120,50953,1120
2009-09-16,1120,1125,1122,1125,22556,1125
2009-09-25,1125,1145,1080,1145,1635,1145
2009-09-28,1145,1145,1145,1145,1736,1145
2009-09-29,1145,1150,1140,1140,5532,1140
2009-10-02,1140,1125,1120,1125,7272,1125
2009-10-05,1125,1125,1115,1120,3487,1120
2009-10-06,1120,1125,1110,1125,6904,1125
2009-10-07,1125,1115,1080,1115,2951,1115
2009-10-08,1115,1115,1100,1115,6482,1115
2009-10-09,1115,1115,1100,1115,50537,1115
2009-10-13,1115,1115,1115,1115,350,1115
2009-10-14,1115,1115,1115,1115,2000,1115
2009-10-16,1115,1120,1120,1120,2870,1120
2009-10-19,1120,1115,1115,1115,3780,1115
2009-10-20,1115,1115,1114,1115,27000,1115
2009-10-21,1115,1120,1110,1118.2,66536,1118.2
2009-10-23,1118.2,1120,1120,1120,2000,1120
2009-10-27,1120,1120,1115,1120,9118,1120
2009-11-03,1120,1120,1120,1120,948,1120
2009-11-04,1120,1100,1005,1100,1300,1100
2009-11-05,1100,1100,1099,1100,19725,1100
2009-11-09,1100,1100,1100,1100,3005,1100
2009-11-10,1100,1100,1100,1100,176,1100
2009-11-12,1100,1100,1050,1099,100145,1099
2009-11-17,1099,1050,1050,1050,6800,1050
2009-11-18,1050,1089,1040,1089,11293,1089
2009-11-20,1089,1089,1070,1089,1935,1089
2009-11-23,1089,1090,1090,1090,14400,1090
2009-11-25,1090,1090,1090,1090,4400,1090
2009-11-30,1090,1100,1050,1100,26312,1100
2009-12-02,1100,1100,1060,1100,29612,1100
2009-12-03,1100,1050,1050,1050,738,1050
2009-12-04,1050,1100,1100,1100,5510,1100
2009-12-07,1100,1100,1100,1100,1817,1100
2009-12-10,1100,1100,1050,1100,1758,1100
2009-12-11,1100,1100,1100,1100,400,1100
2009-12-14,1100,1100,1050,1100,2646,1100
2009-12-17,1100,1100,1100,1100,2,1100
2009-12-21,1100,1100,1080,1100,1917,1100
2009-12-28,1100,1100,1070,1100,481632,1100
2009-12-29,1100,1149,1099,1140,55781,1140
2009-12-30,1140,1145,1145,1145,34244,1145
2010-01-04,1145,1145,1145,1145,86,1145
2010-01-05,1145,1145,1145,1145,87,1145
2010-01-06,1145,1149,1140,1149,30393,1149
2010-01-07,1149,1150,1100,1149,8558,1149
2010-01-08,1149,1150,1120,1150,2400,1150
2010-01-11,1150,1150,1150,1150,860,1150
2010-01-14,1150,1150,1150,1150,426,1150
2010-01-15,1150,1130,1130,1130,626,1130
2010-01-18,1130,1140,1130,1140,4660,1140
2010-01-19,1140,1140,1140,1140,2734,1140
2010-01-20,1140,1140,1139.9,1140,1550,1140
2010-01-21,1140,1140,1120,1140,2902,1140
2010-01-25,1140,1150,1149,1150,4359,1150
2010-01-26,1150,1150,1145,1150,11154,1150
2010-01-28,1150,1150,1115,1150,281227,1150
2010-01-29,1150,1150,1150,1150,2200,1150
2010-02-02,1150,1145,1145,1145,1723,1145
2010-02-03,1145,1140,1110,1140,8418,1140
2010-02-04,1140,1140,1100,1140,2040,1140
2010-02-05,1140,1140,1105,1140,6265,1140
2010-02-08,1140,1140,1140,1140,217,1140
2010-02-09,1140,1140,1140,1140,440,1140
2010-02-10,1140,1140,1140,1140,2124,1140
2010-02-15,1140,1140,1140,1140,100,1140
2010-02-17,1140,1140,1130,1140,17968,1140
2010-02-18,1140,1140,1140,1140,6668,1140
2010-02-19,1140,1145,1145,1145,10000,1145
2010-02-23,1145,1145,1145,1145,500,1145
2010-02-24,1145,1145,1145,1145,30897,1145
2010-02-25,1145,1146,1145,1146,4192,1146
