date,open,high,low,close,volume,adj_close
2009-06-03,1449.675,1481.254,1421.057,1437.34,4618531,1437.34
2009-06-04,1435.859,1451.649,1425.892,1430.925,1771735,1430.925
2009-06-05,1430.925,1469.313,1431.912,1464.083,1739441,1464.083
2009-06-08,1459.445,1460.531,1433.886,1456.188,1057558,1456.188
2009-06-09,1455.596,1455.596,1435.859,1437.142,1688515,1437.142
2009-06-10,1445.728,1465.465,1430.925,1446.419,2400035,1446.419
2009-06-11,1440.794,1455.596,1439.807,1442.175,1187209,1442.175
2009-06-12,1442.175,1448.688,1421.254,1437.34,1569471,1437.34
2009-06-15,1421.057,1430.925,1387.504,1427.373,4071375,1427.373
2009-06-16,1427.373,1431.221,1411.188,1416.221,1647450,1416.221
2009-06-17,1416.221,1415.136,1371.714,1381.287,2072703,1381.287
2009-06-18,1386.517,1401.32,1351.978,1360.464,1802710,1360.464
2009-06-19,1366.879,1411.188,1366.879,1396.879,2564173,1396.879
2009-06-22,1396.879,1396.386,1361.846,1391.945,2624151,1391.945
2009-06-23,1391.945,1401.32,1371.714,1385.826,2544787,1385.826
2009-06-24,1396.386,1411.287,1377.635,1382.471,685440,1382.471
2009-06-25,1381.583,1399.346,1381.583,1392.438,1723375,1392.438
2009-06-26,1392.438,1406.254,1382.57,1404.379,1770872,1404.379
2009-06-30,1404.379,1396.386,1371.616,1373.392,757333,1373.392
2009-07-01,1376.649,1395.399,1371.714,1381.484,1522466,1381.484
2009-07-02,1373.688,1381.583,1361.846,1372.701,1762927,1372.701
2009-07-03,1372.701,1391.451,1371.714,1374.379,2169220,1374.379
2009-07-06,1374.379,1386.517,1361.945,1381.879,2148828,1381.879
2009-07-07,1381.879,1381.583,1363.82,1371.813,1716313,1371.813
2009-07-08,1371.813,1381.583,1348.03,1349.116,836832,1349.116
2009-07-09,1356.912,1357.899,1350.892,1355.037,1784803,1355.037
2009-07-10,1355.037,1371.714,1342.109,1368.655,583465,1368.655
2009-07-13,1368.655,1430.925,1368.655,1418.886,1492328,1418.886
2009-07-14,1418.886,1455.596,1421.057,1452.142,1189434,1452.142
2009-07-15,1452.142,1480.267,1446.813,1478.294,2740293,1478.294
2009-07-17,1478.294,1475.333,1422.044,1435.465,1009196,1435.465
2009-07-20,1435.465,1460.531,1421.057,1447.504,3151583,1447.504
2009-07-21,1447.504,1460.629,1440.794,1452.044,2103691,1452.044
2009-07-22,1452.044,1451.649,1425.991,1426.78,679364,1426.78
2009-07-23,1430.925,1475.333,1430.925,1456.188,5236448,1456.188
2009-07-24,1456.188,1490.136,1456.583,1485.3,2281642,1485.3
2009-07-27,1485.3,1490.136,1455.596,1466.649,1324913,1466.649
2009-07-28,1466.649,1470.399,1451.649,1470.399,1327890,1470.399
2009-07-29,1470.399,1487.175,1455.596,1469.412,1301782,1469.412
2009-07-30,1466.452,1480.267,1465.465,1470.399,2034508,1470.399
2009-07-31,1475.333,1475.333,1449.675,1450.958,1915159,1450.958
2009-08-03,1452.636,1488.261,1455.596,1485.794,1481543,1485.794
2009-08-04,1485.202,1528.623,1470.399,1523.689,5996636,1523.689
2009-08-05,1524.675,1544.412,1514.807,1540.268,3608497,1540.268
2009-08-06,1539.478,1554.281,1519.741,1524.675,2421734,1524.675
2009-08-07,1534.544,1554.281,1520.728,1529.116,2355844,1529.116
2009-08-10,1529.018,1529.61,1509.774,1519.741,964777,1519.741
2009-08-11,1519.741,1519.741,1490.136,1495.07,958131,1495.07
2009-08-12,1495.07,1509.873,1480.267,1483.721,2273631,1483.721
2009-08-13,1490.136,1504.938,1481.254,1497.34,1798266,1497.34
2009-08-14,1497.34,1500.004,1472.373,1497.438,2401465,1497.438
2009-08-17,1497.439,1475.333,1454.609,1463.491,2014336,1463.491
2009-08-18,1470.399,1474.346,1460.531,1464.281,1831752,1464.281
2009-08-19,1463.491,1464.478,1441.781,1443.952,3491140,1443.952
2009-08-20,1443.952,1475.333,1446.715,1474.05,4813343,1474.05
2009-08-21,1474.05,1488.162,1465.465,1470.004,1948331,1470.004
2009-08-24,1470.004,1480.267,1435.859,1439.511,1619746,1439.511
2009-08-25,1441.09,1460.531,1441.09,1453.919,1307514,1453.919
2009-08-26,1453.919,1470.399,1445.925,1469.313,1061647,1469.313
2009-08-27,1470.399,1475.333,1445.728,1446.813,1733651,1446.813
2009-08-28,1446.813,1460.531,1431.912,1435.859,2293346,1435.859
2009-08-31,1435.859,1435.859,1411.09,1414.248,2200411,1414.248
2009-09-01,1430.925,1440.794,1366.78,1393.622,3254255,1393.622
2009-09-02,1396.386,1415.136,1386.517,1405.267,2519386,1405.267
2009-09-03,1405.267,1454.116,1391.451,1453.524,1782558,1453.524
2009-09-04,1460.531,1469.215,1445.728,1450.662,2247963,1450.662
2009-09-07,1450.662,1460.432,1425.991,1426.09,1115742,1426.09
2009-09-08,1426.287,1440.794,1396.386,1400.037,4229682,1400.037
2009-09-09,1400.037,1416.123,1396.386,1400.234,3078158,1400.234
2009-09-10,1400.234,1431.024,1401.32,1429.642,2224300,1429.642
2009-09-11,1430.925,1480.267,1430.827,1469.609,8038251,1469.609
2009-09-14,1469.609,1470.399,1461.517,1463.59,1353844,1463.59
2009-09-15,1463.59,1475.333,1450.662,1457.175,1126800,1457.175
2009-09-16,1457.175,1490.136,1457.57,1486.386,3995821,1486.386
2009-09-17,1486.978,1499.906,1480.267,1490.629,1114626,1490.629
2009-09-21,1480.267,1503.952,1475.333,1501.09,1900373,1501.09
2009-09-22,1501.09,1509.873,1481.254,1491.517,2487658,1491.517
2009-09-23,1491.517,1501.978,1485.202,1492.406,5428555,1492.406
2009-09-24,1492.406,1497.044,1478.294,1482.932,1921887,1482.932
2009-09-25,1480.267,1490.136,1471.386,1478.195,2631602,1478.195
2009-09-28,1480.267,1485.202,1472.274,1473.359,2265364,1473.359
2009-09-29,1475.531,1490.136,1475.531,1483.327,6664894,1483.327
2009-09-30,1483.327,1489.149,1476.32,1482.438,4504988,1482.438
2009-10-01,1480.267,1490.136,1478.294,1487.965,2762465,1487.965
2009-10-02,1479.281,1529.61,1475.333,1522.504,5843911,1522.504
2009-10-05,1522.504,1544.412,1520.728,1542.833,5681925,1542.833
2009-10-06,1559.215,1574.807,1550.333,1558.82,3536512,1558.82
2009-10-07,1562.176,1562.176,1544.412,1549.347,2607590,1549.347
2009-10-08,1554.281,1559.215,1534.544,1536.814,3429726,1536.814
2009-10-09,1539.478,1544.412,1539.478,1544.314,3880362,1544.314
2009-10-13,1544.412,1588.82,1544.412,1586.452,8407347,1586.452
2009-10-14,1595.728,1618.426,1588.82,1607.669,6572080,1607.669
2009-10-15,1618.426,1625.334,1597.702,1616.255,3892957,1616.255
2009-10-16,1635.202,1652.965,1596.715,1616.452,4683302,1616.452
2009-10-19,1628.294,1638.163,1589.807,1591.781,3699750,1591.781
2009-10-20,1615.465,1615.465,1593.755,1604.709,4425856,1604.709
2009-10-21,1594.741,1628.294,1594.741,1612.998,1841588,1612.998
2009-10-22,1612.998,1628.294,1598.689,1625.038,2643785,1625.038
2009-10-23,1627.307,1672.702,1624.347,1671.123,3839877,1671.123
2009-10-26,1672.702,1692.439,1667.768,1672.9,3515403,1672.9
2009-10-27,1677.636,1677.636,1629.281,1638.064,2206430,1638.064
2009-10-28,1638.064,1642.307,1578.952,1597.11,3157130,1597.11
2009-10-29,1597.702,1662.834,1597.702,1652.472,3860210,1652.472
2009-10-30,1652.965,1657.9,1613.491,1628.097,5321665,1628.097
2009-11-02,1638.163,1638.163,1588.82,1589.708,1325113,1589.708
2009-11-03,1587.833,1588.82,1554.182,1580.531,3315979,1580.531
2009-11-04,1580.926,1615.465,1580.926,1608.36,2183827,1608.36
2009-11-05,1608.36,1624.347,1601.649,1605.301,12074550,1605.301
2009-11-06,1605.301,1613.491,1591.781,1608.557,10648690,1608.557
2009-11-09,1609.544,1623.36,1596.715,1607.768,1275131,1607.768
2009-11-10,1607.768,1608.557,1567.11,1569.083,2487723,1569.083
2009-11-11,1578.952,1588.82,1542.439,1569.478,3181583,1569.478
2009-11-12,1571.057,1571.057,1539.478,1541.748,1728310,1541.748
2009-11-13,1567.11,1567.11,1534.544,1539.873,1719856,1539.873
2009-11-16,1539.873,1564.149,1539.478,1542.735,1768015,1542.735
2009-11-17,1542.735,1544.412,1504.938,1519.741,3015246,1519.741
2009-11-18,1519.741,1519.741,1481.254,1485.004,2938545,1485.004
2009-11-19,1486.188,1500.004,1455.596,1478.392,3062718,1478.392
2009-11-20,1480.267,1500.004,1470.399,1493.491,1170182,1493.491
2009-11-23,1494.083,1509.873,1465.465,1468.721,3138801,1468.721
2009-11-24,1468.721,1480.267,1440.794,1450.761,1768833,1450.761
2009-11-25,1454.116,1500.004,1450.662,1496.55,3982138,1496.55
2009-11-26,1496.55,1509.873,1450.761,1453.623,1910216,1453.623
2009-11-27,1460.531,1494.083,1450.662,1474.84,2169648,1474.84
2009-11-30,1474.84,1509.873,1465.465,1500.596,2100913,1500.596
2009-12-01,1500.596,1544.412,1509.873,1532.768,1793329,1532.768
2009-12-02,1534.544,1569.083,1534.544,1565.926,3698898,1565.926
2009-12-03,1565.926,1603.623,1564.149,1595.926,2582852,1595.926
2009-12-04,1593.755,1652.965,1587.833,1648.327,3648486,1648.327
2009-12-07,1678.623,1687.505,1638.261,1647.044,2649144,1647.044
2009-12-09,1647.044,1648.031,1616.452,1647.932,2554526,1647.932
2009-12-10,1648.031,1666.781,1631.551,1662.439,3170577,1662.439
2009-12-11,1662.439,1677.636,1652.867,1652.965,6997641,1652.965
2009-12-14,1652.965,1657.9,1628.294,1644.084,3188063,1644.084
2009-12-15,1644.084,1643.196,1618.426,1635.202,2408742,1635.202
2009-12-16,1637.176,1657.9,1628.294,1651.682,5761349,1651.682
2009-12-17,1651.682,1677.636,1628.294,1669.347,2274377,1669.347
2009-12-18,1672.702,1682.571,1667.768,1677.143,2457313,1677.143
2009-12-21,1677.636,1682.571,1657.998,1667.472,961642,1667.472
2009-12-22,1672.702,1677.636,1651.485,1652.571,1375456,1652.571
2009-12-23,1652.867,1672.702,1651.978,1659.873,1035388,1659.873
2009-12-24,1659.873,1676.65,1648.031,1663.623,1009666,1663.623
2009-12-28,1662.834,1676.65,1648.031,1672.801,1427505,1672.801
2009-12-29,1676.65,1692.34,1662.834,1691.156,5318741,1691.156
2009-12-30,1690.465,1702.307,1677.636,1697.176,3552974,1697.176
2010-01-04,1696.386,1748.689,1677.636,1743.558,3477648,1743.558
2010-01-05,1743.558,1774.347,1742.768,1750.071,6145870,1750.071
2010-01-06,1726.979,1756.584,1726.979,1752.045,1353492,1752.045
2010-01-07,1746.814,1781.255,1729.248,1774.841,5161004,1774.841
2010-01-08,1774.841,1800.992,1760.531,1795.86,3264672,1795.86
2010-01-11,1798.031,1815.795,1771.387,1814.314,4568040,1814.314
2010-01-12,1805.926,1865.137,1777.406,1854.282,6582731,1854.282
2010-01-13,1864.15,1894.841,1855.269,1893.065,5112458,1893.065
2010-01-14,1894.742,1914.479,1865.137,1904.512,2702647,1904.512
2010-01-15,1894.742,1924.348,1875.104,1909.052,2684475,1909.052
2010-01-18,1924.348,1939.15,1904.611,1917.933,1853617,1917.933
2010-01-19,1914.38,1924.348,1875.005,1916.848,2537164,1916.848
2010-01-20,1916.354,1916.453,1885.861,1893.163,2847324,1893.163
2010-01-21,1894.742,1914.479,1882.9,1888.92,6800031,1888.92
2010-01-22,1886.848,1888.821,1855.466,1877.571,1927777,1877.571
2010-01-25,1875.005,1889.808,1860.203,1872.834,4384595,1872.834
2010-01-26,1865.137,1865.137,1845.4,1848.755,1944642,1848.755
2010-01-27,1845.4,1845.4,1815.795,1830.597,2413204,1830.597
2010-01-28,1830.597,1850.433,1796.058,1824.578,1971857,1824.578
2010-01-29,1794.084,1840.466,1794.084,1828.13,1944837,1828.13
2010-02-01,1828.624,1840.466,1811.847,1817.867,1507910,1817.867
2010-02-02,1817.867,1845.4,1807.9,1843.821,2396221,1843.821
2010-02-03,1825.663,1836.518,1806.025,1825.564,2874257,1825.564
2010-02-04,1825.564,1825.564,1800.992,1805.63,2644666,1805.63
2010-02-05,1800.992,1805.926,1756.584,1757.275,3043661,1757.275
2010-02-08,1756.584,1820.729,1756.584,1815.104,1404842,1815.104
2010-02-09,1815.104,1865.137,1825.663,1847.571,1820239,1847.571
2010-02-10,1850.334,1884.874,1845.4,1872.242,1329519,1872.242
2010-02-11,1872.242,1889.808,1860.203,1884.38,1844857,1884.38
2010-02-12,1884.38,1894.644,1865.137,1883.098,1112092,1883.098
2010-02-15,1884.874,1884.874,1860.203,1882.505,398706,1882.505
2010-02-16,1882.9,1924.348,1865.137,1924.052,1589248,1924.052
2010-02-17,1934.216,1963.821,1924.446,1962.538,3203297,1962.538
2010-02-18,1954.052,1963.821,1934.216,1963.723,1751069,1963.723
2010-02-19,1963.723,1973.69,1952.966,1973.69,1343168,1973.69
2010-02-22,1973.69,1973.69,1944.084,1952.275,1623671,1952.275
2010-02-23,1952.966,1952.966,1919.413,1947.736,2663574,1947.736
2010-02-24,1950.006,2006.256,1925.334,1995.203,3395837,1995.203
2010-02-25,1993.427,1995.203,1953.756,1993.328,2104600,1993.328
2010-02-26,1993.427,2003.197,1972.703,1995.894,2943947,1995.894
2010-03-01,1963.821,2003.197,1885.861,1989.282,3446831,1989.282
2010-03-02,1973.69,2061.519,1973.69,2033.493,2301873,2033.493
2010-03-03,2042.769,2077.309,1993.427,2068.92,3177115,2068.92
2010-03-04,2077.309,2078.295,2022.933,2030.631,2932990,2030.631
2010-03-05,2027.966,2072.375,2025.894,2069.118,4493224,2069.118
2010-03-08,2078.295,2121.618,2067.835,2102.473,2607334,2102.473
2010-03-09,2065.467,2101.98,2027.966,2039.808,56703540,2039.808
2010-03-10,2052.539,2092.111,2032.901,2070.697,5211921,2070.697
2010-03-11,2082.243,2111.848,2072.276,2098.526,1529910,2098.526
2010-03-12,2101.98,2111.848,2077.309,2092.013,832298,2092.013
2010-03-15,2092.012,2091.914,2038.822,2057.966,718391,2057.966
2010-03-16,2064.48,2098.032,2042.769,2043.756,1380836,2043.756
2010-03-17,2042.769,2062.506,2037.835,2052.835,1496813,2052.835
2010-03-18,2052.637,2058.657,2046.716,2052.44,759924,2052.44
2010-03-19,2052.637,2052.637,2032.901,2047.901,1436091,2047.901
2010-03-22,2047.703,2062.506,2038.822,2062.407,2295644,2062.407
2010-03-23,2062.407,2092.111,2042.868,2049.677,5547045,2049.677
2010-03-24,2049.677,2062.506,2008.131,2012.078,1512104,2012.078
2010-03-25,2013.164,2032.901,2012.078,2014.545,1480816,2014.545
2010-03-26,2027.966,2027.966,1993.427,1998.164,2337580,1998.164
2010-03-29,1998.361,2027.966,1978.229,2017.802,843587,2017.802
2010-03-30,2023.032,2042.868,2023.032,2026.289,565081,2026.289
2010-03-31,2018.098,2041.782,2018.098,2028.657,1352112,2028.657
2010-04-01,2028.657,2047.703,2026.683,2039.118,580422,2039.118
2010-04-05,2052.637,2072.375,2052.637,2069.512,1088246,2069.512
2010-04-06,2072.374,2092.013,2062.506,2081.848,1499729,2081.848
2010-04-07,2072.375,2087.177,2062.506,2073.164,1107975,2073.164
2010-04-08,2082.243,2082.243,2029.052,2031.914,2021194,2031.914
2010-04-09,2034.874,2067.44,2034.874,2046.618,573513,2046.618
2010-04-12,2037.933,2042.769,2013.164,2019.479,1570257,2019.479
2010-04-13,2027.966,2027.966,1983.558,2003.986,3003454,2003.986
2010-04-14,2003.295,2032.901,2003.295,2020.17,4879694,2020.17
2010-04-15,2013.164,2042.769,2013.164,2034.479,2967280,2034.479
2010-04-16,2037.835,2041.782,2008.229,2018.394,802333,2018.394
2010-04-19,2018.394,2043.756,2008.229,2042.769,981538,2042.769
2010-04-20,2042.769,2042.769,2023.032,2035.17,4566822,2035.17
2010-04-21,2042.769,2042.769,2002.901,2037.045,2427939,2037.045
2010-04-22,2037.835,2042.769,2018.098,2028.46,3916625,2028.46
2010-04-23,2027.966,2037.835,2018.098,2020.96,5363820,2020.96
2010-04-26,2023.032,2023.032,2008.229,2016.618,872004,2016.618
2010-04-27,2013.164,2021.058,1993.032,2017.999,1705463,2017.999
2010-04-28,2018.197,2086.19,2013.164,2072.868,3582678,2072.868
2010-04-29,2082.243,2111.848,2062.506,2104.348,2173356,2104.348
2010-04-30,2107.013,2112.046,2079.973,2095.861,2983048,2095.861
2010-05-03,2098.032,2111.848,2072.375,2098.131,2089360,2098.131
2010-05-04,2100.993,2101.98,2071.387,2099.907,492323,2099.907
2010-05-05,2101.98,2101.98,2051.651,2087.177,8571222,2087.177
2010-05-06,2086.19,2087.177,2023.032,2069.512,20437270,2069.512
2010-05-07,2056.585,2073.361,2003.295,2023.032,1461540,2023.032
2010-05-10,2057.572,2113.822,2021.058,2109.282,1811207,2109.282
2010-05-11,2107.901,2146.388,2092.111,2139.875,2531439,2139.875
2010-05-12,2139.875,2156.256,2131.585,2142.539,1110728,2142.539
2010-05-13,2143.427,2151.322,2130.598,2143.329,2044888,2143.329
2010-05-14,2143.329,2136.519,2097.045,2106.815,722099,2106.815
2010-05-17,2107.901,2161.19,2092.111,2146.19,1435889,2146.19
2010-05-18,2151.322,2162.177,2136.519,2161.092,3394787,2161.092
2010-05-19,2161.092,2156.355,2131.585,2155.862,1801667,2155.862
2010-05-20,2141.454,2141.454,2099.019,2111.355,1993915,2111.355
2010-05-24,2111.355,2123.69,2077.407,2084.907,3342129,2084.907
2010-05-25,2070.401,2121.717,2023.032,2069.907,1554495,2069.907
2010-05-26,2073.361,2172.046,2073.361,2161.782,6372460,2161.782
2010-05-27,2185.862,2200.664,2097.342,2164.348,2604496,2164.348
2010-05-28,2166.125,2200.664,2156.256,2193.362,1758857,2193.362
2010-05-31,2206.585,2274.677,2159.118,2268.855,1435318,2268.855
2010-06-01,2248.033,2300.336,2220.401,2285.335,4702795,2285.335
2010-06-02,2284.546,2367.441,2269.743,2340.204,3612452,2340.204
2010-06-03,2358.559,2358.559,2259.875,2288.691,3246005,2288.691
2010-06-04,2257.901,2279.612,2236.289,2248.23,2681469,2248.23
2010-06-07,2248.033,2249.908,2199.677,2233.921,1379995,2233.921
2010-06-08,2240.138,2289.48,2232.243,2285.829,2699947,2285.829
2010-06-09,2309.217,2324.02,2269.743,2305.566,2441601,2305.566
2010-06-10,2319.086,2336.849,2284.546,2300.434,2247454,2300.434
2010-06-11,2300.434,2299.349,2268.757,2284.052,1169826,2284.052
2010-06-14,2285.533,2299.349,2269.743,2280.302,819489,2280.302
2010-06-15,2280.303,2347.704,2264.71,2331.619,1629654,2331.619
2010-06-16,2319.086,2358.559,2281.585,2352.638,2008835,2352.638
2010-06-17,2349.678,2437.507,2348.691,2429.711,2427519,2429.711
2010-06-18,2417.77,2480.928,2398.033,2443.033,2992023,2443.033
2010-06-21,2457.244,2516.455,2437.507,2494.645,1205966,2494.645
2010-06-22,2498.691,2498.691,2412.836,2425.171,2876660,2425.171
2010-06-23,2422.704,2427.639,2388.165,2416.981,1265374,2416.981
2010-06-24,2416.981,2427.639,2402.869,2405.435,1097288,2405.435
2010-06-25,2402.968,2457.244,2398.033,2445.204,781652,2445.204
2010-06-29,2445.204,2441.75,2393.099,2406.718,3788710,2406.718
2010-06-30,2407.902,2437.507,2405.928,2430.303,2972302,2430.303
2010-07-01,2416.783,2437.507,2378.296,2404.448,2494336,2404.448
2010-07-02,2404.941,2433.856,2368.428,2401.783,1898962,2401.783
2010-07-05,2402.968,2412.836,2347.704,2349.382,2184151,2349.382
2010-07-06,2363.987,2398.033,2353.625,2362.408,2281259,2362.408
2010-07-07,2368.428,2412.836,2368.329,2401.388,3150263,2401.388
2010-07-08,2417.77,2464.152,2358.559,2451.125,3524617,2451.125
2010-07-09,2456.257,2506.586,2407.902,2457.836,2835546,2457.836
2010-07-12,2458.231,2476.981,2456.158,2456.158,912290,2456.158
2010-07-13,2468.099,2531.257,2456.158,2526.915,5597541,2526.915
2010-07-14,2526.323,2663.396,2511.521,2658.856,3882533,2658.856
2010-07-15,2654.613,2713.922,2595.402,2699.909,2780259,2699.909
2010-07-19,2699.909,2714.81,2625.008,2700.896,2120368,2700.896
2010-07-20,2693.988,2743.429,2664.481,2727.541,2496810,2727.541
2010-07-21,2727.639,2762.179,2625.008,2717.771,1986292,2717.771
2010-07-22,2713.823,2733.561,2625.008,2637.935,2415422,2637.935
2010-07-23,2644.744,2703.955,2633.889,2655.205,1685869,2655.205
2010-07-26,2664.481,2703.955,2664.481,2699.416,1506406,2699.416
2010-07-27,2699.416,2727.639,2674.35,2681.85,1705108,2681.85
2010-07-28,2694.087,2707.903,2625.008,2637.639,2481548,2637.639
2010-07-29,2634.876,2654.613,2600.336,2635.172,2610442,2635.172
2010-07-30,2629.942,2644.646,2612.179,2619.185,1573290,2619.185
2010-08-02,2625.008,2708.889,2625.008,2708.297,2248806,2708.297
2010-08-03,2703.955,2763.166,2689.153,2710.567,2940352,2710.567
2010-08-04,2710.567,2723.692,2702.968,2710.271,1897237,2710.271
2010-08-05,2720.731,2762.179,2676.323,2713.133,1567766,2713.133
2010-08-06,2713.823,2763.166,2684.218,2717.672,1378366,2717.672
2010-08-09,2718.758,2733.561,2703.955,2722.804,851785,2722.804
2010-08-10,2712.837,2712.837,2664.481,2703.856,1346109,2703.856
2010-08-11,2704.942,2792.771,2684.218,2733.363,2803869,2733.363
2010-08-12,2730.995,2730.995,2699.12,2715.6,2404312,2715.6
2010-08-13,2713.824,2859.877,2713.823,2827.804,5438770,2827.804
2010-08-16,2823.363,2950.667,2822.278,2926.982,4076610,2926.982
2010-08-17,2926.982,2960.535,2876.653,2898.068,4020844,2898.068
2010-08-18,2911.193,2990.14,2891.456,2979.186,4489466,2979.186
2010-08-19,3008.89,3078.956,2941.193,3075.996,4073052,3075.996
2010-08-20,3075.996,3156.917,3069.088,3106.884,3127846,3106.884
2010-08-23,3106.588,3157.904,3106.588,3128.397,1536560,3128.397
2010-08-24,3117.443,3128.299,3049.351,3070.568,2876237,3070.568
2010-08-25,3063.857,3069.088,2940.798,2959.844,6118188,2959.844
2010-08-26,2982.245,3000.009,2950.667,2970.995,5444715,2970.995
2010-08-27,2970.995,2999.022,2925.995,2949.384,2471145,2949.384
2010-08-30,2959.548,2971.489,2925.995,2946.521,1577669,2946.521
2010-08-31,2945.732,2976.324,2916.127,2971.587,5759157,2971.587
2010-09-01,2990.14,3059.219,2990.14,3042.443,3947554,3042.443
2010-09-02,3057.246,3103.627,3044.417,3097.114,1636333,3097.114
2010-09-03,3108.562,3167.772,3102.64,3161.16,2572318,3161.16
2010-09-06,3172.707,3217.115,3163.726,3184.746,1650732,3184.746
2010-09-07,3172.707,3182.476,3148.035,3157.805,2298562,3157.805
2010-09-08,3159.877,3192.443,3152.969,3187.213,2827912,3187.213
2010-09-09,3187.509,3207.246,3157.904,3206.753,1816113,3206.753
2010-09-10,3219.088,3236.851,3187.509,3206.16,1538643,3206.16
2010-09-13,3207.246,3251.753,3176.654,3191.16,2054452,3191.16
2010-09-14,3197.378,3246.72,3157.904,3229.845,3891704,3229.845
2010-09-15,3241.786,3280.273,3207.246,3262.312,1644451,3262.312
2010-09-16,3276.325,3305.832,3241.687,3253.233,2095342,3253.233
2010-09-21,3256.588,3330.602,3197.378,3236.259,3486475,3236.259
