date,open,high,low,close,volume,adj_close
2017-12-13,517379,517379,517379,517379,115,517379
2017-12-21,573406,573405.8,573405.8,573406,4,573406
2018-01-05,573406,596810,596810,596810,4,596810
2018-01-08,596810,600230,600230,600230,112,600230
2018-01-19,600230,610020,610020,610020,8,610020
2018-01-24,610020,600300,600300,600300,14,600300
2018-02-08,600300,596250,592870,592870,24,592870
2018-02-09,592870,582590,582590,582590,6,582590
2018-02-19,582590,587890,587890,587890,25,587890
2018-02-22,587890,591560,591560,591560,80,591560
2018-03-16,591560,566810,566810,566810,8,566810
2018-03-19,566810,558650,558650,558650,12,558650
2018-03-22,558650,547190,547190,547190,109,547190
2018-03-23,547190,548850,548850,548850,6,548850
2018-03-26,548850,546750,546750,546750,43,546750
2018-03-28,546750,547080,547080,547080,2,547080
2018-03-29,547080,547220,547220,547220,1,547220
2018-04-02,547220,549060,549060,549060,21,549060
2018-04-05,549060,552320,552320,552320,80,552320
2018-04-13,552320,557980,557980,557980,7,557980
2018-04-16,557980,557780,557780,557780,6,557780
2018-04-20,557780,567800,567800,567800,55,567800
2018-04-23,567800,571670,571670,571670,4,571670
2018-04-24,571670,567500,567500,567500,3,567500
2018-04-25,567500,563320,563110,563320,6,563320
2018-04-26,563320,564560,564560,564560,21,564560
2018-04-27,564560,563800,563800,563800,2,563800
2018-05-02,563800,569350,569350,569350,22,569350
2018-05-04,569350,561260,561260,561260,23,561260
2018-05-10,561260,571830,571830,571830,99,571830
2018-05-17,571830,568800,568800,568800,22,568800
2018-05-22,568800,561580,561580,561580,22,561580
2018-05-25,561580,553990,553990,553990,32,553990
2018-05-29,553990,540580,539210,539210,32,539210
2018-05-30,539210,538090,538090,538090,3,538090
2018-06-08,538090,542110,542110,542110,87,542110
2018-06-12,542110,542930,542930,542930,49,542930
2018-06-14,542930,545050,545050,545050,17,545050
2018-06-18,545050,536380,536380,536380,12,536380
2018-06-19,536380,532900,532900,532900,26,532900
2018-06-22,532900,524870,524870,524870,12,524870
2018-06-25,524870,518790,518790,518790,11,518790
2018-07-09,518790,512890,512890,512890,238,512890
2018-07-11,512890,503830,503830,503830,10,503830
2018-07-17,503830,496580,496580,496580,140,496580
2018-07-19,496580,508600,508600,508600,19,508600
2018-07-20,508600,515850,515850,515850,5,515850
2018-07-25,515850,516610,516610,516610,16,516610
2018-07-27,516610,511090,511090,511090,22,511090
2018-07-30,511090,508800,508800,508800,9,508800
2018-07-31,508800,510980,510980,510980,5,510980
2018-08-02,510980,511310,511310,511310,7,511310
2018-08-03,511310,512260,512260,512260,12,512260
2018-08-10,512260,500050,498770,500050,86,500050
2018-08-16,500050,500140,499480,500140,59,500140
2018-08-20,500140,501160,501160,501160,17,501160
2018-08-21,501160,500990,500990,500990,7,500990
2018-08-22,500990,502270,502270,502270,7,502270
2018-08-23,502270,501880,501880,501880,7,501880
2018-08-24,501880,501680,501680,501680,13,501680
2018-08-28,501680,502650,502650,502650,27,502650
2018-08-29,502650,503320,503320,503320,8,503320
2018-09-03,503320,501710,501710,501710,16,501710
2018-09-05,501710,494540,494540,494540,40,494540
2018-09-06,494540,494540,494540,494540,1,494540
2018-09-07,494540,498130,498130,498130,8,498130
2018-09-10,498130,498030,498030,498030,36,498030
2018-09-12,498030,504830,504830,504830,37,504830
2018-09-21,504830,524490,524490,524490,10,524490
2018-10-03,524490,525910,525910,525910,198,525910
2018-10-11,525910,511350,511350,511350,36,511350
2018-10-17,511350,508010,508010,508010,8,508010
2018-10-22,508010,502120,502120,502120,10,502120
2018-10-24,502120,504970,504970,504970,11,504970
2018-10-29,504970,500630,500630,500630,33,500630
2018-11-22,500630,498670,498670,498670,21,498670
2018-12-11,498670,504390,504390,504390,20,504390
2018-12-12,504390,504700,504700,504700,10,504700
2018-12-19,504700,503790,503790,503790,10,503790
2019-01-07,503790,511040,511040,511040,14,511040
2019-01-23,511040,517290,517290,517290,15,517290
2019-02-06,517290,532610,532610,532610,12,532610
2019-03-05,532610,522280,522280,522280,60,522280
2019-03-06,522280,521290,521290,521290,66,521290
2019-03-13,521290,525190,525190,525190,82,525190
2019-03-26,525190,512330,512330,512330,57,512330
2019-03-29,512330,520050,520050,520050,55,520050
2019-04-08,520050,522310,522310,522310,12,522310
2019-04-16,522310,522310,522310,522310,1,522310
2019-04-23,522310,522250,522250,522250,57,522250
2019-04-24,522250,519690,519690,519690,60,519690
2019-04-25,519690,515920,515920,515920,110,515920
2019-04-26,515920,517740,517740,517740,121,517740
2019-05-09,517740,503470,503470,503470,108,503470
2019-06-25,503470,512340,512340,512340,57,512340
2019-08-02,512340,485010,485010,485010,128,485010
2019-08-05,485010,475150,475150,475150,183,475150
2019-08-22,475150,472920,472920,472920,120,472920
2019-10-23,472920,465190,465190,465190,200,465190
2019-12-24,465190,414630,414630,414630,80,414630
2020-04-21,414630,312440,312440,312440,160,312440
2020-05-16,312440,312440,312440,312440,0,312440
