date,open,high,low,close,volume,adj_close
2021-07-05,825.9,825.9,824.12,825.9,2442000,825.9
2021-07-06,825.9,809.51,809.51,809.51,24707,809.51
2021-07-08,809.51,794.72,794.72,794.76,25267,794.76
2021-07-09,794.76,813.93,813.93,813.93,24573,813.93
2021-07-14,813.93,801.01,801.01,813.93,1845,813.93
2021-07-20,813.93,820.35,820.35,820.35,24380,820.35
2021-07-21,820.35,820.35,820.35,820.35,846,820.35
2021-08-05,820.35,810,810,820.35,2088,820.35
2021-08-10,820.35,827.11,827.11,827.11,24181,827.11
2021-08-16,827.11,827.11,827.11,827.11,238,827.11
2021-08-18,827.11,830.85,830.83,827.11,2118,827.11
2021-08-24,827.11,827.11,827.11,827.11,329,827.11
2021-08-26,827.11,827.11,827.11,827.11,100,827.11
2021-08-31,827.11,827.11,827.11,827.11,6,827.11
2021-09-20,827.11,827.25,827.25,827.25,24177,827.25
2021-09-28,827.25,827.25,827.25,827.25,117,827.25
2021-10-04,827.25,827.25,827.25,827.25,92,827.25
2021-10-13,827.25,775.98,766.67,771.29,52121,771.29
2021-10-18,771.29,770.34,770.34,770.34,25963,770.34
2021-10-20,770.34,770.34,770.34,770.34,198,770.34
2021-10-25,770.34,770.34,770.34,770.34,260,770.34
2021-10-26,770.34,797,793.66,794.62,74674,794.62
2021-10-27,794.62,783.87,783.87,783.87,25515,783.87
2021-10-28,783.87,766,766,783.87,7723,783.87
2021-11-04,783.87,813.93,813.93,813.93,24573,813.93
2021-11-09,813.93,824.07,824.07,824.07,24270,824.07
2021-11-15,824.07,824.5,824.5,824.5,9000,824.5
