date,open,high,low,close,volume,adj_close
2013-09-02,3090,3109.7,3090,3093,93681,3093
2013-09-03,3093,3092,3075,3076.9,50719,3076.9
2013-09-04,3076.9,3079,3070,3070,86589,3070
2013-09-05,3073,3150,3073,3149.7,157028,3149.7
2013-09-06,3149.7,3225,3183.9,3224.6,244191,3224.6
2013-09-09,3224.6,3303,3234,3303,125663,3303
2013-09-10,3303,3348,3267.7,3301.9,328873,3301.9
2013-09-11,3301.9,3318,3270,3312.6,109239,3312.6
2013-09-12,3312.6,3311,3251.5,3251.5,74529,3251.5
2013-09-13,3251.5,3257.3,3238,3238,35310,3238
2013-09-16,3238,3260,3183.8,3260,752784,3260
2013-09-17,3260,3262,3247.5,3248.8,708811,3248.8
2013-09-23,3248.8,3363,3252.5,3351.3,175687,3351.3
2013-09-24,3351.3,3334.7,3315.3,3320,138917,3320
2013-09-25,3320,3323.4,3292,3321.3,79891,3321.3
2013-09-26,3321.3,3350,3311.7,3311.7,81088,3311.7
2013-09-27,3311.7,3314.7,3285,3300,33614,3300
2013-09-30,3300,3270,3240,3240.6,246200,3240.6
2013-10-01,3240.6,3274,3250,3270,80649,3270
2013-10-02,3270,3260,3249.7,3252.4,93305,3252.4
2013-10-03,3252.4,3257,3236,3240,38630,3240
2013-10-04,3240,3262,3255,3255,43948,3255
2013-10-07,3255,3261.8,3230,3230,51907,3230
2013-10-08,3230,3231.4,3225.1,3225.1,31270,3225.1
2013-10-09,3225.1,3240,3210,3210,58623,3210
2013-10-10,3210,3243,3177.9,3236,311110,3236
2013-10-11,3236,3252.9,3250,3252.9,1681,3252.9
2013-10-14,3252.9,3260,3242,3260,9291,3260
2013-10-15,3260,3267,3252,3263.5,68348,3263.5
2013-10-16,3263.5,3280.5,3262.5,3272,113211,3272
2013-10-17,3272,3272.5,3242,3242,74926,3242
2013-10-18,3242,3267,3258.5,3260,134320,3260
2013-10-21,3260,3306,3272.5,3306,71823,3306
2013-10-22,3306,3315,3303.5,3307.8,202509,3307.8
2013-10-23,3307.8,3325,3291,3325,57436,3325
2013-10-24,3325,3344.9,3310,3310,87909,3310
2013-10-25,3310,3318,3288,3288,32570,3288
2013-10-28,3288,3300,3282,3287,24452,3287
2013-10-29,3287,3292.5,3272.5,3285,81526,3285
2013-10-30,3285,3310,3280,3310,208431,3310
2013-11-04,3310,3322,3300,3322,59091,3322
2013-11-05,3322,3342.3,3322,3330,124665,3330
2013-11-06,3330,3334.5,3310,3310,33184,3310
2013-11-07,3310,3311.4,3298.4,3307,150095,3307
2013-11-08,3307,3305.9,3256,3256,50319,3256
2013-11-11,3256,3210,3200,3200,50060,3200
2013-11-12,3200,3222,3212,3221,38687,3221
2013-11-13,3221,3197,3144,3167.6,85775,3167.6
2013-11-14,3167.6,3172,3166,3172,111412,3172
2013-11-15,3172,3216.5,3172,3216,93729,3216
2013-11-18,3216,3248,3238,3248,25180,3248
2013-11-19,3248,3235,3225,3226,19174,3226
2013-11-20,3226,3226,3185,3195,69660,3195
2013-11-21,3195,3179.7,3164.1,3164.1,5381,3164.1
2013-11-22,3164.1,3173.5,3145.2,3160,15555,3160
2013-11-25,3160,3170,3169,3169,9954,3169
2013-11-26,3169,3150,3105,3105,18456,3105
2013-11-27,3105,3138.5,3127,3138.5,41289,3138.5
2013-11-28,3138.5,3171,3158,3160,8548,3160
2013-11-29,3160,3206.3,3176,3206.3,12218,3206.3
2013-12-02,3206.3,3189.9,3178,3178,22154,3178
2013-12-03,3178,3178,3150,3150,16318,3150
2013-12-04,3150,3149.9,3135,3137.3,28718,3137.3
2013-12-05,3137.3,3155,3145,3155,34379,3155
2013-12-06,3155,3155,3154.5,3154.5,2511,3154.5
2013-12-09,3154.5,3141.1,3125.5,3138.4,53544,3138.4
2013-12-10,3138.4,3139,3126.6,3138,43739,3138
2013-12-11,3138,3141,3133.5,3141,34757,3141
2013-12-12,3141,3124.5,3100,3100,25710,3100
2013-12-13,3100,3106.6,3100,3104.3,26167,3104.3
2013-12-16,3104.3,3105,3089.3,3105,60796,3105
2013-12-17,3105,3127.2,3101.3,3101.3,19917,3101.3
2013-12-18,3101.3,3102.6,3090.5,3090.5,11089,3090.5
2013-12-19,3090.5,3135,3110,3110,66671,3110
2013-12-20,3110,3128.3,3105.3,3128.3,32631,3128.3
2013-12-23,3128.3,3129.8,3115,3117,82119,3117
2013-12-24,3117,3116.7,3108.7,3116.7,14000,3116.7
2013-12-26,3116.7,3095,3085.5,3085.5,44334,3085.5
2013-12-27,3085.5,3118,3085,3118,87533,3118
2014-01-02,3118,3131.8,3090.2,3102,70113,3102
2014-01-03,3102,3110,3110,3110,162,3110
2014-01-06,3110,3118,3117.5,3118,5125,3118
2014-01-07,3118,3118,3110,3110,9769,3110
2014-01-08,3110,3106,3047.8,3106,14805,3106
2014-01-09,3106,3100,3088.9,3088.9,1295,3088.9
2014-01-10,3088.9,3045,3033.2,3045,37155,3045
2014-01-13,3045,3052.9,3040.5,3052.9,49988,3052.9
2014-01-14,3052.9,3052.9,3052.9,3052.9,16,3052.9
2014-01-15,3052.9,3081.8,3055,3081.8,30606,3081.8
2014-01-16,3081.8,3076,3070,3076,14936,3076
2014-01-17,3076,3096.1,3083,3096.1,3165,3096.1
2014-01-20,3096.1,3110,3096.2,3096.3,10665,3096.3
2014-01-21,3096.3,3105,3104.2,3105,1407,3105
2014-01-22,3105,3125.5,3100,3125.5,17295,3125.5
2014-01-23,3125.5,3107,3090,3090,4844,3090
2014-01-24,3090,3045,3032,3032,6277,3032
2014-01-27,3032,3015.2,3013.8,3013.8,9300,3013.8
2014-01-28,3013.8,2972.9,2951,2951,57706,2951
2014-01-29,2951,2892,2855,2855,40036,2855
2014-01-30,2855,2887,2872.1,2877.4,89100,2877.4
2014-01-31,2877.4,2880,2838,2880,104715,2880
2014-02-03,2880,2884.7,2840,2840,40242,2840
