date,open,high,low,close,volume,adj_close
2016-10-05,564.5192,586.5421,564.5192,564.5192,9326,564.5192
2016-10-06,564.5192,532.2117,477.1619,477.5069,22757,477.5069
2016-10-07,477.5069,481.1994,477.0885,481.1994,13613,481.1994
2016-10-11,481.1994,481.1994,481.1994,481.1994,774,481.1994
2016-10-12,481.1995,512.3985,512.3985,512.3985,10898,512.3985
2016-10-13,512.3985,512.3985,512.3985,512.3985,218,512.3985
2016-10-21,512.3985,512.3985,512.3985,512.3985,921,512.3985
2016-10-26,512.3985,484.5029,484.5029,484.5029,18461,484.5029
2016-10-28,484.5029,512.3985,502.1211,512.3985,76968,512.3985
2016-11-02,512.3985,512.3985,512.3985,512.3985,2239,512.3985
2016-11-08,512.3985,512.3985,512.3985,512.3985,43844,512.3985
2016-11-10,512.3984,550.5714,550.5714,550.5714,4087,550.5714
2016-11-11,550.5714,550.5714,550.5714,550.5714,3406,550.5714
2016-11-14,550.5714,550.5714,550.5714,550.5714,163,550.5714
2016-11-16,550.5715,543.2305,543.2305,543.2305,2656,543.2305
2016-11-17,543.2305,543.2305,543.2305,543.2305,163,543.2305
2016-11-18,543.2305,543.2305,543.2305,543.2305,681,543.2305
2016-11-21,543.2305,543.2305,543.2305,543.2305,681,543.2305
2016-11-22,543.2305,543.2305,543.2305,543.2305,681,543.2305
2016-11-24,543.2305,524.8781,521.2076,524.8781,45539,524.8781
2016-11-25,524.8781,638.6629,527.8145,638.6629,878060,638.6629
2016-11-28,638.6629,638.6629,616.64,623.981,125105,623.981
2016-11-29,623.981,623.981,623.981,623.981,467893,623.981
2016-11-30,623.981,623.981,623.981,623.981,9673,623.981
2016-12-02,623.981,623.981,623.981,623.981,1885,623.981
2016-12-05,623.981,638.6629,631.3219,638.6629,28970,638.6629
2016-12-07,638.6629,638.6629,638.6629,638.6629,161,638.6629
2016-12-09,638.6629,638.6629,638.6629,638.6629,2580,638.6629
2016-12-12,638.6629,638.6629,638.6629,638.6629,930,638.6629
2016-12-13,638.6629,697.3905,697.3905,697.3905,1362,697.3905
2016-12-14,697.3904,660.6857,642.3333,660.6857,85785,660.6857
2016-12-16,660.6857,664.3562,660.6857,664.3562,50041,664.3562
2016-12-19,664.3562,646.7379,646.7379,646.7379,1670,646.7379
2016-12-21,646.7379,665.0903,664.3562,664.3562,339693,664.3562
2016-12-22,664.3562,664.3562,664.3562,664.3562,42071,664.3562
2016-12-23,664.3562,668.0267,668.0267,668.0267,346864,668.0267
2016-12-26,668.0267,668.0267,668.0267,668.0267,53323,668.0267
2016-12-27,668.0267,668.0267,668.0267,668.0267,148,668.0267
2016-12-28,668.0267,660.6857,660.6857,660.6857,1432,660.6857
2016-12-29,660.6857,675.3676,668.0267,675.3676,42283,675.3676
2017-01-03,675.3676,674.6335,674.6335,674.6335,41155,674.6335
2017-01-09,674.6335,660.6857,660.6857,660.6857,123848,660.6857
2017-01-12,660.6857,693.72,693.72,693.72,978,693.72
2017-01-13,693.72,693.72,693.72,693.72,304,693.72
2017-01-19,693.72,693.72,693.72,693.72,259,693.72
2017-01-30,693.72,645,645,645,7000,645
2017-02-01,645,645,645,645,13681,645
2017-02-02,645,630,630,630,122429,630
2017-02-07,630,630,630,630,142,630
2017-02-10,630,630.1,630.1,630.1,311180,630.1
2017-02-15,630.1,630.1,630.1,630.1,89,630.1
2017-02-16,630.1,640,640,640,4687,640
2017-02-17,640,645,630.1,645,4183,645
2017-03-07,645,645,645,645,21000,645
2017-03-08,645,645,645,645,152,645
2017-03-10,645,645,645,645,104000,645
2017-03-14,645,645,645,645,85217,645
2017-03-30,645,720,686,720,5244,720
2017-04-03,720,740,740,740,2983,740
2017-04-05,755,755,753.8,755,9422,755
2017-04-10,755,755,755,755,666,755
2017-04-12,755,740,740,740,1069,740
2017-04-17,740,740,740,740,768,740
2017-05-03,740,740,740,740,2245,740
2017-05-08,740,745,745,745,1997,745
2017-05-09,745,745,745,745,1250,745
2017-05-24,745,725,725,725,7099,725
2017-05-31,725,730,730,730,1079,730
2017-06-05,730,725,725,725,1969,725
2017-06-06,725,725,725,725,1046,725
2017-06-07,725,740,740,740,40400,740
2017-06-12,740,740,740,740,691,740
2017-06-13,740,725,725,725,8280,725
2017-06-19,725,725.1,725,725,49106,725
2017-06-28,725,725,725,725,21199,725
2017-07-07,725,725,725,725,700,725
2017-07-10,725,725,725,725,280,725
2017-07-14,725,725,725,725,365,725
2017-07-17,725,725,725,725,50,725
2017-07-18,725,725,725,725,141,725
2017-07-19,725,725,725,725,295,725
2017-07-26,725,725,725,725,62,725
2017-07-27,725,724,724,724,1002,724
2017-07-31,724,720,720,720,4592,720
2017-08-23,720,718.9,718.9,718.9,1000,718.9
2017-08-28,718.9,709.9,709.9,709.9,1946,709.9
2017-08-29,709.9,700,700,700,1083,700
2017-09-05,700,612,611,611.42,15037,611.42
2017-09-06,611,611.01,611,611.01,13235,611.01
2017-09-07,611.01,611,611,611,4285,611
2017-09-08,611,611,611,611,7000,611
2017-09-11,611,611.1,611.1,611.1,4902,611.1
2017-09-12,611.1,611.1,611,611,29266,611
2017-09-20,611,615,611,615,23669,615
2017-09-22,615,630,630,630,47769,630
2017-09-26,630,630,630,630,25000,630
2017-09-28,630,645,645,645,1543,645
2017-09-29,645,645,645,645,72175,645
2017-10-04,700,700,700,700,4095,700
2017-10-06,700,700,700,700,630,700
2017-10-10,700,705,702,702,27685,702
2017-10-23,702,702,702,702,89949,702
2017-10-30,702,702,702,702,66,702
2017-10-31,702,702,702,702,5000,702
2017-11-02,702,702,702,702,13670,702
2017-11-06,702,703,702,703,31223,703
2017-11-07,703,720,703,720,6006,720
2017-11-08,720,752,750,752,5377,752
2017-11-09,752,770,755,770,1761,770
2017-11-14,770,746.01,741,746,32464,746
2017-11-15,746,745,745,745,6321,745
2017-11-16,745,745.6,745.6,745.6,1342,745.6
2017-11-27,745.6,745.6,745.6,745.6,140,745.6
2017-11-29,745.6,710,710,710,3911,710
2017-12-01,710,710,710,710,473,710
2017-12-04,710,710.01,710,710,14491,710
2017-12-11,710,701.11,701.11,701.11,1850,701.11
2018-01-02,701.11,720,720,720,4810,720
2018-01-03,720,720,720,720,1491,720
2018-01-04,720,720,720,720,6425,720
2018-01-08,720,720,720,720,140,720
2018-01-19,720,731,731,731,2456,731
2018-02-02,731,710,710,710,18749,710
2018-02-07,710,730,710,730,7484,730
2018-02-13,730,730,730,730,135,730
2018-02-16,730,720,720,720,2500,720
2018-02-20,720,700,700,700,1290,700
2018-02-21,700,700,700,700,145,700
2018-02-22,700,682,682,682,11134,682
2018-02-23,682,710,710,710,1540,710
2018-02-28,710,710,710,710,23240,710
2018-03-01,710,710,710,710,860,710
2018-03-02,710,710,710,710,4,710
2018-03-06,710,710,710,710,340,710
2018-03-08,710,710,710,710,247,710
2018-03-12,710,710,710,710,544,710
2018-03-15,710,710,710,710,2800,710
2018-03-16,710,715,710,715,9200,715
2018-03-27,715,715,715,715,9,715
2018-03-28,715,710,710,710,1300,710
2018-04-03,710,689,689,689,4261,689
2018-04-04,689,688,688,688,12786,688
2018-04-12,688,700,700,700,5444,700
2018-04-16,700,717,717,717,17710,717
2018-04-18,717,720,720,720,2500,720
2018-04-19,720,720,720,720,5700,720
2018-04-20,720,723,723,723,2500,723
2018-04-24,723,721,721,721,4261,721
2018-04-25,721,723,723,723,2000,723
2018-04-26,723,721,705,710,15774,710
2018-04-30,710,690,690,690,5632,690
2018-05-02,690,730,730,730,5858,730
2018-05-03,730,720,720,720,35000,720
2018-05-07,720,749,720,749,11115,749
2018-05-08,749,760,760,760,1131,760
2018-05-09,760,770,770,770,20000,770
2018-05-10,770,800,800,800,1285,800
2018-05-23,800,771,771,771,1373,771
2018-05-25,771,775,771,775,36681,775
2018-06-06,775,775,775,775,130,775
2018-06-08,775,778,778,778,1985,778
2018-06-11,778,778,778,778,500,778
2018-06-12,778,778,778,778,3145,778
2018-06-13,778,778,778,778,1318,778
2018-06-14,778,778,778,778,129,778
2018-06-15,778,778,778,778,129,778
2018-07-09,778,750,750,750,1560,750
2018-07-13,750,750,750,750,270,750
2018-07-17,750,750,750,750,133,750
2018-07-18,750,756,756,756,4000,756
2018-07-19,756,756,756,756,9,756
2018-07-23,756,756,756,756,300,756
2018-07-24,756,756,756,756,110,756
2018-07-26,756,760,750,750,4967,750
2018-07-30,750,750,750,750,1410,750
2018-07-31,750,760,715,760,2590,760
2018-08-07,760,760,760,760,200,760
2018-08-09,760,680,570,680,1214084,680
2018-08-10,680,680,680,680,100,680
2018-08-13,680,680,680,680,5845,680
2018-08-16,680,680,680,680,473,680
2018-08-20,680,679.99,660,679.9,44863,679.9
2018-08-21,679.9,679.9,679.9,679.9,6,679.9
2018-08-22,679.9,650,650,650,20929,650
2018-08-23,650,640,610.11,610.11,35065,610.11
2018-08-24,610.11,600,590,600,41993,600
2018-08-27,600,620,590,620,13486,620
2018-08-28,620,600,600,600,3369,600
2018-08-29,600,595,580,595,32242,595
2018-08-30,595,577,576.9,576.9,21435,576.9
2018-08-31,576.9,575,574.9,575,19978,575
2018-09-03,575,600,600,600,1000,600
2018-09-04,600,600,600,600,9,600
2018-09-07,600,590,585,585,12043,585
2018-09-10,585,580.5,570,570,18519,570
2018-09-11,585,585,570,570,39995,570
2018-09-12,570,570,560,570,15029,570
2018-09-13,570,570,570,570,4102,570
2018-09-20,570,600,600,600,3561,600
2018-09-27,600,580,570,570,42048,570
2018-09-28,570,580,580,580,33114,580
2018-10-02,580,590,571.5,590,20145,590
2018-10-03,590,600,590,600,32063,600
2018-10-05,600,600,600,600,125,600
2018-10-08,600,600,600,600,4713,600
2018-10-10,600,600,600,600,97,600
2018-10-11,600,598,595,595,3598,595
2018-10-18,595,595,570,594.98,59741,594.98
2018-10-22,594.98,600,600,600,5644,600
2018-10-24,600,596.98,571.1,596.98,7708,596.98
2018-10-29,596.98,596,596,596.98,16043,596.98
2018-10-30,596.98,596.98,580,596.98,3500,596.98
2018-10-31,596.98,600,580,600,40678,600
2018-11-05,600,597,596,597,9150,597
2018-11-06,597,597,597,597,16722,597
2018-11-08,597,587,587,587,10000,587
2018-11-09,587,590,587.1,587.1,78734,587.1
2018-11-13,587.1,589.99,589.99,589.99,2095,589.99
2018-11-15,589.99,587,570,587,22395,587
2018-11-16,587,587,587,587,29144,587
2018-11-19,587,580,580,580,4611,580
2018-11-20,580,580,565,580,2534,580
2018-11-21,580,580,565,580,30370,580
2018-11-22,580,580,580,580,100,580
2018-11-23,580,570,570,570,20000,570
2018-11-26,570,565,560,560,4420,560
2018-11-27,560,560,560,560,8930,560
