date,open,high,low,close,volume,adj_close
2017-01-19,245,245,245,245,2500,245
2017-02-01,245,280,280,280,25000,280
2017-02-02,280,280,280,280,24,280
2017-02-07,280,280,280,280,142,280
2017-02-17,280,280,280,280,947,280
2017-02-20,280,280,280,280,18936,280
2017-03-06,280,280,280,280,201,280
2017-03-07,280,285,285,285,81657,285
2017-03-08,285,285,285,285,10000,285
2017-03-10,285,285,283.99,283.99,216548,283.99
2017-03-14,283.99,283.5,283.5,283.5,2500,283.5
2017-03-15,283.5,280,280,280,9879,280
2017-03-16,280,280,280,280,10400,280
2017-03-17,280,280,280,280,720,280
2017-03-20,280,280,280,280,720,280
2017-03-21,280,280,280,280,360,280
2017-03-22,280,280,280,280,460,280
2017-03-23,280,278,278,278,11000,278
2017-03-24,278,278,278,278,2161,278
2017-03-29,278,278,278,278,360,278
2017-03-30,278,278,270,278,5934,278
2017-03-31,278,278,278,278,2213,278
2017-04-03,278,278,278,278,100,278
2017-04-04,278,278,278,278,58408,278
2017-04-05,278,278,278,278,4696,278
2017-04-17,278,278,278,278,370,278
2017-04-18,278,278,278,278,4900,278
2017-05-03,278,278,278,278,521,278
2017-05-11,278,275,275,275,7099,275
2017-05-12,275,275,275,275,635967,275
2017-05-15,275,275,275,275,10000,275
2017-05-16,275,275,275,275,4734,275
2017-05-17,275,275,275,275,2500,275
2017-05-18,275,278,278,278,3914,278
2017-05-22,278,278,278,278,19130,278
2017-05-26,278,278.5,275,275,54713,275
2017-06-01,275,275,275,275,42430,275
2017-06-02,275,275,275,275,1400,275
2017-06-06,275,275,275,275,1969,275
2017-06-09,275,275,275,275,182,275
2017-06-12,275,275,275,275,1218,275
2017-06-13,275,275,275,275,25000,275
2017-07-21,275,275,275,275,2048,275
2017-07-24,275,275,275,275,1079,275
2017-07-25,275,275,275,275,1000,275
2017-07-27,275,275,275,275,62,275
2017-08-11,275,275,275,275,5875,275
2017-08-14,275,275,275,275,818,275
2017-08-16,275,275,275,275,384,275
2017-08-18,275,275,275,275,423,275
2017-08-21,275,275,275,275,3780,275
2017-08-22,275,216,216,216,23696,216
2017-08-23,216,216,216,216,1540,216
2017-08-24,216,218.3,216,216,23670,216
2017-08-25,216,232,232,232,3937,232
2017-08-28,232,234,233.01,234,48261,234
2017-08-30,234,234,234,234,417,234
2017-08-31,234,232.99,230,232.99,146287,232.99
2017-09-01,232.99,242,242,242,5408,242
2017-09-04,242,242,242,242,103,242
2017-09-05,242,245,245,245,3123,245
2017-09-07,245,245,245,245,300,245
2017-09-12,245,245,245,245,226,245
2017-09-13,245,245,245,245,2268,245
2017-09-14,245,245,245,245,134,245
2017-09-15,245,245,245,245,1903,245
2017-09-25,245,240,240,239.69,10650,239.69
2017-09-27,239.69,237,237,237,50000,237
2017-09-28,237,237,237,237,20000,237
2017-10-03,237,237,237,237,425,237
2017-10-04,237,230,229.99,230,21452,230
2017-10-05,230,223.51,223,223.51,69833,223.51
2017-10-06,223.51,228,224,228,20790,228
2017-10-10,228,228,228,228,9768,228
2017-10-11,228,240,232,240,24841,240
2017-10-12,240,235,235,235,6797,235
2017-10-13,235,235,235,235,9195,235
2017-10-16,235,245,245,245,9000,245
2017-10-17,245,245,245,245,2137,245
2017-10-18,245,245,245,245,131,245
2017-10-19,245,239,233.1,239,52777,239
2017-10-20,239,239,239,239,281,239
2017-10-23,239,235,229.5,235,100205,235
2017-10-24,235,235,235,235,119949,235
2017-10-25,235,235,230.3,235,53500,235
2017-11-02,235,230,227,227,9591,227
2017-11-03,227,227,227,227,230,227
2017-11-07,227,226.8,226.8,226.8,8447,226.8
2017-11-08,226.8,230,230,230,16194,230
2017-11-09,230,240,233,237.33,143770,237.33
2017-11-10,237.33,249,243,245.05,164825,245.05
2017-11-13,245.05,245.05,245.05,245.05,2000,245.05
2017-11-14,245.05,245.1,245.1,245.1,21003,245.1
2017-11-16,245.1,243.5,243.5,243.5,5034,243.5
2017-11-17,243.5,240,236.85,236.85,11850,236.85
2017-11-20,236.85,227.99,227.99,227.99,3300,227.99
2017-11-22,227.99,227.97,227.97,227.97,10079,227.97
2017-11-28,227.97,227.97,227.97,227.97,871,227.97
2017-11-29,227.97,220,220,220,6500,220
2017-11-30,220,220,220,220,4500,220
2017-12-01,220,220,210,210,128261,210
2017-12-04,210,210,208,209.8,321700,209.8
2017-12-05,209.8,210,210,210,7160,210
2017-12-07,210,210,206,206,24197,206
2017-12-11,206,200,200,200,83277,200
2017-12-12,200,204.1,204,204.1,222704,204.1
2017-12-13,204.1,215,215,215,6000,215
2017-12-14,215,225,225,225,5500,225
2017-12-15,225,235,211,211,13517,211
2017-12-18,211,230,230,230,5064,230
2017-12-19,230,245,245,245,4277,245
2017-12-26,245,233,233,233,6420,233
2017-12-28,233,230,230,230,2342,230
2017-12-29,230,244.2,229,244.2,153704,244.2
2018-01-02,244.2,239.99,222,239,103235,239
2018-01-03,239,242,239,239,37805,239
2018-01-04,239,239,239,239,2017,239
2018-01-09,239,242,242,242,8577,242
2018-01-10,242,245,227.5,245,33466,245
2018-01-11,245,245,243,245,60787,245
2018-01-22,245,244,244,244,13666,244
2018-01-25,244,243,243,243,15824,243
2018-01-26,243,243,240,242.99,77613,242.99
2018-01-29,242.99,242,242,242,40652,242
2018-01-30,242,250,245,250,79578,250
2018-01-31,250,260,250,257.57,177242,257.57
2018-02-01,257.57,260,250,260,76100,260
2018-02-02,260,260,259.99,260,43039,260
2018-02-06,260,259,252,259,39920,259
2018-02-07,259,252,252,252,59252,252
2018-02-08,252,241,241,241,10000,241
2018-02-09,241,253,250,253,5000,253
2018-02-12,253,253,253,253,603,253
2018-02-13,253,253,253,253,5000,253
2018-02-15,253,253,253,253,2700,253
2018-02-16,253,252,252,252,15000,252
2018-03-01,252,240,240,240,3374,240
2018-03-02,240,253,241,253,9816,253
2018-03-05,253,253,253,253,2266,253
2018-03-09,253,260,250,260,46619,260
2018-03-14,260,250,250,250,2732,250
2018-03-19,250,250,250,250,4787,250
2018-03-20,250,223,212.2,222.5,21215,222.5
2018-03-21,222.5,225.5,225.5,225.5,40571,225.5
2018-03-22,225.5,226,225.5,225.5,7878,225.5
2018-03-26,225.5,225.5,225.5,225.5,660,225.5
2018-03-27,225.5,226,226,226,10000,226
2018-03-29,226,235,226,235,14040,235
2018-04-03,235,226.5,226.5,226.5,4962,226.5
2018-04-04,226.5,237,237,237,2911,237
2018-04-16,237,226.5,226.5,226.5,2681,226.5
2018-04-17,226.5,235.2,235.2,235.2,3000,235.2
2018-04-20,235.2,216,215,215.34,89028,215.34
2018-04-23,215.34,217,215.5,217,164955,217
2018-04-24,217,217,217,217,433172,217
2018-04-25,217,227.8,227.8,227.8,3000,227.8
2018-04-26,227.8,227.8,227.8,227.8,1000,227.8
2018-04-27,227.8,227.8,227.8,227.8,233,227.8
2018-05-02,227.8,227.8,227.8,227.8,627,227.8
2018-05-04,227.8,227.8,227.8,227.8,3122,227.8
2018-05-07,227.8,215.1,215,215.07,15922,215.07
2018-05-08,215.07,210,200,200,28456,200
2018-05-09,200,202,201.5,202,19122,202
2018-05-10,202,200,200,200,13207,200
2018-05-11,200,202,200,200,189270,200
2018-05-14,200,200,200,200,15948,200
2018-05-15,200,200,200,200,15948,200
2018-05-16,200,205,200,200,25379,200
2018-05-17,200,200,200,200,25100,200
2018-05-18,200,198,198,198,29000,198
2018-05-22,198,195.11,195,195,81067,195
2018-05-23,195,195,195,195,4995,195
2018-05-24,195,195,195,195,4604,195
2018-05-25,195,195,195,195,50,195
2018-05-28,195,195,195,195,5410,195
2018-05-29,195,190,190,190,34352,190
2018-05-30,190,190,185,188,32520,188
2018-05-31,188,190,190,190,11737,190
2018-06-01,190,190,190,190,32039,190
2018-06-04,190,195,190,195,36561,195
2018-06-05,195,195,195,195,45000,195
2018-06-06,195,200,200,200,4430,200
2018-06-07,200,200,197,197,73570,197
2018-06-11,197,178,178,178,9382,178
2018-06-12,178,180.01,180,180.01,71203,180.01
2018-06-15,180.01,200,186,186,8000,186
2018-06-18,186,185,185,185,37216,185
2018-06-19,185,180,180,180,10000,180
2018-06-21,180,185,185,185,4805,185
2018-06-22,185,190,189,189,91791,189
2018-06-25,189,185,185,185,10000,185
2018-06-26,185,185,184.8,184.8,70000,184.8
2018-06-27,184.8,186,186,186,130000,186
2018-06-29,186,186,186,186,5,186
2018-07-03,186,185.99,170,185.99,114381,185.99
2018-07-11,185.99,185.99,185.99,185.99,1386,185.99
2018-07-13,185.99,185.99,185.99,185.99,540,185.99
2018-07-17,185.99,185.99,185.99,185.99,1044,185.99
