date,open,high,low,close,volume,adj_close
2009-06-03,31.11275,31.1127,30.8671,30.8835,14497410,30.8835
2009-06-04,30.78511,31.3584,30.7853,31.1863,66375740,31.1863
2009-06-05,31.18655,31.2764,31.1946,31.2193,25847780,31.2193
2009-06-08,31.21905,31.203,31.0307,31.1863,7035801,31.1863
2009-06-09,31.18632,31.9315,31.2764,31.9232,29789260,31.9232
2009-06-10,31.93155,31.9315,31.2764,31.7678,40322320,31.7678
2009-06-11,31.76776,31.9232,31.6449,31.8087,18418760,31.8087
2009-06-12,31.80861,31.7678,31.3173,31.5548,54547040,31.5548
2009-06-15,31.55478,31.5221,30.7853,31.2764,17121220,31.2764
2009-06-16,31.35824,31.5221,30.7853,30.8588,21358760,30.8588
2009-06-17,30.85898,30.9899,30.2039,30.3186,42549760,30.3186
2009-06-18,30.31852,30.9899,30.2858,30.7279,15379760,30.7279
2009-06-19,30.72791,30.8343,30.3349,30.6706,33041160,30.6706
2009-06-22,30.67063,30.7035,29.4752,29.77,14773900,29.77
2009-06-23,29.77003,30.0485,29.6391,29.7209,18336660,29.7209
2009-06-24,28.66463,30.0485,28.6647,29.8027,19600360,29.8027
2009-06-25,30.04849,30.7035,29.8763,30.7035,8978643,30.7035
2009-06-26,30.70332,31.3584,30.7035,31.1127,10331130,31.1127
2009-06-30,31.11261,31.1127,30.7035,30.8588,4921832,30.8588
2009-07-01,30.85889,31.1127,30.8588,31.1127,5437139,31.1127
2009-07-02,31.11258,31.1127,30.9899,31.0307,16988610,31.0307
2009-07-03,31.03082,31.3584,31.1127,31.1127,9635243,31.1127
2009-07-06,31.11279,31.0307,30.4166,30.7116,8355986,30.7116
2009-07-07,30.71169,30.7035,30.6213,30.7035,10241700,30.7035
2009-07-08,30.70328,31.3337,29.8763,30.2939,12822760,30.2939
2009-07-09,30.2939,30.3349,30.2939,30.2939,15898290,30.2939
2009-07-10,30.2939,30.7035,30.1301,30.2939,22827800,30.2939
2009-07-13,30.29417,31.2355,30.2939,31.203,26660640,31.203
2009-07-14,31.20282,31.8087,30.8588,31.8087,32977070,31.8087
2009-07-15,31.80845,32.5046,31.8087,32.4307,26152140,32.4307
2009-07-17,32.43081,32.4719,32.0953,32.177,13696380,32.177
2009-07-20,32.17703,33.1596,32.4227,33.0531,17896660,33.0531
2009-07-21,33.053,33.4053,32.7502,33.1185,27267170,33.1185
2009-07-22,33.11869,33.1596,32.4227,32.9795,19727200,32.9795
2009-07-23,32.97943,33.1596,32.5948,32.7993,79629220,32.7993
2009-07-24,32.79934,33.1596,32.7502,33.0204,9225995,33.0204
2009-07-27,33.02037,33.1596,32.7175,32.873,7631368,32.873
2009-07-28,32.87304,32.873,32.7502,32.8321,6776406,32.8321
2009-07-29,32.83209,32.8321,32.6684,32.7584,14016400,32.7584
2009-07-30,32.75854,32.9141,32.5866,32.5866,11785060,32.5866
2009-07-31,32.58646,33.1596,31.9315,32.7584,24330850,32.7584
2009-08-03,32.7584,33.9784,32.4227,33.8146,12976850,33.8146
2009-08-04,33.97835,34.3877,33.8146,34.1421,13586350,34.1421
2009-08-05,34.1421,34.2239,33.9784,34.1421,25662520,34.1421
2009-08-06,34.14218,34.2731,34.0603,34.0603,62621480,34.0603
2009-08-07,34.06038,34.1585,34.0522,34.1095,15372910,34.1095
2009-08-10,34.10939,34.3059,33.9784,34.2977,11044800,34.2977
2009-08-11,34.3059,34.6333,34.2239,34.5024,55422280,34.5024
2009-08-12,34.7974,34.879,34.6333,34.7974,34037440,34.7974
2009-08-13,34.79715,35.8616,34.7891,35.6896,20258440,35.6896
2009-08-14,35.68961,35.6978,34.7974,35.5668,10631730,35.5668
2009-08-17,35.56704,35.2065,34.5925,34.7974,7750658,34.7974
2009-08-18,34.79708,35.2065,33.8555,34.3877,8454944,34.3877
2009-08-19,34.3877,34.3877,33.9784,34.3877,5571068,34.3877
2009-08-20,34.3877,34.3877,33.9784,34.3877,3469575,34.3877
2009-08-21,34.38778,34.3877,33.4789,33.5199,7921105,33.5199
2009-08-24,33.51985,33.9866,32.7584,33.1596,17638990,33.1596
2009-08-25,33.36428,33.9784,33.3233,33.3479,16900420,33.3479
2009-08-26,33.34807,33.5689,32.7667,32.996,8515277,32.996
2009-08-27,32.99584,33.3806,32.4227,32.8894,81638480,32.8894
2009-08-28,32.88937,33.2005,32.7584,33.2005,23008340,33.2005
2009-08-31,32.75018,33.1596,32.5046,32.7338,13065690,32.7338
2009-09-01,32.75036,33.1596,32.5209,32.5948,16936180,32.5948
2009-09-02,32.59478,33.1596,32.4227,32.9141,43259680,32.9141
2009-09-03,32.91409,33.9702,32.873,33.9621,17778680,33.9621
2009-09-04,33.96198,33.9784,33.5607,33.8801,12060050,33.8801
2009-09-07,33.88008,33.8801,33.5689,33.7327,20783480,33.7327
2009-09-08,33.7328,33.7327,33.4053,33.4053,19448310,33.4053
2009-09-09,33.4053,33.7327,33.4053,33.6018,11554630,33.6018
2009-09-10,33.60178,33.8966,33.4872,33.6509,41489360,33.6509
2009-09-11,33.65094,33.7737,33.3315,33.741,13396040,33.741
2009-09-14,33.74096,33.6509,33.3233,33.6509,29738360,33.6509
2009-09-15,33.65068,33.7653,33.5689,33.7653,10309550,33.7653
2009-09-16,33.7654,33.7327,33.5689,33.5689,16381530,33.5689
2009-09-17,33.55277,34.7891,33.5527,34.7891,21195330,34.7891
2009-09-21,34.78891,35.6159,34.5514,35.5176,117332600,35.5176
2009-09-22,35.51762,35.6242,35.2475,35.534,43189100,35.534
2009-09-23,35.61583,35.6242,35.3622,35.3702,20838930,35.3702
2009-09-24,35.37034,35.3702,34.7974,34.8054,15192960,34.8054
2009-09-25,34.80535,35.6159,34.396,35.2966,20421930,35.2966
2009-09-28,35.29667,35.9025,34.9854,35.8043,24124860,35.8043
2009-09-29,35.80424,35.8616,35.534,35.7633,70480270,35.7633
2009-09-30,35.76325,35.8616,35.4113,35.534,15558200,35.534
2009-10-01,35.53399,35.534,35.0018,35.0018,20199340,35.0018
2009-10-02,35.0018,35.2065,34.7974,35.0018,34986210,35.0018
2009-10-05,35.00181,35.2065,34.7974,35.2065,90792800,35.2065
2009-10-06,35.20649,35.4113,34.8054,35.0018,30972500,35.0018
2009-10-07,34.96085,35.5996,34.7316,35.5176,24556560,35.5176
2009-10-08,35.51754,36.0252,35.2065,35.5421,11327090,35.5421
2009-10-09,35.61591,36.017,35.0428,35.6896,13459940,35.6896
2009-10-13,35.68958,35.7795,35.6159,35.6732,15545200,35.6732
2009-10-14,35.67339,36.017,35.1247,35.4032,10195630,35.4032
2009-10-15,35.40298,35.2065,34.6333,35.1901,17747040,35.1901
