date,open,high,low,close,volume,adj_close
2009-06-03,6.5,6.5,6.5,6.5,10000,6.5
2009-06-10,6.5,6.5,6.5,6.5,38750,6.5
2009-06-11,6.5,6.5,6.5,6.5,80000,6.5
2009-06-12,6.5,6.5,6.5,6.5,60000,6.5
2009-06-19,6.5,6.5,6.5,6.5,65148,6.5
2009-07-02,6.5,6.5,6.5,6.5,16887,6.5
2009-07-06,6.2,6.2,6.2,6.2,156374,6.2
2009-07-07,6.2,6.2,6,6,344594,6
2009-07-13,6,5.5,5.5,5.5,275000,5.5
2009-07-14,5.5,5.6,5.6,5.6,235340,5.6
2009-07-17,5.6,5.49,5.49,5.49,156434,5.49
2009-07-20,5.49,5.48,5.479,5.48,444076,5.48
2009-07-21,5.49,5.49,5.49,5.49,100000,5.49
2009-07-22,5.49,5.49,5.49,5.49,72859,5.49
2009-07-23,5.49,5.49,5.49,5.49,50958,5.49
2009-07-24,5.49,5.49,5.49,5.49,138838,5.49
2009-07-28,5.49,5.49,5.49,5.49,1000,5.49
2009-07-31,5.49,5.49,5.49,5.49,60000,5.49
2009-08-04,5.49,5.49,5.49,5.49,40984,5.49
2009-08-07,5.49,5.49,5.49,5.49,250000,5.49
2009-08-10,5.49,5.3,5.25,5.257,673228,5.257
2009-08-11,5.257,5.25,5.25,5.25,2279000,5.25
2009-08-12,5.25,5.25,5.25,5.25,50000,5.25
2009-08-13,5.25,5.25,5.25,5.25,397000,5.25
2009-08-14,5.25,5.45,5.25,5.45,193000,5.45
2009-08-18,5.45,5.45,5.45,5.45,66420,5.45
2009-08-19,5.45,5.45,5.45,5.45,154060,5.45
2009-08-21,5.45,5.4,5.25,5.4,824086,5.4
2009-08-25,5.4,5.4,5.4,5.4,12,5.4
2009-08-26,5.4,5.25,5.25,5.25,788407,5.25
2009-08-27,5.25,5.25,5.25,5.25,282593,5.25
2009-08-28,5.25,5.25,5.25,5.25,1174594,5.25
2009-08-31,5.25,5.25,5.25,5.25,240580,5.25
2009-09-01,5.25,5.25,5.25,5.25,100000,5.25
2009-09-07,5.25,5.25,5.25,5.25,35000,5.25
2009-09-08,5.25,5.25,5.25,5.25,75470,5.25
2009-09-10,5.25,5,5,5,85000,5
2009-09-11,5,5,5,5,74583,5
2009-09-16,5,5.4,5.4,5.4,3634422,5.4
2009-09-17,5.4,6,6,6,100000,6
