date,open,high,low,close,volume,adj_close
2009-06-03,190,193,192,193,64513,193
2009-06-04,193,193,193,193,50000,193
2009-06-05,193,195,193,194.28,71444,194.28
2009-06-08,194.28,195,195,195,14851,195
2009-06-09,195,200,200,200,22500,200
2009-06-10,200,220,205,220,160049,220
2009-06-11,230,240,230,238,189677,238
2009-06-12,238,250,238,246,404860,246
2009-06-15,246,246,240,240,90394,240
2009-06-16,240,238,237,237,52577,237
2009-06-19,237,236,220,224.9,45722,224.9
2009-06-22,224.9,220,218.9,219,36574,219
2009-06-23,219,218,218,218,15692,218
2009-06-24,218,219,218.5,219,15719,219
2009-06-25,219,219,219,219,594,219
2009-06-26,219,218.99,218.99,218.99,406411,218.99
2009-06-30,218.99,220,220,218.99,5806,218.99
2009-07-02,218.99,210,210,210,49309,210
2009-07-06,210,206,205,206,23650,206
2009-07-09,200,210,200,209.78,24745,209.78
2009-07-13,209.78,209.78,209.78,209.78,300,209.78
2009-07-14,209.78,210,210,210,20187,210
2009-07-17,210,210,210,210,12000,210
2009-07-20,210,210,209,210,45000,210
2009-07-21,210,209.1,209.1,209.1,10000,209.1
2009-07-22,209.1,210,210,210,31848,210
2009-07-24,210,210,210,210,128,210
2009-07-27,210,210,210,210,70000,210
2009-07-28,210,190,190,190,14677,190
2009-07-29,190,190,190,190,1490,190
2009-07-30,190,205.01,200,200,95100,200
2009-07-31,200,202,202,202,49247,202
2009-08-03,202,205,205,205,10000,205
2009-08-04,205,200,200,200,8786,200
2009-08-06,200,210,206,206,275450,206
2009-08-07,206,206,206,206,19520,206
2009-08-10,206,204,204,204,20963,204
2009-08-11,204,204,204,204,3951,204
2009-08-12,204,204,203,203,2076049,203
2009-08-13,203,210,203,210,65160,210
2009-08-14,210,210,210,210,8586628,210
2009-08-18,210,206,205,206,71000,206
2009-08-19,206,219,206,219,3142129,219
2009-08-20,219,226,218,226,132678,226
2009-08-21,226,230,230,230,871341,230
2009-08-24,230,235,234,234,258278,234
2009-08-25,234,240,234,236,1185708,236
2009-08-26,236,240,235,238.75,51251,238.75
2009-08-27,238.75,238.75,237,238.75,74060,238.75
2009-08-28,238.75,238.99,237,238.99,75098,238.99
2009-08-31,238.99,235,235,235,557864,235
2009-09-01,235,235,229.99,230,91468,230
2009-09-02,230,235,225,235,44442,235
2009-09-03,235,225.01,225.01,235,12642,235
2009-09-04,235,235,229,235,5040,235
2009-09-08,235,235,234.9,235,7207,235
2009-09-09,235,234,230,234,46963,234
2009-09-10,234,234,230,234,40348,234
2009-09-11,234,238,234,235,188879,235
2009-09-14,235,235,235,235,429776,235
2009-09-16,235,230.1,230.1,230.1,4345,230.1
2009-09-17,230.1,230.1,230.1,230.1,4900,230.1
2009-09-22,230.1,231,230,231,32507,231
2009-09-23,231,240,231,232,222993,232
2009-09-24,232,232,232,232,1917,232
2009-09-25,232,238,236,238,136007,238
2009-09-28,238,247,239.99,245,280847,245
2009-09-29,245,250,250,246.56,8089,246.56
2009-09-30,246.56,250,246.5,250,18107,250
2009-10-01,250,250,240,248,31713,248
2009-10-02,248,248,248,248,8180,248
2009-10-05,248,250,248,250,43965,250
2009-10-06,250,253,250,250,714938,250
2009-10-13,250,250,250,250,1000,250
2009-10-14,250,250,250,250,229811,250
2009-10-21,250,245,245,245,58411,245
2009-10-23,245,240,240,240,8368,240
2009-10-26,240,240,240,240,200410,240
2009-10-27,240,235,230,230,40691,230
2009-10-28,230,235,230,235,102956,235
2009-10-30,235,231,231,231,2207,231
2009-11-02,231,233,230,233,74902,233
2009-11-03,233,233,233,233,36480,233
2009-11-04,233,231,231,231,58093,231
2009-11-05,231,235,235,235,24428,235
2009-11-06,235,235,235,235,4300,235
2009-11-09,235,240,240,240,32621,240
2009-11-10,240,240,240,240,44785,240
2009-11-11,240,240,239,240,57458,240
2009-11-12,240,245,240,240,21155,240
2009-11-13,240,246.5,246,246.5,68807,246.5
2009-11-16,246.5,250,246,250,408583,250
2009-11-17,250,252,252,252,2000,252
2009-11-18,252,250.1,250,250,439375,250
2009-11-19,250,250,249.99,250,426750,250
2009-11-24,250,256,250,255,16314,255
2009-11-25,255,250,250,250,23520,250
2009-11-26,250,250,247,247,174000,247
2009-11-27,247,247,247,247,26107,247
2009-12-01,247,253,250,253,23400,253
2009-12-02,253,250,248,248,79689,248
2009-12-10,248,248,248,248,2500,248
2009-12-11,248,255,250,255,39684,255
2009-12-14,255,250,250,250,5616,250
2009-12-21,250,250,250,250,6000,250
2009-12-22,250,250,240,246.36,1626117,246.36
2009-12-29,246.36,235,235,235,15789,235
2009-12-30,235,250,250,250,4649,250
2010-01-05,250,250,250,250,13000,250
2010-01-08,250,250,249,250,117648,250
2010-01-11,250,253,253,253,35000,253
2010-01-12,253,255,255,255,77100,255
2010-01-13,255,260,258.5,260,36800,260
2010-01-14,260,280,265,280,139949,280
2010-01-15,280,280,279.99,280,398793,280
2010-01-18,280,280,279.99,280,184578,280
2010-01-19,280,280,275,275,10592,275
2010-01-20,275,275,274,275,470800,275
2010-01-21,275,273,273,272.38,5925,272.38
2010-01-25,272.38,270,269.9,270,56487,270
2010-01-26,270,270,270,270,300000,270
2010-01-28,270,269,268.9,269,11111,269
2010-01-29,269,268.9,268.9,268.9,122722,268.9
2010-02-02,268.9,268,268,268,3202,268
2010-02-03,268,270,268,270,67751,270
2010-02-04,270,270,270,270,520000,270
2010-02-05,270,270,270,270,200000,270
2010-02-08,270,270,270,270,155300,270
2010-02-09,270,275,274,275,35657,275
2010-02-17,275,276,275,276,20919,276
2010-02-22,276,270,270,270,7250,270
2010-02-25,270,270,267,270,440898,270
2010-02-26,270,270,270,270,6460,270
2010-03-01,270,300,273,300,237261,300
2010-03-02,300,360.1,310,360.12,2261142,360.12
2010-03-03,371,400,350,360.14,3897855,360.14
2010-03-04,350,360,350,350,330924,350
2010-03-05,350,350,315,345,526935,345
2010-03-08,345,360,345,350,549937,350
2010-03-09,350,350,348.9,350,94945,350
2010-03-10,350,350,348,348,28567,348
2010-03-11,348,341,325,340,144986,340
2010-03-12,340,355,340,350,42926,350
2010-03-15,350,350,345,345,73787,345
2010-03-16,345,347,345,345,33178,345
2010-03-17,345,344,343,343.6,18126,343.6
2010-03-18,343.6,342,342,342,35889,342
2010-03-19,342,342,329,340,38975,340
2010-03-23,340,332,325,332,49009,332
2010-03-24,330.1,330.1,330,330,365634,330
2010-03-25,330,330,321.1,323.94,157992,323.94
2010-03-26,323.94,325,323,325,251889,325
2010-03-29,325,325,325,325,45300,325
2010-03-30,325,335,324.9,335,707197,335
2010-03-31,335,335,334.98,335,35317,335
2010-04-05,335,350,335,335,46208,335
2010-04-06,335,335.01,330,330,299568,330
