date,open,high,low,close,volume,adj_close
2009-06-03,650000,650000,650000,650000,1,650000
2009-06-30,650000,501100,501000,501100,3,501100
2009-07-01,501100,500000,500000,500000,1,500000
2009-07-02,500000,500000,500000,500000,1,500000
2009-07-08,500000,501000,501000,501000,1,501000
2009-07-09,501000,501100,500000,501100,9,501100
2009-07-13,501100,500000,500000,500000,1,500000
2009-07-14,500000,500000,500000,500000,2,500000
2009-07-21,500000,500000,480000,480000,3,480000
2009-07-22,480000,450000,450000,450000,1,450000
2009-07-29,450000,470000,470000,470000,1,470000
2009-07-30,470000,470000,470000,470000,1,470000
2009-08-05,470000,450000,450000,450000,1,450000
2009-08-06,450000,450000,450000,450000,25,450000
2009-08-12,450000,450000,450000,450000,1,450000
2009-08-17,450000,450000,450000,450000,1,450000
2009-08-27,450000,450000,450000,450000,1,450000
2009-09-02,450000,450000,450000,450000,1,450000
2009-10-01,450000,401000,401000,401000,1,401000
2009-10-14,401000,401000,401000,401000,1,401000
2009-10-20,401000,401000,401000,401000,1,401000
2009-11-10,401000,401000,400000,400000,2,400000
2009-11-11,400000,400000,400000,400000,2,400000
2009-11-25,400000,390000,390000,390000,1,390000
2009-11-26,390000,390000,390000,390000,1,390000
2009-12-03,390000,390000,390000,390000,1,390000
2009-12-07,390000,390000,390000,390000,1,390000
2009-12-21,390000,390000,390000,390000,1,390000
2009-12-22,390000,390000,390000,390000,1,390000
2009-12-30,390000,390000,390000,390000,2,390000
2010-03-05,390000,390000,390000,390000,2,390000
2010-03-24,390000,385000,385000,385000,1,385000
2010-04-13,385000,386000,386000,386000,1,386000
2010-04-21,386000,385000,385000,385000,2,385000
2010-05-05,385000,386000,386000,386000,1,386000
2010-05-06,386000,386000,385000,385000,2,385000
2010-05-17,385000,390000,385000,390000,2,390000
2010-06-02,390000,390000,390000,390000,1,390000
2010-06-22,390000,390000,390000,390000,1,390000
2010-06-25,390000,390000,390000,390000,1,390000
2010-08-03,390000,390000,390000,390000,1,390000
2010-08-12,390000,390000,390000,390000,2,390000
2010-08-26,390000,390000,390000,390000,1,390000
2010-09-02,390000,390000,390000,390000,1,390000
2010-09-10,390000,390000,390000,390000,1,390000
2010-10-15,390000,390000,390000,390000,1,390000
2010-10-19,390000,390000,390000,390000,1,390000
2010-11-02,390000,420000,420000,420000,2,420000
2010-11-08,420000,420000,420000,420000,1,420000
2011-01-10,420000,420000,420000,420000,1,420000
2011-01-12,420000,420000,420000,420000,1,420000
2011-01-20,420000,420000,420000,420000,1,420000
2011-03-01,420000,420000,420000,420000,2,420000
2011-03-03,420000,420000,420000,420000,1,420000
2011-04-18,420000,420000,420000,420000,10,420000
2011-04-19,420000,420000,420000,420000,32,420000
2011-05-26,420000,490000,490000,490000,2,490000
2011-06-23,490000,500000,500000,500000,1,500000
2011-07-06,500000,500000,500000,500000,1,500000
2011-07-14,500000,500000,500000,500000,1,500000
2011-08-09,500000,500000,500000,500000,1,500000
2011-08-10,500000,500000,500000,500000,1,500000
2011-08-16,500000,500000,500000,500000,1,500000
2011-08-19,500000,500000,500000,500000,1,500000
2011-09-02,500000,502000,502000,502000,1,502000
2011-09-05,502000,520000,520000,520000,1,520000
2011-09-13,520000,520000,520000,520000,2,520000
2011-09-22,520000,550000,550000,550000,1,550000
2011-09-26,550000,560000,560000,560000,1,560000
2011-09-29,560000,600000,600000,600000,2,600000
2011-10-05,600000,600000,600000,600000,1,600000
2011-10-07,600000,600000,599990,600000,2,600000
2011-10-19,600000,600000,600000,600000,2,600000
2011-10-20,600000,600000,600000,600000,2,600000
2011-10-26,600000,600000,600000,600000,2,600000
2011-11-02,600000,600000,600000,600000,1,600000
2011-11-03,600000,600000,600000,600000,2,600000
2011-11-10,600000,600000,600000,600000,1,600000
2011-12-12,600000,521000,521000,521000,2,521000
2012-02-02,521000,521000,521000,521000,1,521000
2012-02-27,521000,521000,521000,521000,1,521000
2012-03-20,521000,520000,520000,520000,2,520000
2012-06-18,520000,490000,490000,490000,4,490000
2012-06-25,490000,490000,490000,490000,1,490000
2012-07-10,490000,450000,450000,450000,2,450000
2012-07-12,450000,450000,450000,450000,3,450000
2012-07-18,450000,420000,420000,420000,11,420000
2012-07-30,420000,420000,420000,420000,1,420000
2012-08-17,420000,420000,420000,420000,2,420000
2012-09-13,420000,460000,460000,460000,1,460000
2012-09-25,460000,460000,460000,460000,1,460000
2012-10-01,460000,460000,460000,460000,1,460000
2012-10-29,460000,460000,460000,460000,1,460000
2012-11-12,460000,460000,460000,460000,1,460000
2012-11-20,460000,460000,460000,460000,1,460000
2012-12-17,460000,460000,460000,460000,1,460000
2012-12-21,460000,460000,460000,460000,1,460000
2012-12-27,460000,460000,460000,460000,2,460000
2013-01-11,460000,460000,460000,460000,1,460000
2013-01-14,460000,460000,460000,460000,2,460000
2013-01-18,460000,460000,460000,460000,2,460000
2013-01-25,460000,460000,460000,460000,3,460000
2013-01-28,460000,460000,460000,460000,3,460000
2013-01-30,460000,460000,460000,460000,1,460000
2013-02-08,460000,460000,460000,460000,1,460000
2013-02-12,460000,470000,470000,470000,1,470000
2013-03-12,470000,470000,470000,470000,1,470000
2013-04-05,470000,480000,470000,480000,4,480000
2013-05-02,480000,480000,480000,480000,10,480000
2013-05-16,480000,480000,480000,480000,2,480000
2013-05-24,480000,480000,480000,480000,2,480000
2013-06-03,480000,480000,480000,480000,3,480000
2013-06-25,480000,479990,479990,479990,10,479990
2013-07-01,479990,400000,400000,400000,222,400000
2013-07-03,400000,400000,400000,400000,1,400000
2013-07-08,400000,400000,400000,400000,1,400000
2013-07-18,400000,300000,300000,300000,2,300000
2013-08-19,300000,300000,300000,300000,3,300000
2013-09-04,300000,300000,300000,300000,1,300000
2013-10-07,300000,350000,350000,350000,2,350000
2013-10-29,350000,350000,350000,350000,1,350000
2013-11-05,350000,350000,350000,350000,1,350000
2013-11-15,350000,400000,400000,400000,2,400000
2013-11-22,400000,400000,400000,400000,1,400000
2013-11-29,400000,300000,300000,300000,22,300000
2014-01-02,300000,300000,300000,300000,4,300000
2014-01-16,300000,300000,300000,300000,2,300000
2014-01-17,300000,300000,300000,300000,1,300000
2014-02-11,300000,320000,320000,320000,2,320000
2014-02-13,320000,320000,320000,320000,3,320000
2014-04-23,320000,330000,330000,330000,2,330000
2014-05-29,330000,330000,330000,330000,1,330000
2014-06-06,330000,330000,330000,330000,1,330000
2014-06-27,330000,370000,370000,370000,2,370000
2014-07-10,370000,370000,370000,370000,1,370000
2014-08-12,370000,370000,370000,370000,1,370000
2014-08-19,370000,370000,370000,370000,1,370000
2014-09-03,370000,370000,370000,370000,1,370000
2014-09-05,370000,370000,370000,370000,1,370000
2014-09-16,370000,370000,370000,370000,1,370000
2014-09-29,370000,350000,350000,350000,2,350000
2014-10-07,350000,350000,350000,350000,1,350000
2014-10-20,350000,350000,350000,350000,1,350000
2014-10-27,350000,350000,350000,350000,1,350000
2014-11-06,350000,350000,350000,350000,1,350000
2014-11-12,350000,350000,350000,350000,1,350000
2015-01-15,350000,325000,300000,325000,38,325000
2015-04-07,325000,300000,300000,300000,4,300000
2015-04-16,300000,350000,350000,350000,3,350000
2015-04-28,350000,350000,350000,350000,1,350000
2015-05-04,350000,350000,350000,350000,1,350000
2015-05-05,350000,350000,350000,350000,1,350000
2015-05-14,350000,350000,350000,350000,1,350000
2015-05-15,350000,360000,360000,360000,2,360000
2015-07-24,360000,360000,360000,360000,1,360000
2015-08-10,360000,300000,300000,300000,5,300000
2015-08-18,300000,300000,300000,300000,1,300000
2015-10-01,300000,350000,350000,350000,5,350000
2015-11-30,350000,350000,350000,350000,1,350000
2015-12-02,350000,340000,340000,340000,2,340000
2015-12-15,340000,340000,340000,340000,1,340000
2015-12-16,340000,340000,340000,340000,1,340000
2016-05-09,340000,340000,340000,340000,1,340000
2016-07-26,340000,340000,340000,340000,3,340000
2016-09-08,340000,340000,340000,340000,2,340000
2017-01-10,340000,360000,360000,360000,8,360000
2017-03-14,360000,360000,360000,360000,1,360000
2017-06-14,360000,360000,360000,360000,1,360000
2017-10-13,360000,360000,360000,360000,1,360000
2017-11-17,360000,360000,360000,360000,1,360000
2018-01-15,360000,360000,360000,360000,1,360000
2018-08-08,360000,360000,360000,360000,1,360000
2018-09-27,360000,360000,360000,360000,1,360000
2018-11-07,360000,360000,360000,360000,1,360000
2019-01-08,360000,360000,360000,360000,11,360000
2019-01-09,360000,360500,360500,360500,2,360500
2019-01-17,360500,360500,360500,360500,1,360500
2019-03-08,360500,360500,360500,360500,1,360500
2019-08-16,360500,360500,360500,360500,3,360500
2019-10-21,360500,360500,360500,360500,1,360500
2019-10-22,360500,360500,360500,360500,1,360500
2019-11-19,360500,360500,360500,360500,0,360500
2019-11-20,360500,360500,360500,360500,0,360500
2019-11-21,360500,360500,360500,360500,0,360500
2019-11-23,360500,360500,360500,360500,0,360500
2019-12-20,360500,360500,360500,360500,0,360500
2020-04-04,360500,360500,360500,360500,0,360500
2020-04-09,360500,360500,360500,360500,0,360500
2020-04-18,360500,360500,360500,360500,0,360500
2021-08-10,360500,340000,340000,360500,3,360500
