date,open,high,low,close,volume,adj_close
2013-03-21,40.52,40.52,40.52,40.52,100,40.52
2013-04-30,40.52,41.47,41.4,41.47,676,41.47
2013-05-03,41.47,42.65,42.6,42.65,676,42.65
2013-05-14,42.65,43.42,43.42,43.42,640,43.42
2013-06-27,43.42,40.53,40.41,40.53,1786,40.53
2013-07-01,40.53,41.51,41.51,41.51,246,41.51
2013-07-05,41.51,41.71,41.6,41.7,1540,41.7
2013-07-18,41.7,44.45,44.45,44.45,640,44.45
2013-10-28,44.45,48.15,48.15,48.15,100,48.15
2014-01-15,48.15,54.3,54.3,54.3,24,54.3
2014-02-24,54.3,51.74,51.61,51.61,4402,51.61
2014-02-25,51.61,50.6,50.54,50.6,586,50.6
2014-02-28,50.6,52,52,52,193,52
2014-03-03,52,50.97,50.75,50.97,3506,50.97
2014-03-10,50.97,51.35,51.35,51.35,393,51.35
2014-05-07,51.35,51.65,51.53,51.65,763,51.65
2014-05-27,51.65,52.12,52.12,52.12,63,52.12
2014-07-22,52.12,54.67,54.67,54.67,70,54.67
2017-05-31,27.34,41.47,41.39,41.45,5743,41.45
2017-07-05,41.45,38.48,38.48,38.48,30,38.48
2017-07-24,38.48,39.56,39.52,39.52,1785,39.52
2017-07-27,39.52,39.93,39.88,39.88,2735,39.88
2017-08-04,39.88,39.58,39.58,39.58,40,39.58
2017-09-07,39.58,38.51,38.42,38.42,1153,38.42
2017-10-17,38.42,36.64,36.64,36.64,141,36.64
2017-12-12,36.64,39.28,39.28,39.28,48,39.28
2018-03-27,39.28,33.4,33.4,33.4,590,33.4
2018-06-14,33.4,33.56,33.56,33.56,290,33.56
2018-06-28,33.56,32.55,32.55,32.55,290,32.55
2018-11-06,32.55,37.91,37.91,37.91,590,37.91
2019-09-09,37.91,46.41,46.41,46.41,44,46.41
2019-11-04,46.41,45,45,46.41,141,46.41
2020-04-06,46.41,36.3,36.3,36.3,580,36.3
2020-05-07,36.3,35.6,35.6,36.3,3,36.3
2020-05-08,36.3,36.25,36.25,36.3,30,36.3
2020-07-24,36.3,42.83,42.83,42.83,2554,42.83
2020-07-28,42.83,43.45,43.45,43.45,1542,43.45
2020-07-30,43.45,44.01,44.01,44.01,1931,44.01
2020-08-03,44.01,43.02,43.02,43.02,1141,43.02
2020-08-04,43.02,43.16,43.03,43.16,1534,43.16
2020-08-17,43.16,43.6,43.6,43.16,50,43.16
2020-09-03,43.16,44.53,44.53,43.16,44,43.16
2020-09-30,43.16,46.58,46.58,46.58,580,46.58
